"Time","sum:resnet_americas_03e4b61/gateway1","sum:resnet_americas_03e4b61/scheduler","sum:resnet_americas_03e4b61/worker1","sum:resnet_americas_03e4b61/worker3","sum:resnet_americas_03e4b61/worker4","sum:resnet_americas_03e4b61/worker6"
2026-01-06 10:50:00,132 MB,145 MB,3.04 TB,7.74 TB,466 GB,2.97 TB
2026-01-06 10:55:00,132 MB,146 MB,3.05 TB,7.75 TB,469 GB,2.98 TB
2026-01-06 11:00:00,132 MB,147 MB,3.05 TB,7.76 TB,473 GB,2.98 TB
2026-01-06 11:05:00,132 MB,147 MB,3.05 TB,7.77 TB,476 GB,2.98 TB
2026-01-06 11:10:00,132 MB,148 MB,3.06 TB,7.78 TB,479 GB,2.99 TB
2026-01-06 11:15:00,132 MB,149 MB,3.06 TB,7.79 TB,483 GB,2.99 TB
2026-01-06 11:20:00,133 MB,150 MB,3.06 TB,7.80 TB,486 GB,2.99 TB
2026-01-06 11:25:00,133 MB,151 MB,3.06 TB,7.81 TB,489 GB,3.00 TB
2026-01-06 11:30:00,133 MB,152 MB,3.07 TB,7.82 TB,492 GB,3.00 TB
2026-01-06 11:35:00,133 MB,153 MB,3.07 TB,7.83 TB,494 GB,3.00 TB
2026-01-06 11:40:00,133 MB,154 MB,3.07 TB,7.83 TB,497 GB,3.00 TB
2026-01-06 11:45:00,133 MB,155 MB,3.08 TB,7.84 TB,500 GB,3.01 TB
2026-01-06 11:50:00,133 MB,156 MB,3.08 TB,7.85 TB,502 GB,3.01 TB
2026-01-06 11:55:00,133 MB,156 MB,3.08 TB,7.86 TB,505 GB,3.01 TB
2026-01-06 12:00:00,134 MB,157 MB,3.08 TB,7.87 TB,508 GB,3.02 TB
2026-01-06 12:05:00,134 MB,158 MB,3.09 TB,7.87 TB,510 GB,3.02 TB
2026-01-06 12:10:00,134 MB,159 MB,3.09 TB,7.88 TB,513 GB,3.02 TB
2026-01-06 12:15:00,134 MB,160 MB,3.09 TB,7.89 TB,516 GB,3.02 TB
2026-01-06 12:20:00,134 MB,161 MB,3.09 TB,7.90 TB,518 GB,3.03 TB
2026-01-06 12:25:00,134 MB,162 MB,3.10 TB,7.90 TB,521 GB,3.03 TB
2026-01-06 12:30:00,134 MB,163 MB,3.10 TB,7.91 TB,523 GB,3.03 TB
2026-01-06 12:35:00,134 MB,164 MB,3.10 TB,7.92 TB,526 GB,3.03 TB
2026-01-06 12:40:00,135 MB,165 MB,3.10 TB,7.93 TB,528 GB,3.04 TB
2026-01-06 12:45:00,135 MB,165 MB,3.11 TB,7.94 TB,531 GB,3.04 TB
2026-01-06 12:50:00,135 MB,166 MB,3.11 TB,7.94 TB,534 GB,3.04 TB
2026-01-06 12:55:00,135 MB,167 MB,3.11 TB,7.95 TB,537 GB,3.04 TB
2026-01-06 13:00:00,135 MB,168 MB,3.11 TB,7.96 TB,539 GB,3.05 TB
2026-01-06 13:05:00,135 MB,169 MB,3.12 TB,7.97 TB,542 GB,3.05 TB
2026-01-06 13:10:00,135 MB,170 MB,3.12 TB,7.97 TB,544 GB,3.05 TB
2026-01-06 13:15:00,135 MB,171 MB,3.12 TB,7.98 TB,547 GB,3.05 TB
2026-01-06 13:20:00,136 MB,172 MB,3.12 TB,7.99 TB,549 GB,3.06 TB
2026-01-06 13:25:00,136 MB,173 MB,3.13 TB,8.00 TB,552 GB,3.06 TB
2026-01-06 13:30:00,136 MB,174 MB,3.13 TB,8.00 TB,555 GB,3.06 TB
2026-01-06 13:35:00,136 MB,174 MB,3.13 TB,8.01 TB,557 GB,3.06 TB
2026-01-06 13:40:00,136 MB,175 MB,3.13 TB,8.02 TB,560 GB,3.07 TB
2026-01-06 13:45:00,136 MB,176 MB,3.14 TB,8.03 TB,562 GB,3.07 TB
2026-01-06 13:50:00,136 MB,177 MB,3.14 TB,8.04 TB,565 GB,3.07 TB
2026-01-06 13:55:00,136 MB,178 MB,3.14 TB,8.04 TB,567 GB,3.07 TB
2026-01-06 14:00:00,137 MB,179 MB,3.14 TB,8.05 TB,570 GB,3.08 TB
2026-01-06 14:05:00,137 MB,180 MB,3.15 TB,8.06 TB,573 GB,3.08 TB
2026-01-06 14:10:00,137 MB,181 MB,3.15 TB,8.07 TB,575 GB,3.08 TB
2026-01-06 14:15:00,137 MB,182 MB,3.15 TB,8.07 TB,578 GB,3.08 TB
2026-01-06 14:20:00,137 MB,183 MB,3.16 TB,8.08 TB,580 GB,3.09 TB
2026-01-06 14:25:00,137 MB,183 MB,3.16 TB,8.09 TB,583 GB,3.09 TB
2026-01-06 14:30:00,137 MB,184 MB,3.16 TB,8.10 TB,585 GB,3.09 TB
2026-01-06 14:35:00,137 MB,185 MB,3.16 TB,8.11 TB,588 GB,3.10 TB
2026-01-06 14:40:00,137 MB,186 MB,3.17 TB,8.11 TB,591 GB,3.10 TB
2026-01-06 14:45:00,138 MB,187 MB,3.17 TB,8.12 TB,593 GB,3.10 TB
2026-01-06 14:50:00,138 MB,188 MB,3.17 TB,8.13 TB,596 GB,3.10 TB
2026-01-06 14:55:00,138 MB,189 MB,3.17 TB,8.14 TB,598 GB,3.11 TB
2026-01-06 15:00:00,138 MB,190 MB,3.18 TB,8.14 TB,601 GB,3.11 TB
2026-01-06 15:05:00,138 MB,191 MB,3.18 TB,8.15 TB,604 GB,3.11 TB
2026-01-06 15:10:00,138 MB,192 MB,3.18 TB,8.16 TB,606 GB,3.11 TB
2026-01-06 15:15:00,138 MB,193 MB,3.18 TB,8.17 TB,609 GB,3.12 TB
2026-01-06 15:20:00,138 MB,193 MB,3.19 TB,8.18 TB,611 GB,3.12 TB
2026-01-06 15:25:00,139 MB,194 MB,3.19 TB,8.18 TB,614 GB,3.12 TB
2026-01-06 15:30:00,139 MB,195 MB,3.19 TB,8.18 TB,615 GB,3.12 TB
2026-01-06 15:35:00,139 MB,196 MB,3.19 TB,8.19 TB,618 GB,3.12 TB
2026-01-06 15:40:00,139 MB,197 MB,3.19 TB,8.20 TB,620 GB,3.13 TB
2026-01-06 15:45:00,139 MB,198 MB,3.20 TB,8.21 TB,621 GB,3.13 TB
2026-01-06 15:50:00,139 MB,199 MB,3.20 TB,8.22 TB,625 GB,3.13 TB
2026-01-06 15:55:00,139 MB,200 MB,3.20 TB,8.22 TB,627 GB,3.13 TB
2026-01-06 16:00:00,139 MB,201 MB,3.20 TB,8.22 TB,627 GB,3.13 TB
2026-01-06 16:05:00,140 MB,202 MB,3.20 TB,8.22 TB,628 GB,3.13 TB
2026-01-06 16:10:00,140 MB,202 MB,3.21 TB,8.23 TB,630 GB,3.14 TB
2026-01-06 16:15:00,140 MB,203 MB,3.21 TB,8.24 TB,634 GB,3.14 TB
2026-01-06 16:20:00,140 MB,204 MB,3.21 TB,8.25 TB,637 GB,3.14 TB
2026-01-06 16:25:00,140 MB,205 MB,3.22 TB,8.26 TB,641 GB,3.15 TB
2026-01-06 16:30:00,140 MB,206 MB,3.22 TB,8.27 TB,644 GB,3.15 TB
2026-01-06 16:35:00,140 MB,207 MB,3.22 TB,8.27 TB,644 GB,3.15 TB
2026-01-06 16:40:00,140 MB,208 MB,3.22 TB,8.28 TB,646 GB,3.15 TB
2026-01-06 16:45:00,141 MB,209 MB,3.22 TB,8.29 TB,649 GB,3.16 TB
2026-01-06 16:50:00,141 MB,209 MB,3.23 TB,8.30 TB,653 GB,3.16 TB
2026-01-06 16:55:00,141 MB,210 MB,3.23 TB,8.30 TB,655 GB,3.16 TB
2026-01-06 17:00:00,141 MB,211 MB,3.23 TB,8.31 TB,659 GB,3.16 TB
