"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 18:31:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:32:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:33:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:34:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:35:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:36:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:37:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:38:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:39:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:40:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:41:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:42:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:43:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:44:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:45:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:46:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:47:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:48:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:50:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:51:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:52:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:53:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:54:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:55:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:56:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:57:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:58:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:59:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 19:00:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 19:01:00,0.300,0.914,0.746,1.68,0.738,0.763
