"Time","sum:","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/gateway","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker1","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker10","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker2","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker3","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker4","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker5","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker6","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker7","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker8","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker9"
2026-01-07 16:41:00,8.92 MB,2.56 MB,61.8 MB,40.0 MB,633 kB,700 kB,485 kB,397 kB,24.8 MB,41.7 MB,19.0 MB,482 kB
2026-01-07 16:42:00,9.44 MB,2.82 MB,68.5 MB,42.3 MB,796 kB,1.00 MB,572 kB,2.88 MB,291 kB,43.9 MB,21.4 MB,496 kB
2026-01-07 16:43:00,10.0 MB,2.89 MB,70.9 MB,42.6 MB,857 kB,1.05 MB,637 kB,3.89 MB,347 kB,44.6 MB,2.51 MB,566 kB
2026-01-07 16:44:00,10.5 MB,2.92 MB,92.4 MB,47.8 MB,1.05 MB,1.10 MB,809 kB,5.67 MB,390 kB,48.0 MB,10.2 MB,707 kB
2026-01-07 16:45:00,10.8 MB,2.95 MB,96.6 MB,50.5 MB,1.09 MB,1.11 MB,819 kB,11.0 MB,399 kB,53.0 MB,12.3 MB,739 kB
2026-01-07 16:46:00,11.0 MB,3.03 MB,96.8 MB,2.20 MB,1.16 MB,1.18 MB,906 kB,11.3 MB,468 kB,53.0 MB,12.4 MB,865 kB
2026-01-07 16:47:00,11.3 MB,3.30 MB,97.3 MB,2.56 MB,1.32 MB,1.46 MB,983 kB,11.7 MB,653 kB,519 kB,12.6 MB,877 kB
2026-01-07 16:48:00,11.6 MB,3.39 MB,98.6 MB,3.54 MB,1.37 MB,1.55 MB,1.07 MB,12.0 MB,653 kB,519 kB,13.3 MB,967 kB
2026-01-07 16:49:00,11.9 MB,3.45 MB,103 MB,5.70 MB,1.60 MB,1.59 MB,1.24 MB,12.4 MB,275 kB,1.46 MB,14.6 MB,1.13 MB
2026-01-07 16:50:00,12.5 MB,3.47 MB,105 MB,6.82 MB,1.66 MB,1.62 MB,313 kB,14.0 MB,310 kB,3.77 MB,15.1 MB,1.20 MB
2026-01-07 16:51:00,12.9 MB,3.55 MB,106 MB,7.15 MB,1.76 MB,1.69 MB,404 kB,14.4 MB,245 kB,4.46 MB,459 kB,1.23 MB
2026-01-07 16:52:00,13.3 MB,3.90 MB,106 MB,8.21 MB,1.85 MB,2.02 MB,404 kB,1.27 MB,1.37 MB,526 kB,1.59 MB,2.35 MB
2026-01-07 16:53:00,13.4 MB,3.93 MB,107 MB,9.00 MB,2.02 MB,2.05 MB,405 kB,1.29 MB,1.42 MB,558 kB,2.24 MB,2.44 MB
2026-01-07 16:54:00,13.8 MB,4.01 MB,135 MB,13.9 MB,2.22 MB,2.13 MB,347 kB,453 kB,7.09 MB,633 kB,8.29 MB,11.8 MB
2026-01-07 16:55:00,14.3 MB,4.04 MB,156 MB,22.1 MB,2.26 MB,2.14 MB,356 kB,489 kB,14.4 MB,641 kB,16.5 MB,17.8 MB
2026-01-07 16:56:00,14.9 MB,4.09 MB,167 MB,269 kB,2.40 MB,2.20 MB,415 kB,528 kB,18.8 MB,6.16 MB,20.6 MB,21.5 MB
2026-01-07 16:57:00,15.6 MB,4.40 MB,168 MB,269 kB,2.40 MB,2.50 MB,552 kB,659 kB,286 kB,6.65 MB,20.9 MB,21.8 MB
2026-01-07 16:58:00,15.9 MB,4.43 MB,169 MB,324 kB,280 kB,2.56 MB,589 kB,695 kB,219 kB,7.17 MB,21.4 MB,22.5 MB
2026-01-07 16:59:00,16.3 MB,4.47 MB,196 MB,2.29 MB,326 kB,2.64 MB,774 kB,935 kB,253 kB,10.5 MB,28.8 MB,30.5 MB
2026-01-07 17:00:00,16.8 MB,4.51 MB,197 MB,11.5 MB,358 kB,2.71 MB,817 kB,978 kB,292 kB,15.3 MB,28.8 MB,30.8 MB
2026-01-07 17:01:00,17.4 MB,4.55 MB,197 MB,12.5 MB,378 kB,2.76 MB,835 kB,1.01 MB,376 kB,15.6 MB,421 kB,31.1 MB
2026-01-07 17:02:00,17.7 MB,4.88 MB,263 kB,12.5 MB,538 kB,3.37 MB,960 kB,1.18 MB,1.44 MB,15.6 MB,524 kB,31.3 MB
2026-01-07 17:03:00,17.9 MB,4.96 MB,315 kB,314 kB,709 kB,3.43 MB,374 kB,1.18 MB,1.63 MB,487 kB,1.58 MB,31.4 MB
2026-01-07 17:04:00,18.1 MB,5.00 MB,430 kB,396 kB,1.37 MB,485 kB,424 kB,414 kB,2.11 MB,1.54 MB,1.69 MB,32.3 MB
2026-01-07 17:05:00,18.3 MB,5.09 MB,550 kB,475 kB,2.36 MB,569 kB,507 kB,459 kB,2.44 MB,475 kB,2.03 MB,32.6 MB
2026-01-07 17:06:00,18.8 MB,5.11 MB,599 kB,507 kB,8.32 MB,585 kB,524 kB,3.08 MB,5.39 MB,492 kB,4.98 MB,34.9 MB
2026-01-07 17:07:00,19.5 MB,5.40 MB,790 kB,319 kB,11.1 MB,697 kB,637 kB,3.95 MB,7.63 MB,491 kB,6.94 MB,37.6 MB
2026-01-07 17:08:00,20.1 MB,5.43 MB,844 kB,333 kB,23.2 MB,721 kB,805 kB,6.99 MB,10.6 MB,525 kB,11.5 MB,40.5 MB
2026-01-07 17:09:00,20.6 MB,5.47 MB,151 kB,372 kB,26.7 MB,942 kB,849 kB,8.10 MB,12.2 MB,558 kB,13.0 MB,42.2 MB
2026-01-07 17:10:00,21.2 MB,5.51 MB,195 kB,396 kB,31.4 MB,998 kB,886 kB,9.56 MB,13.7 MB,570 kB,14.6 MB,43.8 MB
2026-01-07 17:11:00,21.8 MB,5.64 MB,330 kB,327 kB,38.5 MB,1.09 MB,1.01 MB,11.5 MB,14.2 MB,556 kB,16.7 MB,44.6 MB
2026-01-07 17:12:00,22.4 MB,5.91 MB,368 kB,3.31 MB,42.3 MB,506 kB,1.12 MB,12.7 MB,282 kB,598 kB,18.2 MB,45.4 MB
2026-01-07 17:13:00,22.6 MB,5.97 MB,185 kB,271 kB,42.7 MB,579 kB,1.36 MB,13.0 MB,1.33 MB,659 kB,18.5 MB,2.29 MB
2026-01-07 17:14:00,22.9 MB,6.04 MB,261 kB,4.56 MB,43.6 MB,654 kB,1.47 MB,13.6 MB,2.17 MB,729 kB,18.5 MB,2.36 MB
2026-01-07 17:15:00,23.3 MB,6.09 MB,298 kB,12.0 MB,65.5 MB,681 kB,1.56 MB,18.7 MB,8.10 MB,776 kB,7.92 MB,2.40 MB
2026-01-07 17:16:00,23.6 MB,6.21 MB,254 kB,12.0 MB,212 kB,415 kB,2.43 MB,19.7 MB,9.23 MB,776 kB,10.5 MB,2.48 MB
2026-01-07 17:17:00,24.2 MB,6.53 MB,409 kB,2.72 MB,323 kB,644 kB,2.62 MB,518 kB,9.71 MB,546 kB,11.2 MB,657 kB
2026-01-07 17:18:00,24.6 MB,6.66 MB,472 kB,2.94 MB,390 kB,769 kB,3.79 MB,1.15 MB,9.94 MB,619 kB,1.40 MB,881 kB
2026-01-07 17:19:00,24.9 MB,6.69 MB,499 kB,3.67 MB,419 kB,839 kB,4.48 MB,2.14 MB,10.4 MB,683 kB,1.43 MB,262 kB
2026-01-07 17:20:00,25.1 MB,6.73 MB,527 kB,4.02 MB,449 kB,901 kB,5.19 MB,2.35 MB,201 kB,712 kB,2.85 MB,1.89 MB
2026-01-07 17:21:00,25.5 MB,6.75 MB,538 kB,9.75 MB,510 kB,1.16 MB,21.9 MB,6.24 MB,232 kB,4.65 MB,3.16 MB,10.6 MB
2026-01-07 17:22:00,26.3 MB,7.09 MB,272 kB,15.9 MB,666 kB,345 kB,36.0 MB,10.5 MB,346 kB,10.2 MB,3.71 MB,14.1 MB
2026-01-07 17:23:00,27.0 MB,7.19 MB,346 kB,16.1 MB,748 kB,460 kB,36.2 MB,10.7 MB,436 kB,11.2 MB,3.94 MB,307 kB
2026-01-07 17:24:00,27.2 MB,7.23 MB,380 kB,16.6 MB,802 kB,550 kB,36.7 MB,11.0 MB,477 kB,11.2 MB,4.40 MB,318 kB
2026-01-07 17:25:00,27.8 MB,7.34 MB,486 kB,2.23 MB,803 kB,676 kB,37.3 MB,12.3 MB,477 kB,659 kB,4.65 MB,1.82 MB
2026-01-07 17:26:00,28.0 MB,7.44 MB,459 kB,2.69 MB,283 kB,676 kB,611 kB,12.9 MB,1.00 MB,1.71 MB,5.00 MB,2.37 MB
2026-01-07 17:27:00,28.4 MB,7.73 MB,244 kB,2.79 MB,382 kB,2.20 MB,693 kB,13.3 MB,1.64 MB,485 kB,5.27 MB,3.11 MB
2026-01-07 17:28:00,29.1 MB,7.78 MB,332 kB,275 kB,451 kB,2.52 MB,777 kB,13.6 MB,2.12 MB,1.86 MB,5.38 MB,3.26 MB
2026-01-07 17:29:00,29.4 MB,7.80 MB,332 kB,2.20 MB,476 kB,3.43 MB,829 kB,14.1 MB,2.65 MB,2.79 MB,6.23 MB,3.62 MB
2026-01-07 17:30:00,29.8 MB,7.89 MB,166 kB,5.86 MB,531 kB,4.50 MB,932 kB,15.7 MB,3.21 MB,4.90 MB,6.23 MB,4.07 MB
2026-01-07 17:31:00,30.2 MB,7.93 MB,242 kB,14.8 MB,660 kB,24.0 MB,1.20 MB,21.2 MB,9.41 MB,13.9 MB,476 kB,4.51 MB
2026-01-07 17:32:00,30.7 MB,8.27 MB,307 kB,16.7 MB,745 kB,38.9 MB,1.30 MB,23.4 MB,12.3 MB,13.9 MB,545 kB,5.01 MB
2026-01-07 17:33:00,31.0 MB,8.30 MB,367 kB,17.0 MB,816 kB,39.0 MB,1.36 MB,23.6 MB,12.4 MB,479 kB,622 kB,5.11 MB
2026-01-07 17:34:00,31.4 MB,8.31 MB,379 kB,21.7 MB,841 kB,40.9 MB,1.42 MB,26.1 MB,13.9 MB,498 kB,4.06 MB,5.46 MB
2026-01-07 17:35:00,31.9 MB,8.42 MB,465 kB,21.7 MB,272 kB,50.8 MB,1.55 MB,26.8 MB,15.7 MB,558 kB,5.60 MB,6.55 MB
2026-01-07 17:36:00,32.1 MB,8.45 MB,565 kB,313 kB,328 kB,52.1 MB,1.79 MB,27.1 MB,1.82 MB,1.57 MB,6.14 MB,6.76 MB
2026-01-07 17:37:00,32.7 MB,8.78 MB,635 kB,378 kB,391 kB,66.3 MB,1.90 MB,33.4 MB,8.66 MB,9.56 MB,12.7 MB,7.10 MB
2026-01-07 17:38:00,33.1 MB,8.81 MB,695 kB,436 kB,416 kB,84.7 MB,1.96 MB,38.4 MB,14.9 MB,16.3 MB,18.7 MB,296 kB
2026-01-07 17:39:00,33.7 MB,8.85 MB,707 kB,444 kB,447 kB,97.3 MB,2.03 MB,39.8 MB,14.9 MB,18.0 MB,20.5 MB,323 kB
2026-01-07 17:40:00,34.2 MB,8.92 MB,800 kB,474 kB,592 kB,98.9 MB,2.12 MB,41.3 MB,2.48 MB,19.7 MB,21.9 MB,385 kB
2026-01-07 17:41:00,34.8 MB,8.96 MB,878 kB,640 kB,671 kB,103 MB,2.38 MB,41.5 MB,2.69 MB,19.9 MB,1.08 MB,401 kB
2026-01-07 17:42:00,35.2 MB,9.33 MB,315 kB,714 kB,764 kB,103 MB,13.5 MB,42.3 MB,3.12 MB,20.5 MB,2.61 MB,349 kB
2026-01-07 17:43:00,35.8 MB,9.36 MB,315 kB,799 kB,767 kB,496 kB,27.6 MB,48.4 MB,10.4 MB,26.2 MB,10.9 MB,409 kB
2026-01-07 17:44:00,35.8 MB,9.36 MB,373 kB,822 kB,767 kB,496 kB,27.6 MB,48.4 MB,10.4 MB,26.2 MB,10.9 MB,409 kB
2026-01-07 17:45:00,35.8 MB,9.36 MB,373 kB,822 kB,767 kB,496 kB,27.6 MB,48.4 MB,10.4 MB,26.2 MB,10.3 MB,409 kB
2026-01-07 17:46:00,35.8 MB,9.36 MB,373 kB,822 kB,767 kB,496 kB,27.6 MB,48.4 MB,10.4 MB,26.2 MB,10.3 MB,409 kB
2026-01-07 17:47:00,35.8 MB,9.36 MB,373 kB,822 kB,767 kB,496 kB,27.6 MB,48.4 MB,10.4 MB,26.2 MB,10.3 MB,409 kB
2026-01-07 17:48:00,,,373 kB,822 kB,,,,,,,,
2026-01-07 17:59:00,36.2 MB,9.41 MB,,,248 kB,542 kB,,48.7 MB,,,11.9 MB,452 kB
2026-01-07 18:00:00,36.2 MB,9.41 MB,450 kB,878 kB,318 kB,542 kB,348 kB,48.7 MB,12.7 MB,28.4 MB,11.9 MB,452 kB
2026-01-07 18:01:00,36.3 MB,9.45 MB,450 kB,878 kB,318 kB,579 kB,348 kB,48.7 MB,12.7 MB,28.4 MB,12.0 MB,486 kB
2026-01-07 18:02:00,36.3 MB,9.45 MB,450 kB,878 kB,318 kB,579 kB,348 kB,48.7 MB,12.7 MB,28.4 MB,12.0 MB,486 kB
2026-01-07 18:03:00,36.3 MB,9.45 MB,450 kB,878 kB,318 kB,579 kB,348 kB,48.7 MB,12.7 MB,28.4 MB,12.0 MB,486 kB
2026-01-07 18:04:00,36.3 MB,9.45 MB,450 kB,878 kB,318 kB,579 kB,348 kB,48.7 MB,12.7 MB,28.4 MB,12.0 MB,486 kB
2026-01-07 18:05:00,36.3 MB,9.45 MB,,,,579 kB,,48.7 MB,,,12.0 MB,486 kB
2026-01-07 18:16:00,,,501 kB,2.46 MB,,620 kB,397 kB,48.7 MB,13.7 MB,,,
2026-01-07 18:17:00,36.4 MB,9.47 MB,554 kB,2.58 MB,385 kB,620 kB,397 kB,48.7 MB,13.7 MB,28.4 MB,13.2 MB,527 kB
2026-01-07 18:18:00,36.8 MB,9.86 MB,801 kB,4.55 MB,553 kB,543 kB,565 kB,1.46 MB,13.9 MB,29.5 MB,13.3 MB,765 kB
2026-01-07 18:19:00,37.0 MB,9.88 MB,858 kB,4.60 MB,637 kB,566 kB,656 kB,1.46 MB,13.9 MB,29.8 MB,13.4 MB,1.24 MB
2026-01-07 18:20:00,37.2 MB,9.95 MB,954 kB,4.63 MB,816 kB,632 kB,726 kB,447 kB,14.0 MB,29.8 MB,13.4 MB,1.36 MB
2026-01-07 18:21:00,37.5 MB,10.0 MB,1.05 MB,2.19 MB,909 kB,683 kB,962 kB,506 kB,14.2 MB,29.9 MB,13.5 MB,1.36 MB
2026-01-07 18:22:00,37.6 MB,10.0 MB,1.11 MB,2.29 MB,965 kB,693 kB,1.04 MB,530 kB,14.2 MB,30.0 MB,13.8 MB,278 kB
2026-01-07 18:23:00,38.0 MB,10.4 MB,1.32 MB,2.29 MB,1.10 MB,520 kB,1.15 MB,1.59 MB,14.3 MB,30.1 MB,13.9 MB,353 kB
2026-01-07 18:24:00,38.2 MB,10.4 MB,1.40 MB,286 kB,1.19 MB,586 kB,1.26 MB,1.67 MB,14.5 MB,464 kB,14.0 MB,1.39 MB
2026-01-07 18:25:00,38.4 MB,10.6 MB,1.53 MB,2.26 MB,1.47 MB,658 kB,1.42 MB,1.86 MB,14.5 MB,481 kB,14.1 MB,338 kB
2026-01-07 18:26:00,38.6 MB,10.6 MB,1.60 MB,2.34 MB,1.47 MB,701 kB,356 kB,2.05 MB,1.21 MB,555 kB,14.2 MB,387 kB
2026-01-07 18:27:00,38.8 MB,10.8 MB,1.77 MB,256 kB,356 kB,827 kB,463 kB,2.18 MB,1.34 MB,555 kB,14.4 MB,1.46 MB
2026-01-07 18:28:00,39.1 MB,11.0 MB,1.89 MB,263 kB,451 kB,1.03 MB,533 kB,2.28 MB,1.42 MB,420 kB,14.5 MB,1.53 MB
2026-01-07 18:29:00,39.3 MB,11.0 MB,1.96 MB,270 kB,499 kB,1.08 MB,563 kB,2.32 MB,1.46 MB,457 kB,14.6 MB,1.58 MB
2026-01-07 18:30:00,39.5 MB,11.1 MB,2.09 MB,277 kB,636 kB,1.18 MB,653 kB,2.59 MB,1.57 MB,468 kB,14.7 MB,1.79 MB
2026-01-07 18:31:00,39.7 MB,11.2 MB,2.27 MB,289 kB,327 kB,1.23 MB,898 kB,2.72 MB,1.77 MB,478 kB,14.8 MB,1.95 MB
2026-01-07 18:32:00,39.9 MB,11.3 MB,2.45 MB,289 kB,503 kB,470 kB,1.02 MB,2.88 MB,1.93 MB,489 kB,15.1 MB,2.10 MB
2026-01-07 18:33:00,40.2 MB,11.5 MB,2.56 MB,2.18 MB,553 kB,554 kB,1.11 MB,2.98 MB,2.04 MB,702 kB,15.2 MB,2.16 MB
2026-01-07 18:34:00,40.5 MB,11.7 MB,2.70 MB,2.28 MB,693 kB,477 kB,441 kB,472 kB,2.16 MB,714 kB,15.3 MB,2.28 MB
2026-01-07 18:35:00,40.6 MB,11.7 MB,2.76 MB,2.32 MB,746 kB,488 kB,444 kB,1.45 MB,2.20 MB,721 kB,15.4 MB,2.44 MB
2026-01-07 18:36:00,40.9 MB,11.9 MB,2.95 MB,2.43 MB,992 kB,373 kB,326 kB,1.56 MB,2.39 MB,733 kB,15.5 MB,2.44 MB
2026-01-07 18:37:00,41.2 MB,12.0 MB,2.99 MB,2.53 MB,1.09 MB,382 kB,134 kB,1.67 MB,2.52 MB,323 kB,354 kB,233 kB
2026-01-07 18:38:00,41.4 MB,12.2 MB,222 kB,2.71 MB,1.23 MB,391 kB,308 kB,1.82 MB,165 kB,334 kB,365 kB,278 kB
2026-01-07 18:39:00,41.6 MB,12.3 MB,300 kB,2.78 MB,1.31 MB,399 kB,315 kB,1.98 MB,174 kB,342 kB,372 kB,285 kB
2026-01-07 18:40:00,41.7 MB,12.3 MB,388 kB,2.85 MB,1.42 MB,399 kB,326 kB,1.23 MB,186 kB,352 kB,383 kB,285 kB
2026-01-07 18:41:00,42.0 MB,12.5 MB,493 kB,2.90 MB,1.64 MB,356 kB,337 kB,1.37 MB,196 kB,361 kB,394 kB,1.25 MB
2026-01-07 18:42:00,42.1 MB,12.5 MB,628 kB,151 kB,1.74 MB,413 kB,352 kB,1.45 MB,205 kB,517 kB,549 kB,1.37 MB
2026-01-07 18:43:00,42.4 MB,12.8 MB,835 kB,196 kB,1.94 MB,544 kB,472 kB,1.45 MB,292 kB,1.36 MB,549 kB,1.49 MB
2026-01-07 18:44:00,42.6 MB,12.9 MB,965 kB,204 kB,2.07 MB,637 kB,481 kB,1.44 MB,302 kB,1.47 MB,1.35 MB,1.64 MB
2026-01-07 18:45:00,42.6 MB,12.9 MB,965 kB,204 kB,2.07 MB,637 kB,481 kB,1.55 MB,302 kB,1.47 MB,1.35 MB,1.72 MB
2026-01-07 18:46:00,42.6 MB,12.9 MB,965 kB,204 kB,2.07 MB,637 kB,481 kB,1.55 MB,302 kB,1.47 MB,1.35 MB,1.72 MB
2026-01-07 18:47:00,42.6 MB,12.9 MB,965 kB,204 kB,2.07 MB,637 kB,481 kB,1.46 MB,302 kB,1.47 MB,1.35 MB,1.72 MB
2026-01-07 18:48:00,42.6 MB,12.9 MB,965 kB,204 kB,2.07 MB,637 kB,481 kB,1.46 MB,302 kB,1.47 MB,1.35 MB,1.72 MB
2026-01-07 18:49:00,,,,,,,,1.46 MB,,,,1.72 MB
2026-01-07 18:50:00,42.8 MB,12.9 MB,1.06 MB,,2.17 MB,708 kB,489 kB,1.53 MB,315 kB,2.50 MB,1.43 MB,
2026-01-07 18:51:00,42.9 MB,12.9 MB,1.12 MB,2.13 MB,2.30 MB,930 kB,501 kB,1.55 MB,324 kB,2.58 MB,1.44 MB,1.89 MB
2026-01-07 18:52:00,43.1 MB,13.1 MB,1.22 MB,2.26 MB,2.49 MB,1.13 MB,381 kB,334 kB,338 kB,2.75 MB,378 kB,2.91 MB
2026-01-07 18:53:00,43.4 MB,13.4 MB,1.43 MB,2.41 MB,2.64 MB,1.29 MB,493 kB,396 kB,432 kB,1.32 MB,388 kB,3.10 MB
2026-01-07 18:54:00,43.6 MB,13.5 MB,1.51 MB,2.54 MB,2.79 MB,1.40 MB,571 kB,404 kB,440 kB,1.32 MB,397 kB,3.23 MB
2026-01-07 18:55:00,43.8 MB,13.5 MB,1.60 MB,2.69 MB,2.89 MB,1.49 MB,646 kB,413 kB,450 kB,386 kB,405 kB,3.34 MB
2026-01-07 18:56:00,44.0 MB,13.6 MB,1.69 MB,2.13 MB,3.08 MB,1.76 MB,721 kB,419 kB,459 kB,427 kB,415 kB,3.53 MB
2026-01-07 18:57:00,44.2 MB,13.7 MB,1.81 MB,2.31 MB,3.29 MB,419 kB,1.03 MB,419 kB,474 kB,439 kB,415 kB,3.61 MB
2026-01-07 18:58:00,44.5 MB,14.1 MB,2.12 MB,2.43 MB,3.46 MB,419 kB,1.12 MB,378 kB,565 kB,450 kB,1.43 MB,3.82 MB
2026-01-07 18:59:00,44.5 MB,14.1 MB,2.12 MB,2.43 MB,3.46 MB,419 kB,1.12 MB,378 kB,565 kB,450 kB,1.43 MB,3.82 MB
2026-01-07 19:00:00,44.5 MB,14.1 MB,2.12 MB,2.43 MB,3.46 MB,419 kB,1.12 MB,378 kB,565 kB,450 kB,1.43 MB,3.82 MB
2026-01-07 19:01:00,44.5 MB,14.1 MB,2.12 MB,2.43 MB,3.46 MB,419 kB,1.12 MB,378 kB,565 kB,450 kB,1.43 MB,3.82 MB
