"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","gateway1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker2 (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 15:41:00,12.2 ms,0.843 ms,6.08 ms,12.6 ms,11.9 ms,6.01 ms,12.1 ms,1.15 ms,11.2 ms,6.04 ms,11.3 ms,6.10 ms,11.9 ms,11.2 ms,0.151 ms,12.2 ms,0.135 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:42:00,12.2 ms,0.944 ms,6.03 ms,12.5 ms,11.7 ms,5.98 ms,11.8 ms,0.902 ms,11.2 ms,5.93 ms,11.3 ms,6.13 ms,12.0 ms,11.2 ms,0.0839 ms,12.1 ms,0.0939 ms,11.9 ms,11.4 ms,12.5 ms
2026-01-08 15:43:00,12.2 ms,0.966 ms,6.56 ms,12.5 ms,11.8 ms,6.00 ms,12.1 ms,0.945 ms,11.1 ms,5.80 ms,11.3 ms,6.02 ms,11.9 ms,11.6 ms,0.111 ms,12.2 ms,0.0668 ms,12.1 ms,11.4 ms,12.5 ms
2026-01-08 15:44:00,12.2 ms,1.01 ms,6.12 ms,12.5 ms,11.9 ms,6.10 ms,12.0 ms,1.02 ms,11.7 ms,6.65 ms,11.2 ms,6.37 ms,12.1 ms,11.2 ms,0.0888 ms,12.2 ms,0.0772 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:45:00,12.2 ms,0.926 ms,6.06 ms,12.5 ms,11.9 ms,5.92 ms,12.0 ms,0.892 ms,11.2 ms,6.37 ms,11.4 ms,6.47 ms,12.0 ms,11.2 ms,0.0835 ms,12.1 ms,0.0859 ms,12.1 ms,11.4 ms,12.4 ms
2026-01-08 15:46:00,12.2 ms,0.942 ms,6.03 ms,12.5 ms,12.4 ms,6.02 ms,12.1 ms,0.973 ms,11.3 ms,6.26 ms,11.1 ms,6.13 ms,12.2 ms,11.3 ms,0.179 ms,12.2 ms,0.260 ms,12.1 ms,11.4 ms,12.5 ms
2026-01-08 15:47:00,12.2 ms,0.965 ms,5.99 ms,12.5 ms,11.8 ms,6.15 ms,11.8 ms,1.08 ms,11.1 ms,5.99 ms,11.3 ms,5.91 ms,12.0 ms,11.4 ms,0.0716 ms,12.1 ms,0.0772 ms,11.9 ms,11.4 ms,12.5 ms
2026-01-08 15:48:00,12.2 ms,1.04 ms,5.95 ms,12.5 ms,11.8 ms,6.05 ms,12.0 ms,1.06 ms,11.1 ms,6.16 ms,11.3 ms,5.92 ms,12.0 ms,11.2 ms,0.0773 ms,12.1 ms,0.0949 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 15:49:00,12.2 ms,1.05 ms,5.95 ms,12.6 ms,11.8 ms,6.04 ms,11.9 ms,0.928 ms,11.2 ms,5.96 ms,11.7 ms,5.97 ms,12.0 ms,11.2 ms,0.0662 ms,12.1 ms,0.0724 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:50:00,12.4 ms,0.950 ms,5.91 ms,12.4 ms,12.1 ms,6.05 ms,11.8 ms,0.900 ms,11.1 ms,5.91 ms,11.4 ms,5.92 ms,12.0 ms,11.2 ms,0.0926 ms,12.7 ms,0.0680 ms,11.8 ms,11.3 ms,12.4 ms
2026-01-08 15:51:00,12.2 ms,1.03 ms,6.01 ms,12.5 ms,11.8 ms,5.74 ms,11.8 ms,1.01 ms,11.8 ms,6.01 ms,11.5 ms,6.00 ms,12.1 ms,11.2 ms,0.264 ms,12.2 ms,0.300 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 15:52:00,12.2 ms,0.883 ms,5.93 ms,12.5 ms,11.7 ms,5.79 ms,12.1 ms,0.964 ms,11.2 ms,5.86 ms,11.8 ms,6.03 ms,11.9 ms,11.2 ms,0.110 ms,12.2 ms,0.0857 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:53:00,12.2 ms,1.05 ms,5.80 ms,12.6 ms,11.7 ms,5.98 ms,12.1 ms,0.931 ms,11.5 ms,6.19 ms,11.7 ms,5.92 ms,11.9 ms,11.2 ms,0.177 ms,12.2 ms,0.193 ms,12.3 ms,11.4 ms,12.4 ms
2026-01-08 15:54:00,12.2 ms,0.902 ms,5.80 ms,17.2 ms,11.7 ms,6.02 ms,12.0 ms,1.03 ms,11.2 ms,6.16 ms,11.6 ms,6.02 ms,11.8 ms,11.3 ms,0.193 ms,12.1 ms,0.184 ms,12.0 ms,11.3 ms,13.0 ms
2026-01-08 15:55:00,13.4 ms,0.956 ms,5.87 ms,12.4 ms,11.8 ms,6.08 ms,11.9 ms,0.920 ms,11.1 ms,6.18 ms,11.6 ms,5.94 ms,11.8 ms,11.2 ms,0.121 ms,12.0 ms,0.117 ms,12.0 ms,11.2 ms,12.4 ms
2026-01-08 15:56:00,12.3 ms,1.00 ms,5.88 ms,12.5 ms,11.8 ms,6.05 ms,12.1 ms,0.926 ms,11.2 ms,5.94 ms,12.8 ms,5.91 ms,12.0 ms,11.5 ms,0.162 ms,12.2 ms,0.116 ms,12.2 ms,11.3 ms,12.4 ms
2026-01-08 15:57:00,12.1 ms,1.08 ms,5.92 ms,12.4 ms,11.8 ms,5.92 ms,11.8 ms,1.05 ms,11.2 ms,6.04 ms,11.8 ms,6.02 ms,12.1 ms,11.3 ms,0.0994 ms,12.2 ms,0.0765 ms,12.1 ms,11.4 ms,12.4 ms
2026-01-08 15:58:00,12.2 ms,0.943 ms,6.03 ms,12.6 ms,11.9 ms,5.95 ms,12.0 ms,0.904 ms,11.2 ms,6.13 ms,11.5 ms,5.94 ms,12.0 ms,11.2 ms,0.0844 ms,12.2 ms,0.0784 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 15:59:00,14.7 ms,1.03 ms,5.98 ms,12.4 ms,11.9 ms,6.21 ms,11.9 ms,0.937 ms,11.2 ms,6.07 ms,11.3 ms,6.20 ms,11.9 ms,11.3 ms,0.184 ms,12.7 ms,0.166 ms,12.0 ms,11.3 ms,15.3 ms
2026-01-08 16:00:00,12.1 ms,1.21 ms,6.10 ms,12.4 ms,12.0 ms,6.58 ms,11.8 ms,0.952 ms,11.1 ms,6.08 ms,11.3 ms,6.05 ms,12.4 ms,11.7 ms,0.124 ms,12.6 ms,0.143 ms,11.9 ms,11.6 ms,12.5 ms
2026-01-08 16:01:00,12.1 ms,0.891 ms,6.55 ms,12.5 ms,11.9 ms,6.64 ms,11.8 ms,0.891 ms,11.1 ms,6.19 ms,11.3 ms,6.01 ms,12.0 ms,11.6 ms,0.117 ms,12.1 ms,0.126 ms,12.1 ms,11.4 ms,12.4 ms
2026-01-08 16:02:00,12.2 ms,0.997 ms,6.06 ms,12.4 ms,11.9 ms,6.54 ms,11.8 ms,0.952 ms,11.2 ms,6.12 ms,11.2 ms,6.09 ms,12.0 ms,11.6 ms,0.0900 ms,12.3 ms,0.0878 ms,11.9 ms,11.8 ms,12.4 ms
2026-01-08 16:03:00,12.2 ms,1.20 ms,6.08 ms,12.4 ms,11.9 ms,6.46 ms,11.9 ms,1.05 ms,11.1 ms,6.14 ms,11.2 ms,6.24 ms,12.0 ms,11.6 ms,0.185 ms,12.2 ms,0.102 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 16:04:00,12.1 ms,0.914 ms,6.01 ms,12.4 ms,12.0 ms,6.08 ms,11.8 ms,0.982 ms,11.2 ms,6.23 ms,11.3 ms,6.08 ms,11.9 ms,10.2 ms,0.0740 ms,12.2 ms,0.105 ms,12.0 ms,10.3 ms,12.4 ms
2026-01-08 16:05:00,12.1 ms,0.959 ms,6.07 ms,12.4 ms,11.8 ms,5.97 ms,11.8 ms,0.982 ms,11.2 ms,6.27 ms,11.4 ms,5.99 ms,12.0 ms,11.2 ms,0.104 ms,12.2 ms,0.127 ms,11.9 ms,11.3 ms,12.4 ms
2026-01-08 16:06:00,12.2 ms,0.905 ms,5.88 ms,12.4 ms,11.9 ms,5.89 ms,11.7 ms,0.888 ms,11.1 ms,5.90 ms,11.3 ms,5.98 ms,12.2 ms,11.2 ms,0.218 ms,12.4 ms,0.304 ms,11.8 ms,11.3 ms,12.5 ms
2026-01-08 16:07:00,12.1 ms,1.10 ms,6.33 ms,12.4 ms,11.8 ms,6.21 ms,11.8 ms,0.966 ms,11.1 ms,6.36 ms,11.1 ms,6.01 ms,12.0 ms,11.2 ms,0.151 ms,12.2 ms,0.151 ms,11.8 ms,11.5 ms,12.4 ms
2026-01-08 16:08:00,12.2 ms,1.08 ms,6.33 ms,12.4 ms,12.1 ms,6.46 ms,12.0 ms,0.912 ms,11.1 ms,6.19 ms,11.3 ms,5.99 ms,12.1 ms,11.2 ms,0.139 ms,12.2 ms,0.123 ms,12.1 ms,11.7 ms,12.5 ms
2026-01-08 16:09:00,12.1 ms,0.820 ms,6.46 ms,12.4 ms,11.9 ms,6.08 ms,12.2 ms,0.865 ms,11.1 ms,5.99 ms,11.2 ms,5.90 ms,11.9 ms,11.2 ms,0.113 ms,12.2 ms,0.122 ms,12.2 ms,11.6 ms,12.4 ms
2026-01-08 16:10:00,12.1 ms,0.959 ms,6.43 ms,12.4 ms,11.8 ms,6.41 ms,11.8 ms,0.929 ms,11.1 ms,6.05 ms,11.1 ms,6.12 ms,12.0 ms,11.5 ms,0.116 ms,12.1 ms,0.115 ms,11.8 ms,11.6 ms,12.5 ms
2026-01-08 16:11:00,12.2 ms,0.876 ms,5.81 ms,12.4 ms,11.8 ms,6.51 ms,12.4 ms,0.926 ms,11.1 ms,5.80 ms,11.2 ms,5.91 ms,11.9 ms,11.6 ms,0.0770 ms,12.1 ms,0.0883 ms,12.0 ms,11.5 ms,12.4 ms
2026-01-08 16:12:00,12.2 ms,0.979 ms,6.35 ms,12.4 ms,11.8 ms,5.89 ms,11.9 ms,0.956 ms,11.7 ms,6.05 ms,11.5 ms,5.89 ms,12.6 ms,11.5 ms,0.137 ms,12.6 ms,0.148 ms,11.9 ms,11.3 ms,12.4 ms
2026-01-08 16:13:00,12.1 ms,0.864 ms,6.01 ms,12.3 ms,11.9 ms,5.89 ms,11.8 ms,0.956 ms,11.2 ms,6.11 ms,11.2 ms,5.95 ms,12.1 ms,11.2 ms,0.0779 ms,12.1 ms,0.132 ms,11.9 ms,11.4 ms,12.4 ms
2026-01-08 16:14:00,12.1 ms,0.972 ms,5.86 ms,12.2 ms,12.0 ms,5.92 ms,11.9 ms,1.00 ms,11.2 ms,6.04 ms,11.3 ms,6.59 ms,12.0 ms,11.2 ms,0.0725 ms,12.3 ms,0.0947 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 16:15:00,12.1 ms,0.985 ms,5.96 ms,12.2 ms,12.0 ms,5.94 ms,12.0 ms,0.947 ms,11.2 ms,6.24 ms,11.2 ms,6.13 ms,12.0 ms,11.2 ms,0.140 ms,12.2 ms,0.0927 ms,12.1 ms,11.3 ms,12.4 ms
2026-01-08 16:16:00,12.2 ms,0.998 ms,6.50 ms,12.2 ms,11.8 ms,6.45 ms,11.8 ms,1.01 ms,11.1 ms,6.32 ms,11.7 ms,6.34 ms,12.0 ms,11.2 ms,0.140 ms,12.2 ms,0.0795 ms,11.8 ms,11.7 ms,12.4 ms
2026-01-08 16:17:00,12.2 ms,1.11 ms,6.49 ms,12.2 ms,11.8 ms,6.40 ms,11.9 ms,1.04 ms,11.1 ms,6.29 ms,11.5 ms,6.49 ms,12.0 ms,11.2 ms,0.140 ms,12.2 ms,0.0795 ms,11.8 ms,11.7 ms,12.4 ms
2026-01-08 16:18:00,12.2 ms,1.07 ms,6.47 ms,12.3 ms,11.8 ms,6.57 ms,12.0 ms,1.02 ms,11.1 ms,6.37 ms,11.8 ms,6.43 ms,12.0 ms,11.2 ms,0.140 ms,12.2 ms,0.0795 ms,12.1 ms,11.7 ms,12.5 ms
2026-01-08 16:19:00,12.2 ms,1.07 ms,6.47 ms,12.3 ms,11.8 ms,6.57 ms,12.0 ms,1.02 ms,11.1 ms,6.37 ms,11.8 ms,6.43 ms,12.0 ms,11.2 ms,0.140 ms,12.2 ms,0.0795 ms,12.1 ms,11.7 ms,12.5 ms
