"Time","sum:","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/gateway","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker1","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker10","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker2","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker3","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker4","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker5","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker6","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker7","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker8","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker9"
2026-01-07 11:11:00,5.53 MB,1.64 MB,157 kB,14.1 MB,1.21 MB,615 kB,133 MB,37.3 MB,1.25 MB,40.3 MB,41.1 MB,447 kB
2026-01-07 11:12:00,5.91 MB,1.66 MB,174 kB,16.7 MB,1.23 MB,666 kB,144 MB,40.0 MB,1.27 MB,43.5 MB,44.8 MB,455 kB
2026-01-07 11:13:00,6.31 MB,1.67 MB,181 kB,19.5 MB,1.24 MB,706 kB,153 MB,42.2 MB,1.28 MB,45.9 MB,47.1 MB,585 kB
2026-01-07 11:14:00,6.71 MB,1.69 MB,204 kB,21.5 MB,1.26 MB,748 kB,159 MB,44.0 MB,1.31 MB,47.6 MB,48.9 MB,591 kB
2026-01-07 11:15:00,7.10 MB,2.04 MB,314 kB,23.7 MB,1.50 MB,1.10 MB,164 MB,45.5 MB,1.54 MB,49.2 MB,50.5 MB,616 kB
2026-01-07 11:16:00,7.77 MB,2.07 MB,424 kB,24.6 MB,1.53 MB,1.20 MB,165 MB,423 kB,2.53 MB,49.7 MB,50.9 MB,763 kB
2026-01-07 11:17:00,7.98 MB,2.09 MB,440 kB,25.9 MB,1.55 MB,1.25 MB,199 MB,440 kB,12.2 MB,58.5 MB,59.5 MB,798 kB
2026-01-07 11:18:00,8.42 MB,2.10 MB,447 kB,38.9 MB,1.56 MB,1.29 MB,245 MB,447 kB,24.0 MB,70.0 MB,70.9 MB,923 kB
2026-01-07 11:19:00,8.93 MB,2.12 MB,470 kB,50.0 MB,1.59 MB,1.33 MB,290 MB,473 kB,35.8 MB,81.8 MB,82.9 MB,930 kB
2026-01-07 11:20:00,9.45 MB,2.46 MB,600 kB,61.9 MB,1.76 MB,1.68 MB,337 MB,606 kB,47.9 MB,94.0 MB,95.4 MB,953 kB
2026-01-07 11:21:00,10.2 MB,2.48 MB,686 kB,74.0 MB,217 kB,1.76 MB,383 MB,834 kB,60.0 MB,106 MB,107 MB,1.09 MB
2026-01-07 11:22:00,10.7 MB,2.50 MB,701 kB,92.0 MB,240 kB,1.81 MB,422 MB,853 kB,70.3 MB,116 MB,117 MB,1.24 MB
2026-01-07 11:23:00,11.2 MB,2.55 MB,747 kB,92.0 MB,286 kB,1.87 MB,422 MB,898 kB,70.5 MB,116 MB,117 MB,1.24 MB
2026-01-07 11:24:00,11.8 MB,2.58 MB,777 kB,264 kB,299 kB,1.94 MB,423 MB,928 kB,70.9 MB,116 MB,117 MB,279 kB
2026-01-07 11:25:00,12.0 MB,2.89 MB,888 kB,374 kB,418 kB,2.28 MB,457 MB,1.04 MB,79.7 MB,126 MB,127 MB,1.35 MB
2026-01-07 11:26:00,12.6 MB,2.94 MB,1000 kB,390 kB,547 kB,2.34 MB,499 MB,1.30 MB,90.9 MB,137 MB,138 MB,16.8 MB
2026-01-07 11:27:00,13.2 MB,2.95 MB,1.01 MB,258 kB,569 kB,2.41 MB,543 MB,1.31 MB,102 MB,148 MB,149 MB,27.9 MB
2026-01-07 11:28:00,13.6 MB,3.01 MB,1.03 MB,266 kB,579 kB,2.47 MB,586 MB,1.32 MB,113 MB,159 MB,160 MB,38.8 MB
2026-01-07 11:29:00,14.2 MB,3.01 MB,1.07 MB,318 kB,630 kB,441 kB,604 MB,1.36 MB,117 MB,163 MB,164 MB,49.7 MB
2026-01-07 11:30:00,14.2 MB,3.30 MB,1.17 MB,360 kB,692 kB,532 kB,604 MB,1.45 MB,118 MB,164 MB,165 MB,52.0 MB
2026-01-07 11:31:00,14.2 MB,3.30 MB,1.17 MB,425 kB,830 kB,547 kB,604 MB,1.45 MB,118 MB,164 MB,165 MB,52.1 MB
2026-01-07 11:32:00,14.2 MB,3.30 MB,1.17 MB,425 kB,830 kB,547 kB,604 MB,1.45 MB,118 MB,164 MB,165 MB,52.1 MB
