run,t_hours,loss
gptneo_1b_snaphot_report,61.25,6.244999999999999
gptneo_1b_snaphot_report,61.5,6.1850000000000005
gptneo_1b_snaphot_report,61.75,6.26
gptneo_1b_snaphot_report,62.0,6.205
gptneo_1b_snaphot_report,62.25,6.16
gptneo_1b_snaphot_report,62.5,6.18
gptneo_1b_snaphot_report,62.75,6.215
gptneo_1b_snaphot_report,63.0,6.2
gptneo_1b_snaphot_report,63.25,6.18
gptneo_1b_snaphot_report,63.5,6.18
gptneo_1b_snaphot_report,63.75,6.1899999999999995
gptneo_1b_snaphot_report,64.0,6.2
gptneo_1b_snaphot_report,64.25,6.225
gptneo_1b_snaphot_report,64.5,6.23
gptneo_1b_snaphot_report,64.75,6.21
gptneo_1b_snaphot_report,65.0,6.19
gptneo_1b_snaphot_report,65.25,6.205
gptneo_1b_snaphot_report,65.5,6.275
gptneo_1b_snaphot_report,65.75,6.1899999999999995
gptneo_1b_snaphot_report,66.0,6.205
gptneo_1b_snaphot_report,66.25,6.145
gptneo_1b_snaphot_report,66.5,6.154999999999999
gptneo_1b_snaphot_report,66.75,6.1850000000000005
gptneo_1b_snaphot_report,67.0,6.13
gptneo_1b_snaphot_report,67.25,6.14
gptneo_1b_snaphot_report,67.5,6.175
gptneo_1b_snaphot_report,67.75,6.125
gptneo_1b_snaphot_report,68.0,6.12
gptneo_1b_snaphot_report,68.25,6.15
gptneo_1b_snaphot_report,68.5,6.140000000000001
gptneo_1b_snaphot_report,68.75,6.175
gptneo_1b_snaphot_report,69.0,6.18
gptneo_1b_snaphot_report,69.25,6.205
gptneo_1b_snaphot_report,69.5,6.245
gptneo_1b_snaphot_report,69.75,6.145
gptneo_1b_snaphot_report,70.0,6.140000000000001
gptneo_1b_snaphot_report,70.25,6.195
gptneo_1b_snaphot_report,70.5,6.255000000000001
gptneo_1b_snaphot_report,70.75,6.225
gptneo_1b_snaphot_report,71.0,6.15
gptneo_1b_snaphot_report,71.25,6.1850000000000005
gptneo_1b_snaphot_report,71.5,6.17
gptneo_1b_snaphot_report,71.75,6.17
gptneo_1b_snaphot_report,72.0,6.16
gptneo_1b_snaphot_report,72.25,6.145
gptneo_1b_snaphot_report,72.5,6.145
gptneo_1b_snaphot_report,72.75,6.105
gptneo_1b_snaphot_report,73.0,6.155
gptneo_1b_snaphot_report,73.25,6.145
gptneo_1b_snaphot_report,73.5,6.1850000000000005
gptneo_1b_snaphot_report,73.75,6.175
gptneo_1b_snaphot_report,74.0,6.175
gptneo_1b_snaphot_report,74.25,6.1899999999999995
gptneo_1b_snaphot_report,74.5,6.175000000000001
gptneo_1b_snaphot_report,74.75,6.175000000000001
gptneo_1b_snaphot_report,75.0,6.09
gptneo_1b_snaphot_report,75.25,6.11
gptneo_1b_snaphot_report,75.5,6.125
gptneo_1b_snaphot_report,75.75,6.15
gptneo_1b_snaphot_report,76.0,6.12
gptneo_1b_snaphot_report,76.25,6.145
