t_hours,worker1_rtt,worker2_rtt,worker3_rtt,worker4_rtt
11.7333,106,109,10.8,110
11.7667,107,110,9.32,110
11.8,106,109,9.08,110
11.8333,106,109,8.99,110
11.8667,107,109,9.16,109
11.9,106,110,9.22,110
11.9333,107,110,9.00,110
11.9667,107,110,9.21,110
12,107,109,9.12,110
12.0333,106,109,11.4,111
12.0667,107,109,9.15,110
12.1,107,110,10.3,111
12.1333,106,109,9.10,111
12.1667,107,110,9.78,110
12.2,107,110,9.27,110
12.2333,106,110,9.12,110
12.2667,106,110,9.27,110
12.3,106,110,9.26,110
12.3333,106,110,9.38,110
12.3667,107,110,9.11,111
12.4,106,109,10.2,111
12.4333,106,110,9.18,114
12.4667,107,110,9.14,110
12.5,107,109,9.13,110
12.5333,106,110,9.20,110
12.5667,107,110,9.05,110
12.6,107,110,9.16,110
12.6333,107,109,9.18,110
12.6667,107,109,11.0,111
12.7,106,110,9.17,110
12.7333,106,110,9.15,113
12.7667,107,109,9.28,110
12.8,107,110,9.09,110
12.8333,107,110,9.17,110
12.8667,107,110,9.18,110
12.9,107,110,9.17,110
12.9333,107,110,9.26,110
12.9667,106,110,9.51,110
13,106,110,9.04,110
13.0333,106,110,11.3,114
13.0667,106,109,9.13,110
13.1,106,110,9.36,110
13.1333,107,110,9.18,110
13.1667,107,109,9.04,110
13.2,107,110,9.15,110
13.2333,107,110,9.22,110
13.2667,106,109,9.34,110
13.3,106,109,9.26,111
13.3333,106,109,10.1,112
13.3667,107,109,9.03,112
13.4,107,110,9.34,110
13.4333,107,110,9.16,110
13.4667,107,110,9.37,110
13.5,106,110,9.16,110
13.5333,106,110,9.17,110
13.5667,107,110,9.33,110
13.6,2610,110,9.36,8260
13.6333,106,109,10.6,112
13.6667,6210,109,9.18,6080
13.7,107,110,9.20,110
13.7333,106,109,9.28,110
13.7667,107,109,9.23,110
13.8,107,110,9.26,111
13.8333,107,109,9.21,110
13.8667,284,110,9.29,282
13.9,107,109,9.36,110
13.9333,1120,110,9.41,1120
13.9667,107,109,9.05,111
14,107,110,9.20,110
14.0333,107,110,9.39,110
14.0667,106,110,9.57,110
14.1,308,110,9.27,308
14.1333,107,110,9.43,110
14.1667,167,110,9.13,167
14.2,107,110,12.2,111
14.2333,106,114,9.25,150
14.2667,106,110,9.21,110
14.3,107,109,9.21,110
14.3333,107,109,9.20,110
14.3667,107,110,9.02,110
14.4,107,110,9.28,110
14.4333,107,109,9.09,109
14.4667,107,109,9.24,109
14.5,106,109,9.51,109
14.5333,107,109,8.95,110
14.5667,107,109,10.1,111
14.6,107,109,9.24,110
14.6333,107,109,9.16,109
14.6667,106,110,9.47,109
14.7,107,110,9.12,110
14.7333,106,110,9.30,109
14.7667,107,109,9.18,110
14.8,295,109,10.6,295
14.8333,107,110,9.22,110
14.8667,290,110,10.8,290
14.9,107,110,9.03,111
14.9333,107,110,9.29,110
14.9667,107,110,9.22,110
15,106,109,9.31,110
15.0333,107,110,9.37,110
15.0667,106,110,9.28,110
15.1,107,110,9.15,110
15.1333,107,109,10.1,112
15.1667,106,109,9.30,110
15.2,107,109,9.11,111
15.2333,107,110,9.30,110
15.2667,106,109,9.25,110
15.3,107,110,9.33,110
15.3333,107,109,9.22,110
15.3667,107,109,9.18,110
15.4,107,110,9.34,110
15.4333,106,109,9.47,122
15.4667,106,109,9.29,110
15.5,107,109,9.07,110
15.5333,107,109,9.17,110
15.5667,107,110,9.21,110
15.6,107,110,9.11,110
15.6333,107,110,9.31,110
15.6667,107,109,9.47,110
15.7,106,110,9.10,110
15.7333,107,109,11.2,110
15.7667,107,110,9.54,110
15.8,106,110,9.26,109
15.8333,106,110,9.11,111
15.8667,107,109,9.51,110
15.9,107,109,9.16,110
15.9333,107,110,9.17,110
15.9667,107,110,9.21,110
16,107,109,9.17,110
16.0333,106,109,9.18,110
16.0667,107,109,9.01,110
16.1,107,110,10.6,109
16.1333,107,109,9.03,111
16.1667,107,109,9.28,110
16.2,107,110,9.21,110
16.2333,106,109,9.32,110
16.2667,107,110,9.13,110
16.3,107,110,9.29,110
16.3333,107,110,9.20,110
16.3667,107,109,11.4,110
16.4,106,109,9.48,110
16.4333,107,109,9.10,112
16.4667,107,109,9.23,110
16.5,107,109,9.23,110
16.5333,107,110,9.30,110
16.5667,107,110,9.21,110
16.6,107,110,9.20,110
16.6333,107,110,9.25,110
16.6667,106,110,9.67,110
16.7,107,109,9.14,110
16.7333,107,110,8.98,111
16.7667,107,110,9.12,111
16.8,107,110,9.15,110
16.8333,107,109,9.25,110
16.8667,107,110,9.06,109
16.9,107,110,9.23,110
16.9333,107,110,9.21,110
16.9667,106,110,9.16,110
17,106,109,11.7,110
17.0333,444,110,9.37,111
17.0667,107,110,9.23,112
17.1,107,110,9.16,110
17.1333,107,110,9.17,110
17.1667,106,109,9.09,110
17.2,107,109,9.23,110
17.2333,107,110,9.14,110
17.2667,106,110,9.23,110
17.3,107,110,11.5,109
17.3333,107,110,9.00,110
17.3667,106,109,9.28,110
17.4,107,110,9.24,110
17.4333,107,110,9.30,110
17.4667,106,110,9.33,110
17.5,107,109,9.38,109
17.5333,107,110,9.13,110
17.5667,106,110,9.12,110
17.6,106,109,10.4,109
17.6333,106,109,9.36,110
17.6667,106,110,9.15,110
17.7,106,110,9.30,110
17.7333,107,110,9.19,110
17.7667,106,109,9.31,110
17.8,106,109,9.14,110
17.8333,106,109,9.21,110
17.8667,107,109,9.30,110
17.9,106,109,9.77,111
17.9333,106,109,9.18,109
17.9667,106,109,9.20,110
18,106,110,9.27,110
18.0333,106,110,9.23,110
18.0667,107,110,9.30,110
18.1,106,110,9.28,110
18.1333,107,110,9.15,110
18.1667,107,110,9.24,110
18.2,106,110,9.95,109
18.2333,106,110,9.09,110
18.2667,106,110,10.8,111
18.3,107,120,9.24,110
18.3333,106,110,9.21,110
18.3667,107,109,9.15,147
18.4,106,109,9.21,110
