"Time","debug","error","info","warn"
2026-01-05 22:56:00,4.95 K,7,207,
2026-01-05 22:57:00,4.30 K,6,184,
2026-01-05 22:58:00,4.15 K,3,214,2
2026-01-05 22:59:00,4.33 K,,221,
2026-01-05 23:00:00,4.29 K,,220,
2026-01-05 23:01:00,7.92 K,1,407,
2026-01-05 23:02:00,6.64 K,,492,
2026-01-05 23:03:00,6.91 K,,611,
2026-01-05 23:04:00,7.08 K,,559,
2026-01-05 23:05:00,7.07 K,,301,
2026-01-05 23:06:00,7.98 K,,340,
2026-01-05 23:07:00,7.19 K,,364,
2026-01-05 23:08:00,7.24 K,,363,
2026-01-05 23:09:00,7.65 K,,339,
2026-01-05 23:10:00,7.65 K,,339,
2026-01-05 23:11:00,8.02 K,,373,
2026-01-05 23:12:00,7.24 K,,360,
2026-01-05 23:13:00,7.25 K,,338,
2026-01-05 23:14:00,7.53 K,,382,
2026-01-05 23:15:00,7.41 K,,327,
2026-01-05 23:16:00,8.08 K,,355,
2026-01-05 23:17:00,7.37 K,,299,
2026-01-05 23:18:00,6.57 K,,474,
2026-01-05 23:19:00,6.57 K,,618,
2026-01-05 23:20:00,6.19 K,,550,
2026-01-05 23:21:00,7.12 K,,561,
2026-01-05 23:22:00,5.93 K,,475,
2026-01-05 23:23:00,6.45 K,,606,
2026-01-05 23:24:00,6.37 K,,562,
2026-01-05 23:25:00,6.29 K,,597,
2026-01-05 23:26:00,7.18 K,,506,
2026-01-05 23:27:00,6.96 K,,351,
2026-01-05 23:28:00,7.05 K,,279,
2026-01-05 23:29:00,7.08 K,,367,
2026-01-05 23:30:00,7.34 K,,332,
2026-01-05 23:31:00,7.92 K,,357,
2026-01-05 23:32:00,7.53 K,,387,
2026-01-05 23:33:00,7.56 K,,413,
2026-01-05 23:34:00,7.46 K,,367,
2026-01-05 23:35:00,7.24 K,,338,
2026-01-05 23:36:00,7.93 K,,309,
2026-01-05 23:37:00,7.30 K,,403,
2026-01-05 23:38:00,6.97 K,,306,
2026-01-05 23:39:00,7.63 K,,357,
2026-01-05 23:40:00,7.31 K,,392,
2026-01-05 23:41:00,8.15 K,,415,
2026-01-05 23:42:00,7.13 K,,385,
2026-01-05 23:43:00,6.80 K,,354,
2026-01-05 23:44:00,7.14 K,,514,
2026-01-05 23:45:00,7.11 K,,413,
2026-01-05 23:46:00,8.05 K,,319,
2026-01-05 23:47:00,7.07 K,,346,
2026-01-05 23:48:00,7.24 K,,396,
2026-01-05 23:49:00,7.66 K,,350,
2026-01-05 23:50:00,7.10 K,,326,
2026-01-05 23:51:00,8.21 K,,357,
2026-01-05 23:52:00,7.26 K,,359,
2026-01-05 23:53:00,7.50 K,,358,
2026-01-05 23:54:00,7.69 K,,349,
2026-01-05 23:55:00,7.40 K,,340,
2026-01-05 23:56:00,8.13 K,,388,
2026-01-05 23:57:00,7.29 K,,343,
2026-01-05 23:58:00,7.37 K,,342,
2026-01-05 23:59:00,7.42 K,,393,
2026-01-06 00:00:00,7.52 K,,340,
2026-01-06 00:01:00,7.63 K,,326,
2026-01-06 00:02:00,8.10 K,,438,
2026-01-06 00:03:00,7.17 K,,350,
2026-01-06 00:04:00,7.49 K,,334,
2026-01-06 00:05:00,7.07 K,,388,
2026-01-06 00:06:00,8.22 K,,344,
2026-01-06 00:07:00,7.60 K,,315,
2026-01-06 00:08:00,7.55 K,,319,
2026-01-06 00:09:00,7.31 K,,354,
2026-01-06 00:10:00,7.43 K,,315,
2026-01-06 00:11:00,8.04 K,,359,
2026-01-06 00:12:00,7.47 K,,319,
2026-01-06 00:13:00,7.13 K,,328,
2026-01-06 00:14:00,7.22 K,,348,
2026-01-06 00:15:00,7.57 K,,390,
2026-01-06 00:16:00,8.21 K,,322,
2026-01-06 00:17:00,7.38 K,,335,
2026-01-06 00:18:00,7.17 K,,351,
2026-01-06 00:19:00,7.11 K,,363,
2026-01-06 00:20:00,7.20 K,,359,
2026-01-06 00:21:00,8.04 K,,330,
2026-01-06 00:22:00,7.14 K,,345,
2026-01-06 00:23:00,7.18 K,,308,
2026-01-06 00:24:00,7.54 K,,304,
2026-01-06 00:25:00,4.89 K,,231,
2026-01-06 00:26:00,8.43 K,,476,
2026-01-06 00:27:00,7.58 K,,496,
2026-01-06 00:28:00,4.94 K,,243,
2026-01-06 00:29:00,7.23 K,,389,
2026-01-06 00:30:00,8.74 K,,715,
2026-01-06 00:31:00,8.93 K,,509,
2026-01-06 00:32:00,7.43 K,,475,
2026-01-06 00:33:00,5.51 K,,337,
2026-01-06 00:34:00,8.74 K,,637,
2026-01-06 00:35:00,8.33 K,,614,
2026-01-06 00:36:00,7.23 K,,405,
2026-01-06 00:37:00,5.74 K,,288,
2026-01-06 00:38:00,7.18 K,,471,
2026-01-06 00:39:00,6.24 K,,306,
2026-01-06 00:40:00,8.76 K,,609,
2026-01-06 00:41:00,9.54 K,,594,
2026-01-06 00:42:00,7.28 K,,496,
2026-01-06 00:43:00,6.10 K,,417,
2026-01-06 00:44:00,7.45 K,,443,
2026-01-06 00:45:00,8.40 K,,592,
2026-01-06 00:46:00,10.3 K,,527,
2026-01-06 00:47:00,8.38 K,,480,
2026-01-06 00:48:00,6.30 K,,354,
2026-01-06 00:49:00,5.57 K,,246,
2026-01-06 00:50:00,5.86 K,,288,
2026-01-06 00:51:00,6.36 K,,228,
2026-01-06 00:52:00,5.13 K,,250,
2026-01-06 00:53:00,4.66 K,,222,
2026-01-06 00:54:00,5.60 K,,288,
2026-01-06 00:55:00,4.90 K,,219,
2026-01-06 00:56:00,6.90 K,,272,
2026-01-06 00:57:00,5.24 K,,268,
2026-01-06 00:58:00,5.48 K,,277,
2026-01-06 00:59:00,5.45 K,,244,
2026-01-06 01:00:00,4.97 K,,255,
2026-01-06 01:01:00,6.74 K,,271,
2026-01-06 01:02:00,6.10 K,,299,
2026-01-06 01:03:00,5.96 K,,289,
2026-01-06 01:04:00,5.32 K,,242,
2026-01-06 01:05:00,6.20 K,,349,
2026-01-06 01:06:00,7.06 K,,263,
2026-01-06 01:07:00,5.72 K,,292,
2026-01-06 01:08:00,5.04 K,,237,
2026-01-06 01:09:00,6.86 K,,372,
2026-01-06 01:10:00,5.19 K,,228,
2026-01-06 01:11:00,7.36 K,,377,
2026-01-06 01:12:00,5.66 K,,301,
2026-01-06 01:13:00,7.81 K,,549,
2026-01-06 01:14:00,7.25 K,,443,
2026-01-06 01:15:00,4.94 K,,228,
2026-01-06 01:16:00,8.74 K,,473,
2026-01-06 01:17:00,5.74 K,,345,
2026-01-06 01:18:00,6.91 K,,425,
2026-01-06 01:19:00,8.65 K,,693,
2026-01-06 01:20:00,6.64 K,,451,
2026-01-06 01:21:00,7.61 K,,363,
2026-01-06 01:22:00,7.36 K,,515,
2026-01-06 01:23:00,8.63 K,,685,
2026-01-06 01:24:00,8.37 K,,562,
2026-01-06 01:25:00,8.26 K,,628,
2026-01-06 01:26:00,9.64 K,,518,
2026-01-06 01:27:00,8.28 K,,580,
2026-01-06 01:28:00,8.89 K,,506,
2026-01-06 01:29:00,9.38 K,,626,
2026-01-06 01:30:00,8.95 K,,570,
2026-01-06 01:31:00,10.3 K,,537,
2026-01-06 01:32:00,8.19 K,,458,
2026-01-06 01:33:00,6.97 K,,401,
2026-01-06 01:34:00,5.01 K,,207,
2026-01-06 01:35:00,5.90 K,,280,
2026-01-06 01:36:00,6.62 K,,259,
2026-01-06 01:37:00,4.67 K,,197,
2026-01-06 01:38:00,5.74 K,,300,
2026-01-06 01:39:00,4.88 K,,184,
2026-01-06 01:40:00,5.31 K,,259,
2026-01-06 01:41:00,7.21 K,,383,
2026-01-06 01:42:00,5.17 K,,220,
2026-01-06 01:43:00,5.89 K,,302,
2026-01-06 01:44:00,5.58 K,,288,
2026-01-06 01:45:00,5.11 K,,209,
2026-01-06 01:46:00,6.95 K,,280,
2026-01-06 01:47:00,5.22 K,,234,
2026-01-06 01:48:00,5.13 K,,249,
2026-01-06 01:49:00,5.57 K,,267,
2026-01-06 01:50:00,5.70 K,,309,
2026-01-06 01:51:00,6.97 K,,293,
2026-01-06 01:52:00,7.97 K,,478,
2026-01-06 01:53:00,8.88 K,,596,
2026-01-06 01:54:00,8.87 K,,500,
2026-01-06 01:55:00,9.03 K,,540,
2026-01-06 01:56:00,10.4 K,,496,
2026-01-06 01:57:00,8.36 K,,477,
2026-01-06 01:58:00,9.24 K,,520,
2026-01-06 01:59:00,8.46 K,,470,
2026-01-06 02:00:00,7.15 K,,405,
2026-01-06 02:01:00,6.40 K,,259,
2026-01-06 02:02:00,4.56 K,,191,
2026-01-06 02:03:00,5.34 K,,268,
2026-01-06 02:04:00,5.88 K,,281,
2026-01-06 02:05:00,5.47 K,,272,
2026-01-06 02:06:00,7.02 K,,279,
2026-01-06 02:07:00,5.84 K,,298,
2026-01-06 02:08:00,5.26 K,,270,
2026-01-06 02:09:00,5.30 K,,229,
2026-01-06 02:10:00,6.11 K,,340,
2026-01-06 02:11:00,6.86 K,,293,
2026-01-06 02:12:00,4.57 K,,197,
2026-01-06 02:13:00,5.39 K,,266,
2026-01-06 02:14:00,5.50 K,,219,
2026-01-06 02:15:00,5.49 K,,272,
2026-01-06 02:16:00,7.66 K,,366,
2026-01-06 02:17:00,4.62 K,,213,
2026-01-06 02:18:00,5.46 K,,262,
2026-01-06 02:19:00,5.41 K,,244,
2026-01-06 02:20:00,4.60 K,,215,
2026-01-06 02:21:00,7.02 K,,330,
2026-01-06 02:22:00,5.54 K,,296,
2026-01-06 02:23:00,5.26 K,,274,
2026-01-06 02:24:00,6.13 K,,249,
2026-01-06 02:25:00,7.88 K,,503,
2026-01-06 02:26:00,10.2 K,,507,
2026-01-06 02:27:00,8.39 K,,559,
2026-01-06 02:28:00,8.30 K,,578,
2026-01-06 02:29:00,9.55 K,,506,
2026-01-06 02:30:00,8.57 K,,492,
2026-01-06 02:31:00,10.4 K,,558,
2026-01-06 02:32:00,8.71 K,,578,
2026-01-06 02:33:00,9.47 K,,555,
2026-01-06 02:34:00,9.24 K,,519,
2026-01-06 02:35:00,8.55 K,,519,
2026-01-06 02:36:00,6.85 K,,292,
2026-01-06 02:37:00,5.82 K,,308,
2026-01-06 02:38:00,6.32 K,,318,
2026-01-06 02:39:00,5.47 K,,232,
2026-01-06 02:40:00,5.21 K,,241,
2026-01-06 02:41:00,6.93 K,,322,
2026-01-06 02:42:00,5.39 K,,278,
