"Time","Weighted Average","Average"
2026-01-06 01:52:00,2.92,2.93
2026-01-06 01:53:00,3.31,3.10
2026-01-06 01:54:00,2.77,2.76
2026-01-06 01:55:00,2.74,2.76
2026-01-06 01:56:00,2.41,2.42
2026-01-06 01:57:00,2.79,2.86
2026-01-06 01:58:00,2.83,2.76
2026-01-06 01:59:00,2.68,2.68
2026-01-06 02:00:00,3.08,3.08
2026-01-06 02:01:00,2.86,2.72
2026-01-06 02:02:00,2.68,2.76
2026-01-06 02:03:00,2.68,2.76
2026-01-06 02:04:00,2.79,2.82
2026-01-06 02:05:00,3.10,2.86
2026-01-06 02:06:00,2.78,2.82
2026-01-06 02:07:00,2.84,3.10
2026-01-06 02:08:00,2.97,2.80
2026-01-06 02:09:00,2.47,2.61
2026-01-06 02:10:00,3.14,2.87
2026-01-06 02:11:00,2.84,2.71
2026-01-06 02:12:00,2.76,2.58
2026-01-06 02:13:00,2.95,2.79
2026-01-06 02:14:00,2.66,2.62
2026-01-06 02:15:00,2.81,2.75
2026-01-06 02:16:00,2.99,2.77
2026-01-06 02:17:00,2.78,2.82
2026-01-06 02:18:00,2.75,2.63
2026-01-06 02:19:00,2.79,2.67
2026-01-06 02:20:00,2.30,2.53
2026-01-06 02:21:00,2.79,2.71
2026-01-06 02:22:00,3.24,3.05
2026-01-06 02:23:00,2.43,2.63
2026-01-06 02:24:00,2.82,2.77
2026-01-06 02:25:00,2.68,2.77
2026-01-06 02:26:00,2.74,2.68
2026-01-06 02:27:00,2.75,2.67
2026-01-06 02:28:00,2.67,2.49
2026-01-06 02:29:00,2.69,2.69
2026-01-06 02:30:00,2.61,2.61
2026-01-06 02:31:00,2.76,2.83
2026-01-06 02:32:00,2.67,2.67
2026-01-06 02:33:00,2.72,2.71
2026-01-06 02:34:00,2.56,2.55
2026-01-06 02:35:00,2.55,2.82
2026-01-06 02:36:00,2.81,2.81
2026-01-06 02:37:00,3.21,3.04
2026-01-06 02:38:00,2.45,2.46
2026-01-06 02:39:00,2.65,2.57
2026-01-06 02:40:00,2.74,2.59
2026-01-06 02:41:00,2.55,2.53
2026-01-06 02:42:00,2.81,2.77
2026-01-06 02:43:00,2.61,2.62
2026-01-06 02:44:00,2.61,2.62
2026-01-06 02:45:00,2.85,2.77
2026-01-06 02:46:00,2.93,2.77
2026-01-06 02:47:00,2.69,2.88
2026-01-06 02:48:00,2.57,2.74
2026-01-06 02:49:00,2.46,2.45
2026-01-06 02:50:00,2.81,2.90
2026-01-06 02:51:00,2.78,2.78
2026-01-06 02:52:00,2.46,2.53
2026-01-06 02:53:00,2.58,2.58
2026-01-06 02:54:00,2.63,2.59
2026-01-06 02:55:00,2.81,2.80
2026-01-06 02:56:00,2.75,2.68
2026-01-06 02:57:00,2.54,2.54
2026-01-06 02:58:00,2.39,2.39
2026-01-06 02:59:00,2.72,2.46
2026-01-06 03:00:00,2.65,2.66
2026-01-06 03:01:00,2.65,2.66
2026-01-06 03:02:00,2.97,3.02
2026-01-06 03:03:00,2.29,2.38
2026-01-06 03:04:00,2.75,2.57
2026-01-06 03:05:00,2.80,2.83
2026-01-06 03:06:00,2.68,2.76
2026-01-06 03:07:00,2.42,2.38
2026-01-06 03:08:00,2.90,2.67
2026-01-06 03:09:00,2.69,2.61
2026-01-06 03:10:00,2.85,2.85
2026-01-06 03:11:00,2.64,2.61
2026-01-06 03:12:00,2.55,2.48
2026-01-06 03:13:00,2.70,2.70
2026-01-06 03:14:00,2.27,2.27
2026-01-06 03:15:00,2.75,2.75
2026-01-06 03:16:00,2.50,2.50
2026-01-06 03:17:00,2.82,2.73
2026-01-06 03:18:00,2.62,2.62
2026-01-06 03:19:00,2.56,2.60
2026-01-06 03:20:00,2.31,2.38
2026-01-06 03:21:00,2.49,2.45
2026-01-06 03:22:00,2.70,2.64
2026-01-06 03:23:00,2.61,2.76
2026-01-06 03:24:00,2.44,2.33
2026-01-06 03:25:00,2.46,2.54
2026-01-06 03:26:00,2.65,2.65
2026-01-06 03:27:00,2.78,2.79
2026-01-06 03:28:00,2.68,2.68
2026-01-06 03:29:00,2.36,2.50
2026-01-06 03:30:00,2.83,2.77
2026-01-06 03:31:00,2.44,2.46
2026-01-06 03:32:00,2.56,2.56
2026-01-06 03:33:00,2.70,2.65
2026-01-06 03:34:00,2.57,2.64
2026-01-06 03:35:00,2.73,2.73
2026-01-06 03:36:00,2.56,2.56
2026-01-06 03:37:00,2.84,2.77
2026-01-06 03:38:00,2.23,2.25
2026-01-06 03:39:00,2.23,2.25
2026-01-06 03:40:00,2.35,2.43
2026-01-06 03:41:00,2.35,2.43
2026-01-06 03:42:00,2.33,2.41
2026-01-06 03:43:00,2.56,2.41
2026-01-06 03:44:00,2.38,2.52
2026-01-06 03:45:00,2.10,2.23
2026-01-06 03:46:00,2.10,2.23
2026-01-06 03:47:00,2.84,2.64
2026-01-06 03:48:00,2.66,2.60
2026-01-06 03:49:00,2.87,2.81
2026-01-06 03:50:00,2.38,2.38
2026-01-06 03:51:00,2.59,2.59
2026-01-06 03:52:00,2.39,2.39
2026-01-06 03:53:00,2.88,2.59
