"Time","gateway1"
2026-01-05 23:18:00,2.37 kb/s
2026-01-05 23:19:00,2.04 kb/s
2026-01-05 23:20:00,492 b/s
2026-01-05 23:21:00,928 b/s
2026-01-05 23:22:00,2.27 kb/s
2026-01-05 23:23:00,2.27 kb/s
2026-01-05 23:24:00,1.99 kb/s
2026-01-05 23:25:00,492 b/s
2026-01-05 23:26:00,928 b/s
2026-01-05 23:27:00,2.32 kb/s
2026-01-05 23:28:00,2.35 kb/s
2026-01-05 23:29:00,2.09 kb/s
2026-01-05 23:30:00,539 b/s
2026-01-05 23:31:00,988 b/s
2026-01-05 23:32:00,2.28 kb/s
2026-01-05 23:33:00,2.28 kb/s
2026-01-05 23:34:00,2.02 kb/s
2026-01-05 23:35:00,576 b/s
2026-01-05 23:36:00,1.01 kb/s
2026-01-05 23:37:00,2.34 kb/s
2026-01-05 23:38:00,2.32 kb/s
2026-01-05 23:39:00,2.04 kb/s
2026-01-05 23:40:00,492 b/s
2026-01-05 23:41:00,977 b/s
2026-01-05 23:42:00,2.29 kb/s
2026-01-05 23:43:00,2.29 kb/s
2026-01-05 23:44:00,1.96 kb/s
2026-01-05 23:45:00,492 b/s
2026-01-05 23:46:00,965 b/s
2026-01-05 23:47:00,2.28 kb/s
2026-01-05 23:48:00,2.28 kb/s
2026-01-05 23:49:00,2.00 kb/s
2026-01-05 23:50:00,539 b/s
2026-01-05 23:51:00,976 b/s
2026-01-05 23:52:00,2.24 kb/s
2026-01-05 23:53:00,2.24 kb/s
2026-01-05 23:54:00,1.98 kb/s
2026-01-05 23:55:00,584 b/s
2026-01-05 23:56:00,1.08 kb/s
2026-01-05 23:57:00,2.37 kb/s
2026-01-05 23:58:00,2.30 kb/s
2026-01-05 23:59:00,1.99 kb/s
2026-01-06 00:00:00,579 b/s
2026-01-06 00:01:00,1.01 kb/s
2026-01-06 00:02:00,2.39 kb/s
2026-01-06 00:03:00,2.33 kb/s
2026-01-06 00:04:00,2.05 kb/s
2026-01-06 00:05:00,529 b/s
2026-01-06 00:06:00,965 b/s
2026-01-06 00:07:00,2.28 kb/s
2026-01-06 00:08:00,2.28 kb/s
2026-01-06 00:09:00,1.99 kb/s
2026-01-06 00:10:00,600 b/s
2026-01-06 00:11:00,1.06 kb/s
2026-01-06 00:12:00,2.47 kb/s
2026-01-06 00:13:00,2.39 kb/s
2026-01-06 00:14:00,2.07 kb/s
2026-01-06 00:15:00,539 b/s
2026-01-06 00:16:00,1.02 kb/s
2026-01-06 00:17:00,2.31 kb/s
2026-01-06 00:18:00,2.29 kb/s
2026-01-06 00:19:00,1.96 kb/s
2026-01-06 00:20:00,539 b/s
2026-01-06 00:21:00,976 b/s
2026-01-06 00:22:00,2.29 kb/s
2026-01-06 00:23:00,2.24 kb/s
2026-01-06 00:24:00,5.20 kb/s
2026-01-06 00:25:00,4.11 kb/s
2026-01-06 00:26:00,7.66 kb/s
2026-01-06 00:27:00,4.70 kb/s
2026-01-06 00:28:00,4.49 kb/s
2026-01-06 00:29:00,1.39 kb/s
2026-01-06 00:30:00,973 b/s
2026-01-06 00:31:00,4.11 kb/s
2026-01-06 00:32:00,4.20 kb/s
2026-01-06 00:33:00,4.38 kb/s
2026-01-06 00:34:00,1.60 kb/s
2026-01-06 00:35:00,1.07 kb/s
2026-01-06 00:36:00,4.11 kb/s
2026-01-06 00:37:00,4.05 kb/s
2026-01-06 00:38:00,4.17 kb/s
2026-01-06 00:39:00,1.39 kb/s
2026-01-06 00:40:00,1.00 kb/s
2026-01-06 00:41:00,4.26 kb/s
2026-01-06 00:42:00,4.19 kb/s
2026-01-06 00:43:00,4.30 kb/s
2026-01-06 00:44:00,1.40 kb/s
2026-01-06 00:45:00,1.03 kb/s
2026-01-06 00:46:00,4.19 kb/s
2026-01-06 00:47:00,4.25 kb/s
2026-01-06 00:48:00,4.75 kb/s
2026-01-06 00:49:00,1.89 kb/s
2026-01-06 00:50:00,1.34 kb/s
2026-01-06 00:51:00,4.06 kb/s
2026-01-06 00:52:00,4.00 kb/s
2026-01-06 00:53:00,4.13 kb/s
2026-01-06 00:54:00,1.34 kb/s
2026-01-06 00:55:00,973 b/s
2026-01-06 00:56:00,4.06 kb/s
2026-01-06 00:57:00,4.00 kb/s
2026-01-06 00:58:00,4.18 kb/s
2026-01-06 00:59:00,1.39 kb/s
2026-01-06 01:00:00,1.02 kb/s
2026-01-06 01:01:00,4.06 kb/s
2026-01-06 01:02:00,4.05 kb/s
2026-01-06 01:03:00,4.18 kb/s
2026-01-06 01:04:00,1.39 kb/s
2026-01-06 01:05:00,967 b/s
2026-01-06 01:06:00,4.06 kb/s
2026-01-06 01:07:00,4.00 kb/s
2026-01-06 01:08:00,4.13 kb/s
2026-01-06 01:09:00,1.35 kb/s
2026-01-06 01:10:00,981 b/s
2026-01-06 01:11:00,4.11 kb/s
2026-01-06 01:12:00,4.07 kb/s
2026-01-06 01:13:00,4.20 kb/s
2026-01-06 01:14:00,1.43 kb/s
2026-01-06 01:15:00,1.07 kb/s
2026-01-06 01:16:00,4.16 kb/s
2026-01-06 01:17:00,4.08 kb/s
2026-01-06 01:18:00,4.16 kb/s
2026-01-06 01:19:00,1.43 kb/s
2026-01-06 01:20:00,1.16 kb/s
2026-01-06 01:21:00,4.37 kb/s
2026-01-06 01:22:00,4.54 kb/s
2026-01-06 01:23:00,4.61 kb/s
2026-01-06 01:24:00,1.76 kb/s
2026-01-06 01:25:00,1.11 kb/s
2026-01-06 01:26:00,4.19 kb/s
2026-01-06 01:27:00,4.19 kb/s
2026-01-06 01:28:00,4.34 kb/s
2026-01-06 01:29:00,1.50 kb/s
2026-01-06 01:30:00,1.08 kb/s
2026-01-06 01:31:00,4.30 kb/s
2026-01-06 01:32:00,4.71 kb/s
2026-01-06 01:33:00,4.77 kb/s
2026-01-06 01:34:00,1.88 kb/s
2026-01-06 01:35:00,1.02 kb/s
2026-01-06 01:36:00,4.11 kb/s
2026-01-06 01:37:00,4.05 kb/s
2026-01-06 01:38:00,4.18 kb/s
2026-01-06 01:39:00,1.43 kb/s
2026-01-06 01:40:00,1.01 kb/s
2026-01-06 01:41:00,4.10 kb/s
2026-01-06 01:42:00,4.15 kb/s
2026-01-06 01:43:00,4.28 kb/s
2026-01-06 01:44:00,1.50 kb/s
2026-01-06 01:45:00,973 b/s
2026-01-06 01:46:00,4.06 kb/s
2026-01-06 01:47:00,4.00 kb/s
2026-01-06 01:48:00,4.41 kb/s
2026-01-06 01:49:00,1.63 kb/s
2026-01-06 01:50:00,1.26 kb/s
2026-01-06 01:51:00,4.06 kb/s
2026-01-06 01:52:00,4.00 kb/s
2026-01-06 01:53:00,4.18 kb/s
2026-01-06 01:54:00,1.48 kb/s
2026-01-06 01:55:00,1.13 kb/s
2026-01-06 01:56:00,4.20 kb/s
2026-01-06 01:57:00,4.33 kb/s
2026-01-06 01:58:00,4.46 kb/s
2026-01-06 01:59:00,1.67 kb/s
