"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","gateway1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker2 (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 14:25:00,12.3 ms,1.06 ms,6.61 ms,12.4 ms,11.8 ms,5.97 ms,11.9 ms,1.02 ms,11.1 ms,6.01 ms,11.6 ms,6.10 ms,11.9 ms,11.2 ms,0.0816 ms,12.1 ms,0.0799 ms,12.0 ms,11.5 ms,12.3 ms
2026-01-08 14:26:00,12.2 ms,0.972 ms,5.93 ms,12.3 ms,11.9 ms,5.87 ms,11.9 ms,0.955 ms,11.2 ms,6.04 ms,11.2 ms,6.04 ms,11.9 ms,11.8 ms,0.0876 ms,12.2 ms,0.472 ms,12.1 ms,11.3 ms,12.3 ms
2026-01-08 14:27:00,12.2 ms,0.839 ms,5.79 ms,12.6 ms,11.9 ms,5.86 ms,12.1 ms,1.01 ms,11.2 ms,5.96 ms,11.3 ms,5.99 ms,11.8 ms,11.6 ms,0.164 ms,12.2 ms,0.0742 ms,12.2 ms,11.3 ms,12.6 ms
2026-01-08 14:28:00,12.2 ms,1.07 ms,5.98 ms,12.4 ms,11.8 ms,5.88 ms,12.0 ms,1.09 ms,11.2 ms,5.95 ms,11.2 ms,5.97 ms,12.0 ms,11.6 ms,0.364 ms,12.2 ms,0.0939 ms,12.0 ms,11.3 ms,12.3 ms
2026-01-08 14:29:00,12.2 ms,0.919 ms,6.01 ms,12.4 ms,11.9 ms,5.94 ms,12.2 ms,0.937 ms,11.2 ms,5.99 ms,11.2 ms,5.98 ms,12.0 ms,11.6 ms,0.0740 ms,12.2 ms,0.210 ms,12.2 ms,11.2 ms,12.4 ms
2026-01-08 14:30:00,12.2 ms,0.845 ms,6.10 ms,12.4 ms,11.9 ms,5.80 ms,12.1 ms,1.02 ms,11.5 ms,5.85 ms,11.1 ms,6.12 ms,11.9 ms,11.2 ms,0.0868 ms,12.2 ms,0.0973 ms,12.1 ms,11.2 ms,12.3 ms
2026-01-08 14:31:00,12.2 ms,0.987 ms,6.05 ms,12.4 ms,11.9 ms,5.86 ms,11.7 ms,1.04 ms,11.1 ms,5.86 ms,11.1 ms,6.05 ms,11.9 ms,11.2 ms,0.119 ms,12.2 ms,0.0678 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:32:00,12.2 ms,1.01 ms,6.22 ms,12.4 ms,11.8 ms,5.73 ms,12.0 ms,1.04 ms,11.2 ms,5.81 ms,11.2 ms,6.12 ms,12.0 ms,11.6 ms,0.0894 ms,12.2 ms,0.135 ms,12.1 ms,11.2 ms,12.3 ms
2026-01-08 14:33:00,12.2 ms,0.992 ms,6.03 ms,12.3 ms,11.8 ms,5.93 ms,12.2 ms,0.972 ms,11.2 ms,5.81 ms,11.2 ms,6.10 ms,11.9 ms,11.2 ms,0.114 ms,12.1 ms,0.108 ms,12.5 ms,11.3 ms,12.3 ms
2026-01-08 14:34:00,12.2 ms,0.908 ms,6.06 ms,12.4 ms,11.8 ms,5.83 ms,11.7 ms,0.976 ms,11.2 ms,5.88 ms,11.2 ms,6.06 ms,11.8 ms,11.6 ms,0.116 ms,12.2 ms,0.0772 ms,12.1 ms,11.3 ms,12.3 ms
