"Time","{}"
2025-12-17 21:30:20,6
2025-12-17 21:30:25,6
2025-12-17 21:30:30,6
2025-12-17 21:30:35,7
2025-12-17 21:30:40,7
2025-12-17 21:30:45,7
2025-12-17 21:30:50,7
2025-12-17 21:30:55,7
2025-12-17 21:31:00,7
2025-12-17 21:31:05,7
2025-12-17 21:31:10,7
2025-12-17 21:31:15,7
2025-12-17 21:31:20,7
2025-12-17 21:31:25,7
2025-12-17 21:31:30,7
2025-12-17 21:31:35,7
2025-12-17 21:31:40,7
2025-12-17 21:31:45,8
2025-12-17 21:31:50,8
2025-12-17 21:31:55,8
2025-12-17 21:32:00,8
2025-12-17 21:32:05,8
2025-12-17 21:32:10,8
2025-12-17 21:32:15,8
2025-12-17 21:32:20,8
2025-12-17 21:32:25,8
2025-12-17 21:32:30,8
2025-12-17 21:32:35,8
2025-12-17 21:32:40,8
2025-12-17 21:32:45,8
2025-12-17 21:32:50,9
2025-12-17 21:32:55,9
2025-12-17 21:33:00,9
2025-12-17 21:33:05,9
2025-12-17 21:33:10,9
2025-12-17 21:33:15,9
2025-12-17 21:33:20,9
2025-12-17 21:33:25,9
2025-12-17 21:33:30,9
2025-12-17 21:33:35,9
2025-12-17 21:33:40,9
2025-12-17 21:33:45,9
2025-12-17 21:33:50,10
2025-12-17 21:33:55,10
2025-12-17 21:34:00,10
2025-12-17 21:34:05,10
2025-12-17 21:34:10,10
2025-12-17 21:34:15,10
2025-12-17 21:34:20,10
2025-12-17 21:34:25,10
2025-12-17 21:34:30,10
2025-12-17 21:34:35,10
2025-12-17 21:34:40,10
2025-12-17 21:34:45,10
2025-12-17 21:34:50,10
2025-12-17 21:34:55,11
2025-12-17 21:35:00,11
2025-12-17 21:35:05,11
2025-12-17 21:35:10,11
2025-12-17 21:35:15,11
2025-12-17 21:35:20,11
2025-12-17 21:35:25,11
2025-12-17 21:35:30,11
2025-12-17 21:35:35,11
2025-12-17 21:35:40,11
2025-12-17 21:35:45,11
2025-12-17 21:35:50,11
2025-12-17 21:35:55,11
2025-12-17 21:36:00,12
2025-12-17 21:36:05,12
2025-12-17 21:36:10,12
2025-12-17 21:36:15,12
2025-12-17 21:36:20,12
2025-12-17 21:36:25,12
2025-12-17 21:36:30,12
2025-12-17 21:36:35,12
2025-12-17 21:36:40,12
2025-12-17 21:36:45,12
2025-12-17 21:36:50,12
2025-12-17 21:36:55,12
2025-12-17 21:37:00,13
2025-12-17 21:37:05,13
2025-12-17 21:37:10,13
2025-12-17 21:37:15,13
2025-12-17 21:37:20,13
2025-12-17 21:37:25,13
2025-12-17 21:37:30,13
2025-12-17 21:37:35,13
2025-12-17 21:37:40,13
2025-12-17 21:37:45,13
2025-12-17 21:37:50,13
2025-12-17 21:37:55,13
2025-12-17 21:38:00,13
2025-12-17 21:38:05,13
2025-12-17 21:38:10,13
2025-12-17 21:38:15,13
2025-12-17 21:38:20,13
2025-12-17 21:38:25,13
2025-12-17 21:38:30,13
2025-12-17 21:38:35,14
2025-12-17 21:38:40,14
2025-12-17 21:38:45,14
2025-12-17 21:38:50,14
2025-12-17 21:38:55,14
2025-12-17 21:39:00,14
2025-12-17 21:39:05,14
2025-12-17 21:39:10,14
