"Time","sum:","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/gateway","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker1","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker10","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker2","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker3","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker4","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker5","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker6","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker7","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker8","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker9"
2026-01-06 22:43:00,6.42 MB,1.65 MB,1.14 MB,62.6 MB,1.63 MB,1.62 MB,260 MB,70.6 MB,72.0 MB,1.60 MB,1.07 MB,64.0 MB
2026-01-06 22:44:00,6.97 MB,1.68 MB,1.17 MB,62.9 MB,1.68 MB,1.65 MB,260 MB,70.8 MB,72.2 MB,1.62 MB,1.29 MB,270 kB
2026-01-06 22:45:00,7.17 MB,1.69 MB,1.18 MB,63.3 MB,1.73 MB,1.66 MB,261 MB,71.2 MB,72.6 MB,1.64 MB,1.43 MB,1.25 MB
2026-01-06 22:46:00,7.81 MB,2.02 MB,1.37 MB,74.2 MB,1.98 MB,1.99 MB,306 MB,80.3 MB,83.9 MB,1.96 MB,1.44 MB,8.62 MB
2026-01-06 22:47:00,8.07 MB,2.08 MB,1.43 MB,74.6 MB,2.08 MB,2.05 MB,306 MB,82.7 MB,83.9 MB,2.02 MB,1.50 MB,17.4 MB
2026-01-06 22:48:00,8.21 MB,2.10 MB,1.45 MB,74.8 MB,2.13 MB,2.07 MB,327 kB,82.9 MB,223 kB,2.04 MB,2.49 MB,17.4 MB
2026-01-06 22:49:00,8.43 MB,2.20 MB,1.56 MB,75.2 MB,3.23 MB,2.21 MB,386 kB,82.9 MB,296 kB,465 kB,2.78 MB,17.9 MB
2026-01-06 22:50:00,8.58 MB,2.21 MB,1.56 MB,75.5 MB,3.40 MB,2.25 MB,443 kB,458 kB,344 kB,520 kB,4.01 MB,18.1 MB
2026-01-06 22:51:00,9.00 MB,2.48 MB,1.71 MB,78.3 MB,13.0 MB,2.56 MB,525 kB,543 kB,2.53 MB,554 kB,8.53 MB,19.2 MB
2026-01-06 22:52:00,9.31 MB,2.52 MB,1.75 MB,81.3 MB,24.3 MB,2.63 MB,550 kB,565 kB,6.21 MB,590 kB,13.3 MB,21.9 MB
2026-01-06 22:53:00,9.59 MB,2.54 MB,1.77 MB,84.1 MB,35.1 MB,2.68 MB,718 kB,597 kB,9.26 MB,610 kB,16.4 MB,25.6 MB
2026-01-06 22:54:00,9.94 MB,2.63 MB,1.85 MB,88.3 MB,50.8 MB,2.80 MB,761 kB,668 kB,12.4 MB,885 kB,20.5 MB,28.8 MB
2026-01-06 22:55:00,10.3 MB,2.64 MB,1.86 MB,91.4 MB,62.2 MB,2.84 MB,819 kB,439 kB,16.0 MB,961 kB,23.6 MB,32.3 MB
2026-01-06 22:56:00,10.6 MB,2.93 MB,2.01 MB,92.5 MB,68.3 MB,3.16 MB,894 kB,517 kB,19.1 MB,998 kB,24.6 MB,35.7 MB
2026-01-06 22:57:00,10.9 MB,2.97 MB,2.05 MB,96.3 MB,81.2 MB,3.23 MB,934 kB,568 kB,565 kB,6.76 MB,28.4 MB,36.9 MB
2026-01-06 22:58:00,11.2 MB,2.99 MB,2.07 MB,99.1 MB,93.3 MB,3.29 MB,1.09 MB,595 kB,584 kB,10.5 MB,31.7 MB,40.9 MB
2026-01-06 22:59:00,11.5 MB,3.08 MB,2.16 MB,102 MB,104 MB,3.41 MB,1.12 MB,595 kB,662 kB,13.9 MB,35.0 MB,43.8 MB
2026-01-06 23:00:00,11.8 MB,3.09 MB,2.17 MB,105 MB,116 MB,3.45 MB,1.19 MB,456 kB,671 kB,16.8 MB,38.2 MB,46.8 MB
2026-01-06 23:01:00,12.2 MB,3.37 MB,2.31 MB,109 MB,131 MB,3.75 MB,1.27 MB,533 kB,408 kB,20.6 MB,41.3 MB,49.9 MB
2026-01-06 23:02:00,12.6 MB,3.41 MB,2.35 MB,112 MB,141 MB,3.82 MB,1.30 MB,574 kB,538 kB,23.4 MB,44.3 MB,53.7 MB
2026-01-06 23:03:00,12.8 MB,3.43 MB,2.36 MB,115 MB,153 MB,3.87 MB,1.46 MB,605 kB,557 kB,26.9 MB,48.1 MB,56.6 MB
2026-01-06 23:04:00,13.2 MB,3.51 MB,2.45 MB,118 MB,167 MB,3.99 MB,1.49 MB,605 kB,634 kB,30.7 MB,51.3 MB,60.5 MB
2026-01-06 23:05:00,13.5 MB,3.52 MB,2.46 MB,120 MB,172 MB,4.04 MB,1.56 MB,455 kB,643 kB,32.1 MB,53.0 MB,62.9 MB
2026-01-06 23:06:00,14.0 MB,3.80 MB,2.60 MB,122 MB,181 MB,4.34 MB,1.64 MB,534 kB,720 kB,34.6 MB,55.0 MB,64.6 MB
2026-01-06 23:07:00,14.2 MB,3.84 MB,2.63 MB,124 MB,189 MB,4.41 MB,1.66 MB,565 kB,852 kB,36.6 MB,57.3 MB,66.6 MB
2026-01-06 23:08:00,14.5 MB,3.88 MB,2.67 MB,127 MB,199 MB,4.48 MB,1.82 MB,595 kB,852 kB,39.0 MB,60.1 MB,71.6 MB
2026-01-06 23:09:00,14.8 MB,3.97 MB,2.75 MB,128 MB,203 MB,4.59 MB,1.86 MB,628 kB,214 kB,40.2 MB,60.5 MB,71.6 MB
2026-01-06 23:10:00,15.4 MB,3.98 MB,2.76 MB,128 MB,203 MB,4.63 MB,1.93 MB,887 kB,279 kB,40.5 MB,61.2 MB,284 kB
2026-01-06 23:11:00,15.8 MB,4.25 MB,2.90 MB,131 MB,213 MB,4.93 MB,2.01 MB,972 kB,359 kB,43.5 MB,64.3 MB,3.75 MB
2026-01-06 23:12:00,16.1 MB,4.28 MB,2.93 MB,133 MB,223 MB,5.00 MB,2.04 MB,1.00 MB,377 kB,46.2 MB,66.6 MB,7.50 MB
2026-01-06 23:13:00,16.4 MB,4.30 MB,2.95 MB,137 MB,235 MB,5.05 MB,2.20 MB,1.02 MB,400 kB,49.4 MB,69.6 MB,11.6 MB
2026-01-06 23:14:00,16.7 MB,4.38 MB,3.03 MB,140 MB,245 MB,5.16 MB,2.23 MB,1.08 MB,540 kB,52.6 MB,73.0 MB,15.0 MB
2026-01-06 23:15:00,17.0 MB,4.39 MB,3.04 MB,142 MB,256 MB,5.21 MB,2.29 MB,1.40 MB,577 kB,55.4 MB,75.3 MB,18.1 MB
2026-01-06 23:16:00,17.9 MB,4.70 MB,3.21 MB,143 MB,259 MB,5.54 MB,2.38 MB,1.40 MB,677 kB,55.6 MB,75.5 MB,19.8 MB
2026-01-06 23:17:00,18.3 MB,4.74 MB,3.24 MB,145 MB,266 MB,5.61 MB,2.41 MB,431 kB,703 kB,58.1 MB,78.2 MB,20.4 MB
2026-01-06 23:18:00,18.6 MB,4.76 MB,3.26 MB,147 MB,277 MB,5.66 MB,2.57 MB,452 kB,728 kB,60.3 MB,80.2 MB,23.1 MB
2026-01-06 23:19:00,19.4 MB,4.81 MB,3.31 MB,148 MB,277 MB,5.75 MB,2.61 MB,479 kB,858 kB,60.7 MB,80.6 MB,24.7 MB
2026-01-06 23:20:00,20.1 MB,4.84 MB,3.34 MB,148 MB,277 MB,5.80 MB,2.64 MB,520 kB,881 kB,61.0 MB,81.0 MB,25.0 MB
2026-01-06 23:21:00,20.6 MB,5.13 MB,3.49 MB,151 MB,287 MB,6.14 MB,2.73 MB,609 kB,278 kB,63.9 MB,84.4 MB,26.5 MB
2026-01-06 23:22:00,20.9 MB,5.20 MB,3.56 MB,154 MB,299 MB,6.14 MB,2.80 MB,841 kB,343 kB,66.9 MB,87.3 MB,30.1 MB
2026-01-06 23:23:00,20.9 MB,5.21 MB,3.58 MB,154 MB,300 MB,447 kB,2.97 MB,904 kB,358 kB,67.0 MB,87.3 MB,31.1 MB
2026-01-06 23:24:00,20.9 MB,5.25 MB,3.61 MB,154 MB,300 MB,455 kB,2.99 MB,912 kB,382 kB,67.1 MB,87.5 MB,31.2 MB
2026-01-06 23:25:00,20.9 MB,5.30 MB,3.66 MB,3.50 MB,300 MB,516 kB,3.04 MB,973 kB,433 kB,67.2 MB,87.6 MB,31.3 MB
