"Time","sum:","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/gateway","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker1","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker10","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker2","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker3","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker4","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker5","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker6","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker7","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker8","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker9"
2026-01-07 10:24:00,5.83 MB,1.91 MB,1.27 MB,16.7 MB,286 kB,1.78 MB,287 MB,10.8 MB,1.34 MB,14.6 MB,7.85 MB,8.73 MB
2026-01-07 10:25:00,6.35 MB,1.94 MB,1.30 MB,27.5 MB,343 kB,1.81 MB,331 MB,21.4 MB,1.36 MB,26.0 MB,8.39 MB,22.2 MB
2026-01-07 10:26:00,6.87 MB,1.98 MB,1.30 MB,36.2 MB,448 kB,1.90 MB,374 MB,27.7 MB,1.40 MB,34.3 MB,9.20 MB,32.6 MB
2026-01-07 10:27:00,7.70 MB,2.28 MB,231 kB,36.4 MB,498 kB,332 kB,376 MB,28.0 MB,1.59 MB,34.6 MB,9.43 MB,299 kB
2026-01-07 10:28:00,8.19 MB,2.32 MB,301 kB,36.9 MB,265 kB,484 kB,378 MB,28.4 MB,1.64 MB,35.0 MB,9.77 MB,1.29 MB
2026-01-07 10:29:00,8.52 MB,2.35 MB,319 kB,42.8 MB,331 kB,529 kB,391 MB,34.7 MB,1.67 MB,41.2 MB,10.5 MB,12.2 MB
2026-01-07 10:30:00,8.84 MB,2.42 MB,392 kB,42.8 MB,425 kB,576 kB,402 MB,34.8 MB,223 kB,41.6 MB,10.5 MB,12.3 MB
2026-01-07 10:31:00,9.06 MB,2.45 MB,403 kB,259 kB,469 kB,555 kB,403 MB,38.2 MB,2.15 MB,42.9 MB,11.0 MB,15.7 MB
2026-01-07 10:32:00,9.71 MB,2.76 MB,579 kB,373 kB,632 kB,498 kB,438 MB,50.2 MB,15.4 MB,55.8 MB,12.3 MB,28.4 MB
2026-01-07 10:33:00,10.2 MB,2.79 MB,611 kB,411 kB,207 kB,527 kB,482 MB,56.0 MB,23.0 MB,63.2 MB,13.2 MB,35.2 MB
2026-01-07 10:34:00,10.6 MB,2.87 MB,705 kB,500 kB,289 kB,644 kB,492 MB,1.42 MB,29.6 MB,9.90 MB,14.0 MB,41.9 MB
2026-01-07 10:35:00,11.1 MB,2.90 MB,727 kB,13.5 MB,312 kB,704 kB,534 MB,1.46 MB,41.2 MB,21.6 MB,15.2 MB,52.9 MB
2026-01-07 10:36:00,11.6 MB,2.93 MB,740 kB,25.5 MB,393 kB,753 kB,577 MB,1.56 MB,52.2 MB,32.5 MB,16.4 MB,63.5 MB
2026-01-07 10:37:00,11.6 MB,3.21 MB,903 kB,36.2 MB,425 kB,992 kB,604 MB,1.60 MB,55.9 MB,34.4 MB,16.7 MB,66.2 MB
2026-01-07 10:38:00,11.6 MB,3.21 MB,925 kB,36.5 MB,425 kB,992 kB,604 MB,1.60 MB,55.9 MB,34.4 MB,16.7 MB,66.2 MB
2026-01-07 10:39:00,11.6 MB,3.21 MB,925 kB,36.5 MB,425 kB,992 kB,604 MB,1.60 MB,55.9 MB,34.4 MB,16.7 MB,66.2 MB
