"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
)  * 8 "
2026-01-11 04:33:00,258 Mb/s
2026-01-11 04:34:00,249 Mb/s
2026-01-11 04:35:00,254 Mb/s
2026-01-11 04:36:00,266 Mb/s
2026-01-11 04:37:00,272 Mb/s
2026-01-11 04:38:00,274 Mb/s
2026-01-11 04:39:00,274 Mb/s
2026-01-11 04:40:00,268 Mb/s
2026-01-11 04:41:00,268 Mb/s
2026-01-11 04:42:00,263 Mb/s
2026-01-11 04:43:00,243 Mb/s
2026-01-11 04:44:00,231 Mb/s
2026-01-11 04:45:00,244 Mb/s
2026-01-11 04:46:00,270 Mb/s
2026-01-11 04:47:00,267 Mb/s
2026-01-11 04:48:00,255 Mb/s
2026-01-11 04:49:00,255 Mb/s
2026-01-11 04:50:00,256 Mb/s
2026-01-11 04:51:00,253 Mb/s
2026-01-11 04:52:00,226 Mb/s
2026-01-11 04:53:00,228 Mb/s
2026-01-11 04:54:00,257 Mb/s
2026-01-11 04:55:00,273 Mb/s
2026-01-11 04:56:00,288 Mb/s
2026-01-11 04:57:00,257 Mb/s
2026-01-11 04:58:00,253 Mb/s
2026-01-11 04:59:00,247 Mb/s
2026-01-11 05:00:00,255 Mb/s
2026-01-11 05:01:00,270 Mb/s
2026-01-11 05:02:00,263 Mb/s
2026-01-11 05:03:00,269 Mb/s
2026-01-11 05:04:00,258 Mb/s
2026-01-11 05:05:00,257 Mb/s
2026-01-11 05:06:00,275 Mb/s
2026-01-11 05:07:00,275 Mb/s
2026-01-11 05:08:00,272 Mb/s
2026-01-11 05:09:00,265 Mb/s
2026-01-11 05:10:00,263 Mb/s
2026-01-11 05:11:00,254 Mb/s
2026-01-11 05:12:00,225 Mb/s
2026-01-11 05:13:00,220 Mb/s
2026-01-11 05:14:00,271 Mb/s
2026-01-11 05:15:00,278 Mb/s
2026-01-11 05:16:00,302 Mb/s
2026-01-11 05:17:00,259 Mb/s
2026-01-11 05:18:00,261 Mb/s
2026-01-11 05:19:00,255 Mb/s
2026-01-11 05:20:00,278 Mb/s
2026-01-11 05:21:00,278 Mb/s
2026-01-11 05:22:00,279 Mb/s
2026-01-11 05:23:00,266 Mb/s
2026-01-11 05:24:00,257 Mb/s
2026-01-11 05:25:00,255 Mb/s
2026-01-11 05:26:00,249 Mb/s
2026-01-11 05:27:00,265 Mb/s
2026-01-11 05:28:00,254 Mb/s
2026-01-11 05:29:00,271 Mb/s
2026-01-11 05:30:00,260 Mb/s
2026-01-11 05:31:00,255 Mb/s
2026-01-11 05:32:00,226 Mb/s
2026-01-11 05:33:00,257 Mb/s
2026-01-11 05:34:00,256 Mb/s
2026-01-11 05:35:00,252 Mb/s
2026-01-11 05:36:00,233 Mb/s
2026-01-11 05:37:00,259 Mb/s
2026-01-11 05:38:00,271 Mb/s
2026-01-11 05:39:00,256 Mb/s
2026-01-11 05:40:00,226 Mb/s
2026-01-11 05:41:00,216 Mb/s
2026-01-11 05:42:00,217 Mb/s
2026-01-11 05:43:00,252 Mb/s
2026-01-11 05:44:00,254 Mb/s
2026-01-11 05:45:00,269 Mb/s
2026-01-11 05:46:00,284 Mb/s
2026-01-11 05:47:00,287 Mb/s
2026-01-11 05:48:00,290 Mb/s
2026-01-11 05:49:00,244 Mb/s
2026-01-11 05:50:00,258 Mb/s
2026-01-11 05:51:00,243 Mb/s
2026-01-11 05:52:00,253 Mb/s
2026-01-11 05:53:00,268 Mb/s
2026-01-11 05:54:00,262 Mb/s
2026-01-11 05:55:00,248 Mb/s
2026-01-11 05:56:00,230 Mb/s
2026-01-11 05:57:00,245 Mb/s
2026-01-11 05:58:00,263 Mb/s
2026-01-11 05:59:00,272 Mb/s
2026-01-11 06:00:00,287 Mb/s
2026-01-11 06:01:00,268 Mb/s
2026-01-11 06:02:00,248 Mb/s
2026-01-11 06:03:00,233 Mb/s
2026-01-11 06:04:00,255 Mb/s
2026-01-11 06:05:00,263 Mb/s
2026-01-11 06:06:00,252 Mb/s
