"Time","in:resnet_americas_03e4b61","out:resnet_americas_03e4b61","sum:resnet_americas_03e4b61"
2026-01-03 23:15:00,976 GB,532 GB,1.51 TB
2026-01-03 23:20:00,988 GB,545 GB,1.53 TB
2026-01-03 23:25:00,1.00 TB,556 GB,1.56 TB
2026-01-03 23:30:00,1.01 TB,568 GB,1.58 TB
2026-01-03 23:35:00,1.03 TB,580 GB,1.61 TB
2026-01-03 23:40:00,1.04 TB,593 GB,1.63 TB
2026-01-03 23:45:00,1.05 TB,605 GB,1.66 TB
2026-01-03 23:50:00,1.06 TB,616 GB,1.68 TB
2026-01-03 23:55:00,1.07 TB,624 GB,1.69 TB
2026-01-04 00:00:00,1.09 TB,631 GB,1.72 TB
2026-01-04 00:05:00,1.10 TB,639 GB,1.74 TB
2026-01-04 00:10:00,1.11 TB,648 GB,1.76 TB
2026-01-04 00:15:00,1.12 TB,656 GB,1.78 TB
2026-01-04 00:20:00,1.14 TB,664 GB,1.80 TB
2026-01-04 00:25:00,1.17 TB,670 GB,1.84 TB
2026-01-04 00:30:00,1.20 TB,677 GB,1.88 TB
2026-01-04 00:35:00,1.21 TB,687 GB,1.90 TB
2026-01-04 00:40:00,1.22 TB,694 GB,1.92 TB
2026-01-04 00:45:00,1.23 TB,699 GB,1.93 TB
2026-01-04 00:50:00,1.24 TB,704 GB,1.95 TB
2026-01-04 00:55:00,1.25 TB,709 GB,1.96 TB
2026-01-04 01:00:00,1.26 TB,715 GB,1.98 TB
2026-01-04 01:05:00,1.27 TB,723 GB,2.00 TB
2026-01-04 01:10:00,1.29 TB,732 GB,2.02 TB
2026-01-04 01:15:00,1.30 TB,743 GB,2.04 TB
2026-01-04 01:20:00,1.31 TB,754 GB,2.07 TB
2026-01-04 01:25:00,1.32 TB,764 GB,2.09 TB
2026-01-04 01:30:00,1.33 TB,767 GB,2.10 TB
2026-01-04 01:35:00,1.34 TB,772 GB,2.11 TB
2026-01-04 01:40:00,1.35 TB,775 GB,2.12 TB
2026-01-04 01:45:00,1.36 TB,784 GB,2.14 TB
2026-01-04 01:50:00,1.37 TB,794 GB,2.16 TB
2026-01-04 01:55:00,1.38 TB,806 GB,2.19 TB
2026-01-04 02:00:00,1.39 TB,817 GB,2.21 TB
2026-01-04 02:05:00,1.40 TB,822 GB,2.22 TB
2026-01-04 02:10:00,1.41 TB,825 GB,2.24 TB
2026-01-04 02:15:00,1.42 TB,835 GB,2.26 TB
2026-01-04 02:20:00,1.44 TB,847 GB,2.28 TB
2026-01-04 02:25:00,1.45 TB,858 GB,2.31 TB
2026-01-04 02:30:00,1.46 TB,865 GB,2.32 TB
2026-01-04 02:35:00,1.46 TB,868 GB,2.33 TB
2026-01-04 02:40:00,1.47 TB,873 GB,2.34 TB
2026-01-04 02:45:00,1.49 TB,881 GB,2.37 TB
2026-01-04 02:50:00,1.50 TB,893 GB,2.39 TB
2026-01-04 02:55:00,1.51 TB,905 GB,2.41 TB
2026-01-04 03:00:00,1.52 TB,917 GB,2.44 TB
2026-01-04 03:05:00,1.53 TB,921 GB,2.45 TB
2026-01-04 03:10:00,1.54 TB,930 GB,2.47 TB
2026-01-04 03:15:00,1.55 TB,941 GB,2.49 TB
2026-01-04 03:20:00,1.56 TB,953 GB,2.52 TB
2026-01-04 03:25:00,1.58 TB,965 GB,2.54 TB
2026-01-04 03:30:00,1.58 TB,969 GB,2.55 TB
2026-01-04 03:35:00,1.59 TB,975 GB,2.57 TB
2026-01-04 03:40:00,1.61 TB,987 GB,2.59 TB
2026-01-04 03:45:00,1.62 TB,999 GB,2.62 TB
2026-01-04 03:50:00,1.63 TB,1.01 TB,2.64 TB
2026-01-04 03:55:00,1.64 TB,1.02 TB,2.66 TB
2026-01-04 04:00:00,1.65 TB,1.03 TB,2.68 TB
2026-01-04 04:05:00,1.66 TB,1.04 TB,2.71 TB
2026-01-04 04:10:00,1.68 TB,1.05 TB,2.73 TB
2026-01-04 04:15:00,1.69 TB,1.07 TB,2.75 TB
2026-01-04 04:20:00,1.70 TB,1.08 TB,2.78 TB
2026-01-04 04:25:00,1.71 TB,1.09 TB,2.80 TB
2026-01-04 04:30:00,1.72 TB,1.10 TB,2.83 TB
2026-01-04 04:35:00,1.74 TB,1.11 TB,2.85 TB
2026-01-04 04:40:00,1.75 TB,1.13 TB,2.87 TB
2026-01-04 04:45:00,1.76 TB,1.14 TB,2.90 TB
2026-01-04 04:50:00,1.77 TB,1.15 TB,2.92 TB
2026-01-04 04:55:00,1.78 TB,1.16 TB,2.94 TB
2026-01-04 05:00:00,1.80 TB,1.17 TB,2.97 TB
2026-01-04 05:05:00,1.81 TB,1.18 TB,2.99 TB
2026-01-04 05:10:00,1.82 TB,1.20 TB,3.02 TB
2026-01-04 05:15:00,1.83 TB,1.21 TB,3.04 TB
2026-01-04 05:20:00,1.84 TB,1.21 TB,3.05 TB
2026-01-04 05:25:00,1.85 TB,1.22 TB,3.08 TB
2026-01-04 05:30:00,1.86 TB,1.24 TB,3.10 TB
2026-01-04 05:35:00,1.88 TB,1.25 TB,3.12 TB
2026-01-04 05:40:00,1.89 TB,1.26 TB,3.15 TB
2026-01-04 05:45:00,1.90 TB,1.27 TB,3.17 TB
2026-01-04 05:50:00,1.91 TB,1.28 TB,3.19 TB
2026-01-04 05:55:00,1.92 TB,1.29 TB,3.22 TB
2026-01-04 06:00:00,1.93 TB,1.31 TB,3.24 TB
2026-01-04 06:05:00,1.95 TB,1.32 TB,3.26 TB
2026-01-04 06:10:00,1.96 TB,1.33 TB,3.29 TB
2026-01-04 06:15:00,1.97 TB,1.34 TB,3.31 TB
2026-01-04 06:20:00,1.98 TB,1.35 TB,3.34 TB
2026-01-04 06:25:00,1.99 TB,1.36 TB,3.36 TB
2026-01-04 06:30:00,2.01 TB,1.38 TB,3.38 TB
2026-01-04 06:35:00,2.02 TB,1.39 TB,3.41 TB
2026-01-04 06:40:00,2.03 TB,1.40 TB,3.43 TB
2026-01-04 06:45:00,2.04 TB,1.41 TB,3.45 TB
2026-01-04 06:50:00,2.05 TB,1.42 TB,3.48 TB
2026-01-04 06:55:00,2.07 TB,1.44 TB,3.50 TB
2026-01-04 07:00:00,2.08 TB,1.45 TB,3.52 TB
2026-01-04 07:05:00,2.09 TB,1.46 TB,3.55 TB
2026-01-04 07:10:00,2.10 TB,1.47 TB,3.57 TB
2026-01-04 07:15:00,2.11 TB,1.48 TB,3.60 TB
2026-01-04 07:20:00,2.12 TB,1.49 TB,3.62 TB
2026-01-04 07:25:00,2.14 TB,1.51 TB,3.64 TB
2026-01-04 07:30:00,2.15 TB,1.52 TB,3.67 TB
2026-01-04 07:35:00,2.16 TB,1.53 TB,3.69 TB
2026-01-04 07:40:00,2.17 TB,1.54 TB,3.71 TB
2026-01-04 07:45:00,2.18 TB,1.55 TB,3.74 TB
2026-01-04 07:50:00,2.20 TB,1.56 TB,3.76 TB
2026-01-04 07:55:00,2.21 TB,1.58 TB,3.78 TB
2026-01-04 08:00:00,2.22 TB,1.59 TB,3.81 TB
2026-01-04 08:05:00,2.23 TB,1.60 TB,3.83 TB
2026-01-04 08:10:00,2.24 TB,1.61 TB,3.86 TB
2026-01-04 08:15:00,2.26 TB,1.62 TB,3.88 TB
2026-01-04 08:20:00,2.27 TB,1.64 TB,3.90 TB
2026-01-04 08:25:00,2.28 TB,1.65 TB,3.93 TB
2026-01-04 08:30:00,2.29 TB,1.66 TB,3.95 TB
2026-01-04 08:35:00,2.30 TB,1.67 TB,3.98 TB
2026-01-04 08:40:00,2.32 TB,1.68 TB,4.00 TB
2026-01-04 08:45:00,2.33 TB,1.70 TB,4.02 TB
2026-01-04 08:50:00,2.34 TB,1.71 TB,4.05 TB
2026-01-04 08:55:00,2.35 TB,1.72 TB,4.07 TB
2026-01-04 09:00:00,2.36 TB,1.73 TB,4.10 TB
2026-01-04 09:05:00,2.37 TB,1.74 TB,4.12 TB
2026-01-04 09:10:00,2.39 TB,1.75 TB,4.14 TB
2026-01-04 09:15:00,2.40 TB,1.76 TB,4.16 TB
2026-01-04 09:20:00,2.41 TB,1.78 TB,4.19 TB
2026-01-04 09:25:00,2.42 TB,1.79 TB,4.21 TB
2026-01-04 09:30:00,2.43 TB,1.80 TB,4.23 TB
2026-01-04 09:35:00,2.45 TB,1.81 TB,4.26 TB
2026-01-04 09:40:00,2.46 TB,1.82 TB,4.28 TB
2026-01-04 09:45:00,2.47 TB,1.84 TB,4.31 TB
2026-01-04 09:50:00,2.48 TB,1.85 TB,4.33 TB
2026-01-04 09:55:00,2.50 TB,1.86 TB,4.36 TB
2026-01-04 10:00:00,2.51 TB,1.87 TB,4.38 TB
2026-01-04 10:05:00,2.52 TB,1.88 TB,4.40 TB
2026-01-04 10:10:00,2.53 TB,1.89 TB,4.43 TB
2026-01-04 10:15:00,2.54 TB,1.91 TB,4.45 TB
2026-01-04 10:20:00,2.55 TB,1.92 TB,4.47 TB
2026-01-04 10:25:00,2.57 TB,1.93 TB,4.50 TB
2026-01-04 10:30:00,2.58 TB,1.94 TB,4.52 TB
2026-01-04 10:35:00,2.59 TB,1.95 TB,4.55 TB
2026-01-04 10:40:00,2.60 TB,1.97 TB,4.57 TB
2026-01-04 10:45:00,2.61 TB,1.98 TB,4.59 TB
2026-01-04 10:50:00,2.63 TB,1.99 TB,4.62 TB
2026-01-04 10:55:00,2.64 TB,2.00 TB,4.64 TB
2026-01-04 11:00:00,2.65 TB,2.02 TB,4.67 TB
2026-01-04 11:05:00,2.66 TB,2.03 TB,4.69 TB
2026-01-04 11:10:00,2.67 TB,2.04 TB,4.71 TB
2026-01-04 11:15:00,2.69 TB,2.05 TB,4.74 TB
2026-01-04 11:20:00,2.70 TB,2.06 TB,4.76 TB
2026-01-04 11:25:00,2.71 TB,2.08 TB,4.79 TB
2026-01-04 11:30:00,2.72 TB,2.09 TB,4.81 TB
2026-01-04 11:35:00,2.73 TB,2.10 TB,4.83 TB
2026-01-04 11:40:00,2.75 TB,2.11 TB,4.86 TB
2026-01-04 11:45:00,2.76 TB,2.12 TB,4.88 TB
2026-01-04 11:50:00,2.77 TB,2.13 TB,4.90 TB
2026-01-04 11:55:00,2.78 TB,2.15 TB,4.93 TB
2026-01-04 12:00:00,2.79 TB,2.16 TB,4.95 TB
2026-01-04 12:05:00,2.81 TB,2.17 TB,4.98 TB
2026-01-04 12:10:00,2.82 TB,2.18 TB,5.00 TB
2026-01-04 12:15:00,2.83 TB,2.19 TB,5.02 TB
2026-01-04 12:20:00,2.84 TB,2.21 TB,5.05 TB
2026-01-04 12:25:00,2.85 TB,2.22 TB,5.07 TB
2026-01-04 12:30:00,2.87 TB,2.23 TB,5.10 TB
2026-01-04 12:35:00,2.88 TB,2.24 TB,5.12 TB
2026-01-04 12:40:00,2.89 TB,2.25 TB,5.14 TB
2026-01-04 12:45:00,2.90 TB,2.27 TB,5.17 TB
2026-01-04 12:50:00,2.91 TB,2.28 TB,5.19 TB
2026-01-04 12:55:00,2.93 TB,2.29 TB,5.22 TB
2026-01-04 13:00:00,2.94 TB,2.30 TB,5.24 TB
2026-01-04 13:05:00,2.95 TB,2.31 TB,5.26 TB
2026-01-04 13:10:00,2.96 TB,2.33 TB,5.29 TB
2026-01-04 13:15:00,2.97 TB,2.34 TB,5.31 TB
2026-01-04 13:20:00,2.99 TB,2.35 TB,5.34 TB
2026-01-04 13:25:00,3.00 TB,2.36 TB,5.36 TB
2026-01-04 13:30:00,3.01 TB,2.37 TB,5.38 TB
2026-01-04 13:35:00,3.02 TB,2.38 TB,5.41 TB
2026-01-04 13:40:00,3.03 TB,2.40 TB,5.43 TB
2026-01-04 13:45:00,3.05 TB,2.41 TB,5.45 TB
2026-01-04 13:50:00,3.06 TB,2.42 TB,5.48 TB
2026-01-04 13:55:00,3.07 TB,2.43 TB,5.50 TB
2026-01-04 14:00:00,3.08 TB,2.44 TB,5.53 TB
2026-01-04 14:05:00,3.09 TB,2.46 TB,5.55 TB
2026-01-04 14:10:00,3.11 TB,2.47 TB,5.57 TB
2026-01-04 14:15:00,3.12 TB,2.48 TB,5.60 TB
2026-01-04 14:20:00,3.13 TB,2.49 TB,5.62 TB
2026-01-04 14:25:00,3.14 TB,2.50 TB,5.65 TB
2026-01-04 14:30:00,3.15 TB,2.52 TB,5.67 TB
2026-01-04 14:35:00,3.17 TB,2.53 TB,5.69 TB
2026-01-04 14:40:00,3.18 TB,2.54 TB,5.72 TB
2026-01-04 14:45:00,3.19 TB,2.55 TB,5.74 TB
2026-01-04 14:50:00,3.20 TB,2.56 TB,5.77 TB
2026-01-04 14:55:00,3.21 TB,2.58 TB,5.79 TB
2026-01-04 15:00:00,3.23 TB,2.59 TB,5.81 TB
2026-01-04 15:05:00,3.24 TB,2.60 TB,5.84 TB
2026-01-04 15:10:00,3.25 TB,2.61 TB,5.86 TB
2026-01-04 15:15:00,3.26 TB,2.63 TB,5.89 TB
2026-01-04 15:20:00,3.27 TB,2.64 TB,5.91 TB
2026-01-04 15:25:00,3.29 TB,2.65 TB,5.94 TB
2026-01-04 15:30:00,3.30 TB,2.66 TB,5.96 TB
2026-01-04 15:35:00,3.31 TB,2.67 TB,5.98 TB
2026-01-04 15:40:00,3.32 TB,2.69 TB,6.01 TB
2026-01-04 15:45:00,3.33 TB,2.70 TB,6.03 TB
2026-01-04 15:50:00,3.35 TB,2.71 TB,6.06 TB
2026-01-04 15:55:00,3.36 TB,2.72 TB,6.08 TB
2026-01-04 16:00:00,3.37 TB,2.73 TB,6.10 TB
2026-01-04 16:05:00,3.38 TB,2.74 TB,6.13 TB
2026-01-04 16:10:00,3.39 TB,2.76 TB,6.15 TB
2026-01-04 16:15:00,3.41 TB,2.77 TB,6.17 TB
2026-01-04 16:20:00,3.42 TB,2.78 TB,6.20 TB
2026-01-04 16:25:00,3.43 TB,2.79 TB,6.22 TB
2026-01-04 16:30:00,3.44 TB,2.80 TB,6.24 TB
2026-01-04 16:35:00,3.45 TB,2.81 TB,6.27 TB
2026-01-04 16:40:00,3.46 TB,2.83 TB,6.29 TB
2026-01-04 16:45:00,3.48 TB,2.84 TB,6.31 TB
2026-01-04 16:50:00,3.49 TB,2.85 TB,6.34 TB
2026-01-04 16:55:00,3.50 TB,2.86 TB,6.36 TB
2026-01-04 17:00:00,3.51 TB,2.87 TB,6.39 TB
2026-01-04 17:05:00,3.52 TB,2.89 TB,6.41 TB
2026-01-04 17:10:00,3.54 TB,2.90 TB,6.43 TB
2026-01-04 17:15:00,3.55 TB,2.91 TB,6.46 TB
2026-01-04 17:20:00,3.56 TB,2.92 TB,6.48 TB
2026-01-04 17:25:00,3.57 TB,2.93 TB,6.50 TB
2026-01-04 17:30:00,3.58 TB,2.95 TB,6.53 TB
2026-01-04 17:35:00,3.60 TB,2.96 TB,6.55 TB
2026-01-04 17:40:00,3.61 TB,2.97 TB,6.58 TB
2026-01-04 17:45:00,3.62 TB,2.98 TB,6.60 TB
2026-01-04 17:50:00,3.63 TB,2.99 TB,6.62 TB
2026-01-04 17:55:00,3.64 TB,3.01 TB,6.65 TB
2026-01-04 18:00:00,3.66 TB,3.02 TB,6.67 TB
2026-01-04 18:05:00,3.67 TB,3.03 TB,6.70 TB
2026-01-04 18:10:00,3.68 TB,3.04 TB,6.72 TB
2026-01-04 18:15:00,3.69 TB,3.05 TB,6.75 TB
2026-01-04 18:20:00,3.70 TB,3.07 TB,6.77 TB
2026-01-04 18:25:00,3.71 TB,3.08 TB,6.79 TB
2026-01-04 18:30:00,3.73 TB,3.09 TB,6.82 TB
2026-01-04 18:35:00,3.74 TB,3.10 TB,6.84 TB
2026-01-04 18:40:00,3.75 TB,3.11 TB,6.86 TB
2026-01-04 18:45:00,3.76 TB,3.12 TB,6.88 TB
2026-01-04 18:50:00,3.77 TB,3.14 TB,6.91 TB
2026-01-04 18:55:00,3.78 TB,3.15 TB,6.93 TB
2026-01-04 19:00:00,3.80 TB,3.16 TB,6.96 TB
2026-01-04 19:05:00,3.81 TB,3.17 TB,6.98 TB
2026-01-04 19:10:00,3.82 TB,3.18 TB,7.00 TB
2026-01-04 19:15:00,3.83 TB,3.20 TB,7.03 TB
2026-01-04 19:20:00,3.84 TB,3.21 TB,7.05 TB
2026-01-04 19:25:00,3.86 TB,3.22 TB,7.08 TB
2026-01-04 19:30:00,3.87 TB,3.23 TB,7.10 TB
2026-01-04 19:35:00,3.88 TB,3.24 TB,7.12 TB
2026-01-04 19:40:00,3.89 TB,3.25 TB,7.15 TB
2026-01-04 19:45:00,3.90 TB,3.27 TB,7.17 TB
2026-01-04 19:50:00,3.92 TB,3.28 TB,7.19 TB
2026-01-04 19:55:00,3.93 TB,3.29 TB,7.22 TB
2026-01-04 20:00:00,3.94 TB,3.30 TB,7.24 TB
2026-01-04 20:05:00,3.95 TB,3.31 TB,7.27 TB
2026-01-04 20:10:00,3.96 TB,3.33 TB,7.29 TB
2026-01-04 20:15:00,3.98 TB,3.34 TB,7.31 TB
2026-01-04 20:20:00,3.99 TB,3.35 TB,7.34 TB
2026-01-04 20:25:00,4.00 TB,3.36 TB,7.36 TB
2026-01-04 20:30:00,4.01 TB,3.37 TB,7.39 TB
2026-01-04 20:35:00,4.02 TB,3.39 TB,7.41 TB
2026-01-04 20:40:00,4.04 TB,3.40 TB,7.43 TB
2026-01-04 20:45:00,4.05 TB,3.41 TB,7.46 TB
2026-01-04 20:50:00,4.06 TB,3.42 TB,7.48 TB
2026-01-04 20:55:00,4.07 TB,3.43 TB,7.51 TB
2026-01-04 21:00:00,4.08 TB,3.45 TB,7.53 TB
2026-01-04 21:05:00,4.10 TB,3.46 TB,7.56 TB
2026-01-04 21:10:00,4.11 TB,3.47 TB,7.58 TB
2026-01-04 21:15:00,4.12 TB,3.48 TB,7.60 TB
2026-01-04 21:20:00,4.13 TB,3.49 TB,7.63 TB
2026-01-04 21:25:00,4.14 TB,3.51 TB,7.65 TB
2026-01-04 21:30:00,4.16 TB,3.52 TB,7.67 TB
2026-01-04 21:35:00,4.17 TB,3.53 TB,7.70 TB
2026-01-04 21:40:00,4.18 TB,3.54 TB,7.72 TB
2026-01-04 21:45:00,4.19 TB,3.55 TB,7.75 TB
2026-01-04 21:50:00,4.20 TB,3.57 TB,7.77 TB
2026-01-04 21:55:00,4.22 TB,3.58 TB,7.79 TB
2026-01-04 22:00:00,4.23 TB,3.59 TB,7.82 TB
2026-01-04 22:05:00,4.24 TB,3.60 TB,7.84 TB
2026-01-04 22:10:00,4.25 TB,3.61 TB,7.87 TB
2026-01-04 22:15:00,4.26 TB,3.63 TB,7.89 TB
2026-01-04 22:20:00,4.28 TB,3.64 TB,7.91 TB
2026-01-04 22:25:00,4.29 TB,3.65 TB,7.94 TB
2026-01-04 22:30:00,4.30 TB,3.66 TB,7.96 TB
2026-01-04 22:35:00,4.31 TB,3.67 TB,7.99 TB
2026-01-04 22:40:00,4.32 TB,3.69 TB,8.01 TB
2026-01-04 22:45:00,4.34 TB,3.70 TB,8.04 TB
2026-01-04 22:50:00,4.35 TB,3.71 TB,8.06 TB
2026-01-04 22:55:00,4.36 TB,3.72 TB,8.08 TB
2026-01-04 23:00:00,4.37 TB,3.73 TB,8.11 TB
2026-01-04 23:05:00,4.38 TB,3.75 TB,8.13 TB
2026-01-04 23:10:00,4.40 TB,3.76 TB,8.16 TB
2026-01-04 23:15:00,4.41 TB,3.77 TB,8.18 TB
2026-01-04 23:20:00,4.42 TB,3.78 TB,8.20 TB
2026-01-04 23:25:00,4.43 TB,3.79 TB,8.23 TB
2026-01-04 23:30:00,4.44 TB,3.81 TB,8.25 TB
2026-01-04 23:35:00,4.46 TB,3.82 TB,8.27 TB
2026-01-04 23:40:00,4.47 TB,3.83 TB,8.30 TB
2026-01-04 23:45:00,4.48 TB,3.84 TB,8.32 TB
2026-01-04 23:50:00,4.49 TB,3.85 TB,8.35 TB
2026-01-04 23:55:00,4.50 TB,3.87 TB,8.37 TB
2026-01-05 00:00:00,4.52 TB,3.88 TB,8.39 TB
2026-01-05 00:05:00,4.53 TB,3.89 TB,8.42 TB
2026-01-05 00:10:00,4.54 TB,3.90 TB,8.44 TB
2026-01-05 00:15:00,4.55 TB,3.91 TB,8.47 TB
2026-01-05 00:20:00,4.56 TB,3.93 TB,8.49 TB
2026-01-05 00:25:00,4.58 TB,3.94 TB,8.51 TB
2026-01-05 00:30:00,4.59 TB,3.95 TB,8.54 TB
2026-01-05 00:35:00,4.60 TB,3.96 TB,8.56 TB
2026-01-05 00:40:00,4.61 TB,3.97 TB,8.59 TB
2026-01-05 00:45:00,4.62 TB,3.98 TB,8.61 TB
2026-01-05 00:50:00,4.64 TB,4.00 TB,8.63 TB
2026-01-05 00:55:00,4.65 TB,4.01 TB,8.66 TB
2026-01-05 01:00:00,4.66 TB,4.02 TB,8.68 TB
2026-01-05 01:05:00,4.67 TB,4.03 TB,8.71 TB
2026-01-05 01:10:00,4.68 TB,4.05 TB,8.73 TB
2026-01-05 01:15:00,4.70 TB,4.06 TB,8.75 TB
2026-01-05 01:20:00,4.71 TB,4.07 TB,8.78 TB
2026-01-05 01:25:00,4.72 TB,4.08 TB,8.80 TB
2026-01-05 01:30:00,4.73 TB,4.09 TB,8.83 TB
2026-01-05 01:35:00,4.74 TB,4.11 TB,8.85 TB
2026-01-05 01:40:00,4.76 TB,4.12 TB,8.87 TB
2026-01-05 01:45:00,4.77 TB,4.13 TB,8.90 TB
2026-01-05 01:50:00,4.78 TB,4.14 TB,8.92 TB
2026-01-05 01:55:00,4.79 TB,4.15 TB,8.95 TB
2026-01-05 02:00:00,4.80 TB,4.16 TB,8.97 TB
2026-01-05 02:05:00,4.82 TB,4.18 TB,8.99 TB
2026-01-05 02:10:00,4.83 TB,4.19 TB,9.02 TB
2026-01-05 02:15:00,4.84 TB,4.20 TB,9.04 TB
2026-01-05 02:20:00,4.85 TB,4.21 TB,9.06 TB
2026-01-05 02:25:00,4.86 TB,4.22 TB,9.09 TB
2026-01-05 02:30:00,4.88 TB,4.24 TB,9.11 TB
2026-01-05 02:35:00,4.89 TB,4.25 TB,9.14 TB
2026-01-05 02:40:00,4.90 TB,4.26 TB,9.16 TB
2026-01-05 02:45:00,4.91 TB,4.27 TB,9.18 TB
2026-01-05 02:50:00,4.92 TB,4.28 TB,9.21 TB
2026-01-05 02:55:00,4.94 TB,4.30 TB,9.23 TB
2026-01-05 03:00:00,4.95 TB,4.31 TB,9.26 TB
2026-01-05 03:05:00,4.96 TB,4.32 TB,9.28 TB
2026-01-05 03:10:00,4.97 TB,4.33 TB,9.31 TB
2026-01-05 03:15:00,4.98 TB,4.34 TB,9.33 TB
2026-01-05 03:20:00,4.99 TB,4.36 TB,9.35 TB
2026-01-05 03:25:00,5.01 TB,4.37 TB,9.38 TB
2026-01-05 03:30:00,5.02 TB,4.38 TB,9.40 TB
2026-01-05 03:35:00,5.03 TB,4.39 TB,9.42 TB
2026-01-05 03:40:00,5.04 TB,4.40 TB,9.45 TB
2026-01-05 03:45:00,5.06 TB,4.42 TB,9.47 TB
2026-01-05 03:50:00,5.07 TB,4.43 TB,9.50 TB
2026-01-05 03:55:00,5.08 TB,4.44 TB,9.52 TB
2026-01-05 04:00:00,5.09 TB,4.45 TB,9.54 TB
2026-01-05 04:05:00,5.10 TB,4.46 TB,9.57 TB
2026-01-05 04:10:00,5.11 TB,4.48 TB,9.59 TB
2026-01-05 04:15:00,5.13 TB,4.49 TB,9.61 TB
2026-01-05 04:20:00,5.14 TB,4.50 TB,9.64 TB
2026-01-05 04:25:00,5.15 TB,4.51 TB,9.66 TB
2026-01-05 04:30:00,5.16 TB,4.52 TB,9.69 TB
2026-01-05 04:35:00,5.17 TB,4.53 TB,9.71 TB
2026-01-05 04:40:00,5.19 TB,4.55 TB,9.73 TB
2026-01-05 04:45:00,5.20 TB,4.56 TB,9.76 TB
2026-01-05 04:50:00,5.21 TB,4.57 TB,9.78 TB
2026-01-05 04:55:00,5.22 TB,4.58 TB,9.80 TB
2026-01-05 05:00:00,5.23 TB,4.59 TB,9.83 TB
