"Time","sum:resnet_americas_03e4b61/gateway1","sum:resnet_americas_03e4b61/scheduler","sum:resnet_americas_03e4b61/worker1","sum:resnet_americas_03e4b61/worker3","sum:resnet_americas_03e4b61/worker4","sum:resnet_americas_03e4b61/worker6"
2026-01-03 21:10:00,7.60 MB,27.0 MB,263 GB,268 GB,189 GB,236 GB
2026-01-03 21:15:00,7.79 MB,27.7 MB,267 GB,279 GB,193 GB,240 GB
2026-01-03 21:20:00,7.95 MB,28.4 MB,270 GB,291 GB,197 GB,244 GB
2026-01-03 21:25:00,8.11 MB,29.2 MB,274 GB,297 GB,203 GB,246 GB
2026-01-03 21:30:00,8.30 MB,29.9 MB,278 GB,309 GB,207 GB,250 GB
2026-01-03 21:35:00,8.49 MB,30.6 MB,282 GB,321 GB,211 GB,254 GB
2026-01-03 21:40:00,8.65 MB,31.3 MB,286 GB,333 GB,215 GB,258 GB
2026-01-03 21:45:00,8.85 MB,32.2 MB,288 GB,338 GB,219 GB,260 GB
2026-01-03 21:50:00,9.01 MB,33.0 MB,291 GB,344 GB,224 GB,261 GB
2026-01-03 21:55:00,9.18 MB,33.7 MB,295 GB,356 GB,228 GB,265 GB
2026-01-03 22:00:00,9.36 MB,34.4 MB,299 GB,368 GB,232 GB,269 GB
2026-01-03 22:05:00,9.55 MB,35.1 MB,303 GB,380 GB,236 GB,273 GB
2026-01-03 22:10:00,9.73 MB,35.8 MB,306 GB,388 GB,241 GB,276 GB
2026-01-03 22:15:00,9.89 MB,36.6 MB,310 GB,399 GB,246 GB,280 GB
2026-01-03 22:20:00,10.1 MB,37.3 MB,314 GB,411 GB,250 GB,284 GB
2026-01-03 22:25:00,10.3 MB,38.0 MB,318 GB,423 GB,254 GB,289 GB
2026-01-03 22:30:00,10.5 MB,38.7 MB,322 GB,435 GB,258 GB,293 GB
2026-01-03 22:35:00,10.6 MB,39.5 MB,324 GB,443 GB,263 GB,295 GB
2026-01-03 22:40:00,10.8 MB,40.2 MB,328 GB,454 GB,267 GB,299 GB
2026-01-03 22:45:00,11.0 MB,40.9 MB,332 GB,466 GB,271 GB,303 GB
2026-01-03 22:50:00,11.1 MB,41.6 MB,336 GB,478 GB,275 GB,307 GB
2026-01-03 22:55:00,11.3 MB,42.2 MB,340 GB,490 GB,279 GB,311 GB
2026-01-03 23:00:00,11.5 MB,42.9 MB,344 GB,502 GB,283 GB,315 GB
2026-01-03 23:05:00,11.7 MB,43.7 MB,348 GB,514 GB,287 GB,319 GB
2026-01-03 23:10:00,11.9 MB,44.4 MB,352 GB,526 GB,291 GB,323 GB
2026-01-03 23:15:00,12.0 MB,45.2 MB,354 GB,532 GB,296 GB,325 GB
2026-01-03 23:20:00,12.2 MB,45.9 MB,358 GB,544 GB,301 GB,329 GB
2026-01-03 23:25:00,12.4 MB,46.6 MB,362 GB,556 GB,304 GB,333 GB
2026-01-03 23:30:00,12.6 MB,47.3 MB,366 GB,568 GB,308 GB,338 GB
2026-01-03 23:35:00,12.8 MB,48.0 MB,372 GB,580 GB,312 GB,342 GB
2026-01-03 23:40:00,12.9 MB,48.7 MB,376 GB,592 GB,317 GB,346 GB
2026-01-03 23:45:00,13.1 MB,49.4 MB,380 GB,605 GB,321 GB,350 GB
2026-01-03 23:50:00,13.3 MB,50.1 MB,384 GB,616 GB,324 GB,354 GB
2026-01-03 23:55:00,13.5 MB,50.9 MB,386 GB,623 GB,327 GB,357 GB
2026-01-04 00:00:00,13.7 MB,51.5 MB,391 GB,630 GB,334 GB,361 GB
2026-01-04 00:05:00,13.8 MB,52.2 MB,393 GB,639 GB,341 GB,363 GB
2026-01-04 00:10:00,14.0 MB,52.9 MB,397 GB,648 GB,348 GB,367 GB
2026-01-04 00:15:00,14.2 MB,53.7 MB,399 GB,656 GB,354 GB,369 GB
2026-01-04 00:20:00,14.3 MB,54.5 MB,402 GB,664 GB,361 GB,376 GB
2026-01-04 00:25:00,14.5 MB,55.2 MB,417 GB,670 GB,368 GB,389 GB
2026-01-04 00:30:00,14.7 MB,55.9 MB,428 GB,677 GB,374 GB,400 GB
2026-01-04 00:35:00,14.8 MB,56.6 MB,432 GB,686 GB,378 GB,405 GB
2026-01-04 00:40:00,15.0 MB,57.4 MB,434 GB,694 GB,382 GB,407 GB
2026-01-04 00:45:00,15.2 MB,58.2 MB,436 GB,698 GB,388 GB,409 GB
2026-01-04 00:50:00,15.3 MB,59.1 MB,437 GB,703 GB,394 GB,410 GB
2026-01-04 00:55:00,15.5 MB,59.7 MB,439 GB,708 GB,400 GB,412 GB
2026-01-04 01:00:00,15.6 MB,60.3 MB,441 GB,715 GB,406 GB,414 GB
2026-01-04 01:05:00,15.8 MB,61.1 MB,444 GB,723 GB,413 GB,418 GB
2026-01-04 01:10:00,16.0 MB,61.8 MB,447 GB,732 GB,418 GB,425 GB
2026-01-04 01:15:00,16.1 MB,62.5 MB,450 GB,743 GB,422 GB,428 GB
2026-01-04 01:20:00,16.3 MB,63.2 MB,454 GB,754 GB,425 GB,432 GB
2026-01-04 01:25:00,16.5 MB,64.0 MB,457 GB,764 GB,431 GB,435 GB
2026-01-04 01:30:00,16.6 MB,64.7 MB,459 GB,767 GB,436 GB,436 GB
2026-01-04 01:35:00,16.8 MB,65.5 MB,460 GB,772 GB,441 GB,438 GB
2026-01-04 01:40:00,17.0 MB,66.5 MB,461 GB,775 GB,446 GB,440 GB
2026-01-04 01:45:00,17.1 MB,67.2 MB,464 GB,783 GB,451 GB,443 GB
2026-01-04 01:50:00,17.3 MB,67.9 MB,468 GB,794 GB,455 GB,447 GB
2026-01-04 01:55:00,17.5 MB,68.6 MB,471 GB,806 GB,459 GB,451 GB
2026-01-04 02:00:00,17.7 MB,69.3 MB,475 GB,817 GB,463 GB,454 GB
2026-01-04 02:05:00,17.8 MB,70.1 MB,477 GB,821 GB,469 GB,456 GB
2026-01-04 02:10:00,18.0 MB,70.9 MB,478 GB,825 GB,475 GB,460 GB
2026-01-04 02:15:00,18.2 MB,71.7 MB,481 GB,834 GB,479 GB,463 GB
2026-01-04 02:20:00,18.4 MB,72.4 MB,485 GB,846 GB,483 GB,467 GB
2026-01-04 02:25:00,18.5 MB,73.1 MB,489 GB,858 GB,487 GB,471 GB
2026-01-04 02:30:00,18.7 MB,73.9 MB,491 GB,865 GB,492 GB,474 GB
2026-01-04 02:35:00,18.9 MB,74.7 MB,492 GB,868 GB,497 GB,475 GB
2026-01-04 02:40:00,19.0 MB,75.5 MB,494 GB,872 GB,503 GB,476 GB
2026-01-04 02:45:00,19.2 MB,76.2 MB,497 GB,881 GB,508 GB,481 GB
2026-01-04 02:50:00,19.4 MB,76.9 MB,500 GB,893 GB,511 GB,485 GB
2026-01-04 02:55:00,19.5 MB,77.6 MB,504 GB,904 GB,515 GB,489 GB
2026-01-04 03:00:00,19.7 MB,78.3 MB,508 GB,916 GB,519 GB,493 GB
2026-01-04 03:05:00,19.9 MB,79.0 MB,510 GB,921 GB,525 GB,494 GB
2026-01-04 03:10:00,20.0 MB,79.8 MB,513 GB,929 GB,530 GB,497 GB
2026-01-04 03:15:00,20.2 MB,80.5 MB,517 GB,941 GB,534 GB,501 GB
2026-01-04 03:20:00,20.4 MB,81.2 MB,521 GB,953 GB,538 GB,505 GB
2026-01-04 03:25:00,20.5 MB,81.9 MB,525 GB,965 GB,542 GB,509 GB
2026-01-04 03:30:00,20.7 MB,82.7 MB,526 GB,969 GB,547 GB,511 GB
2026-01-04 03:35:00,20.9 MB,83.5 MB,529 GB,975 GB,552 GB,512 GB
2026-01-04 03:40:00,21.0 MB,84.2 MB,533 GB,987 GB,556 GB,516 GB
2026-01-04 03:45:00,21.2 MB,84.9 MB,537 GB,999 GB,560 GB,521 GB
2026-01-04 03:50:00,21.4 MB,85.6 MB,541 GB,1.01 TB,564 GB,525 GB
2026-01-04 03:55:00,21.5 MB,86.3 MB,544 GB,1.02 TB,569 GB,527 GB
2026-01-04 04:00:00,21.7 MB,87.0 MB,548 GB,1.03 TB,573 GB,531 GB
2026-01-04 04:05:00,21.9 MB,87.7 MB,552 GB,1.04 TB,577 GB,535 GB
2026-01-04 04:10:00,22.1 MB,88.4 MB,556 GB,1.05 TB,581 GB,539 GB
2026-01-04 04:15:00,22.3 MB,89.1 MB,560 GB,1.07 TB,585 GB,543 GB
2026-01-04 04:20:00,22.5 MB,89.8 MB,564 GB,1.08 TB,589 GB,547 GB
2026-01-04 04:25:00,22.7 MB,90.5 MB,568 GB,1.09 TB,593 GB,551 GB
2026-01-04 04:30:00,22.9 MB,91.2 MB,572 GB,1.10 TB,598 GB,555 GB
2026-01-04 04:35:00,23.0 MB,91.9 MB,576 GB,1.11 TB,602 GB,559 GB
2026-01-04 04:40:00,23.2 MB,92.6 MB,579 GB,1.13 TB,606 GB,563 GB
2026-01-04 04:45:00,23.4 MB,93.3 MB,583 GB,1.14 TB,610 GB,566 GB
2026-01-04 04:50:00,23.6 MB,94.0 MB,587 GB,1.15 TB,614 GB,570 GB
2026-01-04 04:55:00,23.7 MB,94.7 MB,591 GB,1.16 TB,618 GB,574 GB
2026-01-04 05:00:00,23.9 MB,95.4 MB,595 GB,1.17 TB,622 GB,578 GB
2026-01-04 05:05:00,24.1 MB,96.1 MB,600 GB,1.18 TB,626 GB,582 GB
2026-01-04 05:10:00,24.3 MB,96.8 MB,604 GB,1.20 TB,630 GB,586 GB
2026-01-04 05:15:00,24.4 MB,97.6 MB,607 GB,1.21 TB,635 GB,590 GB
2026-01-04 05:20:00,24.6 MB,98.4 MB,609 GB,1.21 TB,640 GB,592 GB
2026-01-04 05:25:00,24.8 MB,99.1 MB,613 GB,1.22 TB,644 GB,596 GB
2026-01-04 05:30:00,24.9 MB,99.8 MB,617 GB,1.24 TB,648 GB,599 GB
2026-01-04 05:35:00,25.1 MB,101 MB,621 GB,1.25 TB,652 GB,603 GB
2026-01-04 05:40:00,25.3 MB,101 MB,625 GB,1.26 TB,656 GB,607 GB
2026-01-04 05:45:00,25.5 MB,102 MB,629 GB,1.27 TB,660 GB,611 GB
2026-01-04 05:50:00,25.7 MB,103 MB,633 GB,1.28 TB,664 GB,615 GB
2026-01-04 05:55:00,25.8 MB,103 MB,636 GB,1.29 TB,667 GB,619 GB
2026-01-04 06:00:00,26.0 MB,104 MB,641 GB,1.31 TB,671 GB,623 GB
2026-01-04 06:05:00,26.2 MB,105 MB,644 GB,1.32 TB,675 GB,627 GB
2026-01-04 06:10:00,26.4 MB,105 MB,648 GB,1.33 TB,679 GB,631 GB
2026-01-04 06:15:00,26.6 MB,106 MB,652 GB,1.34 TB,683 GB,635 GB
2026-01-04 06:20:00,26.7 MB,107 MB,656 GB,1.35 TB,688 GB,638 GB
2026-01-04 06:25:00,26.9 MB,107 MB,660 GB,1.36 TB,692 GB,642 GB
2026-01-04 06:30:00,27.1 MB,108 MB,664 GB,1.38 TB,696 GB,646 GB
2026-01-04 06:35:00,27.3 MB,109 MB,668 GB,1.39 TB,700 GB,650 GB
2026-01-04 06:40:00,27.4 MB,110 MB,672 GB,1.40 TB,704 GB,654 GB
2026-01-04 06:45:00,27.6 MB,110 MB,676 GB,1.41 TB,708 GB,658 GB
2026-01-04 06:50:00,27.8 MB,111 MB,680 GB,1.42 TB,712 GB,662 GB
2026-01-04 06:55:00,28.0 MB,112 MB,684 GB,1.44 TB,716 GB,666 GB
2026-01-04 07:00:00,28.1 MB,112 MB,687 GB,1.45 TB,720 GB,670 GB
2026-01-04 07:05:00,28.3 MB,113 MB,692 GB,1.46 TB,724 GB,674 GB
2026-01-04 07:10:00,28.5 MB,114 MB,696 GB,1.47 TB,728 GB,678 GB
2026-01-04 07:15:00,28.7 MB,114 MB,700 GB,1.48 TB,732 GB,682 GB
2026-01-04 07:20:00,28.9 MB,115 MB,703 GB,1.49 TB,736 GB,686 GB
2026-01-04 07:25:00,29.0 MB,116 MB,707 GB,1.51 TB,739 GB,690 GB
2026-01-04 07:30:00,29.2 MB,117 MB,711 GB,1.52 TB,743 GB,694 GB
2026-01-04 07:35:00,29.4 MB,117 MB,715 GB,1.53 TB,747 GB,698 GB
2026-01-04 07:40:00,29.5 MB,118 MB,719 GB,1.54 TB,751 GB,702 GB
2026-01-04 07:45:00,29.7 MB,119 MB,723 GB,1.55 TB,756 GB,705 GB
2026-01-04 07:50:00,29.9 MB,119 MB,727 GB,1.56 TB,760 GB,709 GB
2026-01-04 07:55:00,30.1 MB,120 MB,731 GB,1.58 TB,764 GB,713 GB
2026-01-04 08:00:00,30.2 MB,121 MB,735 GB,1.59 TB,768 GB,717 GB
2026-01-04 08:05:00,30.4 MB,121 MB,739 GB,1.60 TB,772 GB,721 GB
2026-01-04 08:10:00,30.6 MB,122 MB,743 GB,1.61 TB,776 GB,725 GB
2026-01-04 08:15:00,30.8 MB,123 MB,747 GB,1.62 TB,780 GB,729 GB
2026-01-04 08:20:00,30.9 MB,124 MB,751 GB,1.64 TB,784 GB,733 GB
2026-01-04 08:25:00,31.1 MB,124 MB,755 GB,1.65 TB,788 GB,737 GB
2026-01-04 08:30:00,31.3 MB,125 MB,759 GB,1.66 TB,792 GB,741 GB
2026-01-04 08:35:00,31.5 MB,126 MB,763 GB,1.67 TB,796 GB,745 GB
2026-01-04 08:40:00,31.7 MB,126 MB,767 GB,1.68 TB,800 GB,749 GB
2026-01-04 08:45:00,31.9 MB,127 MB,771 GB,1.70 TB,804 GB,753 GB
2026-01-04 08:50:00,32.0 MB,128 MB,775 GB,1.71 TB,808 GB,757 GB
2026-01-04 08:55:00,32.2 MB,128 MB,779 GB,1.72 TB,812 GB,761 GB
2026-01-04 09:00:00,32.4 MB,129 MB,783 GB,1.73 TB,816 GB,765 GB
2026-01-04 09:05:00,32.6 MB,130 MB,786 GB,1.74 TB,821 GB,768 GB
2026-01-04 09:10:00,32.8 MB,131 MB,790 GB,1.75 TB,825 GB,772 GB
2026-01-04 09:15:00,33.0 MB,131 MB,794 GB,1.76 TB,829 GB,776 GB
2026-01-04 09:20:00,33.1 MB,132 MB,798 GB,1.78 TB,833 GB,780 GB
2026-01-04 09:25:00,33.3 MB,133 MB,802 GB,1.79 TB,837 GB,784 GB
2026-01-04 09:30:00,33.5 MB,133 MB,806 GB,1.80 TB,841 GB,788 GB
2026-01-04 09:35:00,33.6 MB,134 MB,810 GB,1.81 TB,845 GB,792 GB
2026-01-04 09:40:00,33.8 MB,135 MB,814 GB,1.82 TB,849 GB,796 GB
2026-01-04 09:45:00,34.0 MB,135 MB,818 GB,1.84 TB,853 GB,800 GB
2026-01-04 09:50:00,34.2 MB,136 MB,822 GB,1.85 TB,857 GB,804 GB
2026-01-04 09:55:00,34.4 MB,137 MB,826 GB,1.86 TB,861 GB,808 GB
2026-01-04 10:00:00,34.6 MB,137 MB,830 GB,1.87 TB,865 GB,812 GB
2026-01-04 10:05:00,34.7 MB,138 MB,834 GB,1.88 TB,870 GB,815 GB
2026-01-04 10:10:00,34.9 MB,139 MB,838 GB,1.89 TB,874 GB,819 GB
2026-01-04 10:15:00,35.1 MB,140 MB,842 GB,1.91 TB,878 GB,823 GB
2026-01-04 10:20:00,35.3 MB,140 MB,846 GB,1.92 TB,882 GB,827 GB
2026-01-04 10:25:00,35.5 MB,141 MB,850 GB,1.93 TB,886 GB,831 GB
2026-01-04 10:30:00,35.6 MB,142 MB,854 GB,1.94 TB,890 GB,835 GB
2026-01-04 10:35:00,35.8 MB,142 MB,858 GB,1.95 TB,894 GB,839 GB
2026-01-04 10:40:00,36.0 MB,143 MB,862 GB,1.97 TB,898 GB,843 GB
2026-01-04 10:45:00,36.2 MB,144 MB,866 GB,1.98 TB,902 GB,847 GB
2026-01-04 10:50:00,36.4 MB,144 MB,870 GB,1.99 TB,906 GB,851 GB
2026-01-04 10:55:00,36.5 MB,145 MB,874 GB,2.00 TB,910 GB,856 GB
2026-01-04 11:00:00,36.7 MB,146 MB,878 GB,2.01 TB,914 GB,859 GB
2026-01-04 11:05:00,36.9 MB,147 MB,882 GB,2.03 TB,918 GB,863 GB
2026-01-04 11:10:00,37.1 MB,147 MB,886 GB,2.04 TB,922 GB,867 GB
2026-01-04 11:15:00,37.3 MB,148 MB,890 GB,2.05 TB,926 GB,871 GB
2026-01-04 11:20:00,37.4 MB,149 MB,894 GB,2.06 TB,929 GB,875 GB
2026-01-04 11:25:00,37.6 MB,149 MB,898 GB,2.08 TB,934 GB,879 GB
2026-01-04 11:30:00,37.8 MB,150 MB,902 GB,2.09 TB,938 GB,883 GB
2026-01-04 11:35:00,38.0 MB,151 MB,906 GB,2.10 TB,942 GB,887 GB
2026-01-04 11:40:00,38.1 MB,151 MB,910 GB,2.11 TB,946 GB,891 GB
2026-01-04 11:45:00,38.3 MB,152 MB,914 GB,2.12 TB,950 GB,895 GB
2026-01-04 11:50:00,38.5 MB,153 MB,918 GB,2.13 TB,953 GB,899 GB
2026-01-04 11:55:00,38.6 MB,154 MB,922 GB,2.15 TB,957 GB,903 GB
2026-01-04 12:00:00,38.8 MB,154 MB,926 GB,2.16 TB,961 GB,907 GB
2026-01-04 12:05:00,39.0 MB,155 MB,929 GB,2.17 TB,966 GB,911 GB
2026-01-04 12:10:00,39.2 MB,156 MB,933 GB,2.18 TB,970 GB,915 GB
2026-01-04 12:15:00,39.3 MB,156 MB,937 GB,2.19 TB,974 GB,919 GB
2026-01-04 12:20:00,39.5 MB,157 MB,941 GB,2.20 TB,978 GB,923 GB
2026-01-04 12:25:00,39.7 MB,158 MB,945 GB,2.22 TB,982 GB,927 GB
2026-01-04 12:30:00,39.9 MB,158 MB,949 GB,2.23 TB,986 GB,931 GB
2026-01-04 12:35:00,40.1 MB,159 MB,954 GB,2.24 TB,990 GB,935 GB
2026-01-04 12:40:00,40.3 MB,160 MB,958 GB,2.25 TB,994 GB,939 GB
2026-01-04 12:45:00,40.5 MB,161 MB,962 GB,2.27 TB,999 GB,943 GB
2026-01-04 12:50:00,40.6 MB,161 MB,965 GB,2.28 TB,1.00 TB,947 GB
2026-01-04 12:55:00,40.8 MB,162 MB,969 GB,2.29 TB,1.01 TB,951 GB
2026-01-04 13:00:00,41.0 MB,163 MB,973 GB,2.30 TB,1.01 TB,955 GB
2026-01-04 13:05:00,41.1 MB,163 MB,977 GB,2.31 TB,1.01 TB,959 GB
2026-01-04 13:10:00,41.3 MB,164 MB,981 GB,2.33 TB,1.02 TB,963 GB
2026-01-04 13:15:00,41.5 MB,165 MB,985 GB,2.34 TB,1.02 TB,967 GB
2026-01-04 13:20:00,41.7 MB,165 MB,989 GB,2.35 TB,1.03 TB,971 GB
2026-01-04 13:25:00,41.8 MB,166 MB,993 GB,2.36 TB,1.03 TB,974 GB
2026-01-04 13:30:00,42.0 MB,167 MB,997 GB,2.37 TB,1.04 TB,978 GB
2026-01-04 13:35:00,42.2 MB,168 MB,1.00 TB,2.38 TB,1.04 TB,982 GB
2026-01-04 13:40:00,42.4 MB,168 MB,1.00 TB,2.40 TB,1.04 TB,986 GB
2026-01-04 13:45:00,42.6 MB,169 MB,1.01 TB,2.41 TB,1.05 TB,990 GB
2026-01-04 13:50:00,42.7 MB,170 MB,1.01 TB,2.42 TB,1.05 TB,994 GB
2026-01-04 13:55:00,42.9 MB,170 MB,1.02 TB,2.43 TB,1.05 TB,998 GB
2026-01-04 14:00:00,43.1 MB,171 MB,1.02 TB,2.44 TB,1.06 TB,1.00 TB
2026-01-04 14:05:00,43.3 MB,172 MB,1.02 TB,2.46 TB,1.06 TB,1.01 TB
2026-01-04 14:10:00,43.4 MB,172 MB,1.03 TB,2.47 TB,1.07 TB,1.01 TB
2026-01-04 14:15:00,43.6 MB,173 MB,1.03 TB,2.48 TB,1.07 TB,1.01 TB
2026-01-04 14:20:00,43.8 MB,174 MB,1.04 TB,2.49 TB,1.07 TB,1.02 TB
2026-01-04 14:25:00,44.0 MB,174 MB,1.04 TB,2.50 TB,1.08 TB,1.02 TB
2026-01-04 14:30:00,44.1 MB,175 MB,1.04 TB,2.52 TB,1.08 TB,1.03 TB
2026-01-04 14:35:00,44.3 MB,176 MB,1.05 TB,2.53 TB,1.09 TB,1.03 TB
2026-01-04 14:40:00,44.5 MB,177 MB,1.05 TB,2.54 TB,1.09 TB,1.03 TB
2026-01-04 14:45:00,44.7 MB,177 MB,1.06 TB,2.55 TB,1.10 TB,1.04 TB
2026-01-04 14:50:00,44.9 MB,178 MB,1.06 TB,2.56 TB,1.10 TB,1.04 TB
2026-01-04 14:55:00,45.0 MB,179 MB,1.07 TB,2.58 TB,1.10 TB,1.05 TB
2026-01-04 15:00:00,45.2 MB,179 MB,1.07 TB,2.59 TB,1.11 TB,1.05 TB
2026-01-04 15:05:00,45.4 MB,180 MB,1.07 TB,2.60 TB,1.11 TB,1.05 TB
2026-01-04 15:10:00,45.6 MB,181 MB,1.08 TB,2.61 TB,1.12 TB,1.06 TB
2026-01-04 15:15:00,45.8 MB,182 MB,1.08 TB,2.62 TB,1.12 TB,1.06 TB
2026-01-04 15:20:00,46.0 MB,182 MB,1.09 TB,2.64 TB,1.12 TB,1.07 TB
2026-01-04 15:25:00,46.1 MB,183 MB,1.09 TB,2.65 TB,1.13 TB,1.07 TB
2026-01-04 15:30:00,46.3 MB,184 MB,1.09 TB,2.66 TB,1.13 TB,1.07 TB
2026-01-04 15:35:00,46.5 MB,184 MB,1.10 TB,2.67 TB,1.14 TB,1.08 TB
2026-01-04 15:40:00,46.7 MB,185 MB,1.10 TB,2.68 TB,1.14 TB,1.08 TB
2026-01-04 15:45:00,46.9 MB,186 MB,1.11 TB,2.70 TB,1.14 TB,1.09 TB
2026-01-04 15:50:00,47.1 MB,186 MB,1.11 TB,2.71 TB,1.15 TB,1.09 TB
2026-01-04 15:55:00,47.2 MB,187 MB,1.11 TB,2.72 TB,1.15 TB,1.09 TB
2026-01-04 16:00:00,47.4 MB,188 MB,1.12 TB,2.73 TB,1.16 TB,1.10 TB
2026-01-04 16:05:00,47.6 MB,188 MB,1.12 TB,2.74 TB,1.16 TB,1.10 TB
2026-01-04 16:10:00,47.8 MB,189 MB,1.12 TB,2.76 TB,1.16 TB,1.11 TB
2026-01-04 16:15:00,47.9 MB,190 MB,1.13 TB,2.77 TB,1.17 TB,1.11 TB
2026-01-04 16:20:00,48.1 MB,191 MB,1.13 TB,2.78 TB,1.17 TB,1.11 TB
2026-01-04 16:25:00,48.3 MB,191 MB,1.14 TB,2.79 TB,1.17 TB,1.12 TB
2026-01-04 16:30:00,48.5 MB,192 MB,1.14 TB,2.80 TB,1.18 TB,1.12 TB
2026-01-04 16:35:00,48.6 MB,193 MB,1.14 TB,2.81 TB,1.18 TB,1.13 TB
2026-01-04 16:40:00,48.8 MB,193 MB,1.15 TB,2.83 TB,1.19 TB,1.13 TB
2026-01-04 16:45:00,49.0 MB,194 MB,1.15 TB,2.84 TB,1.19 TB,1.13 TB
2026-01-04 16:50:00,49.1 MB,195 MB,1.16 TB,2.85 TB,1.19 TB,1.14 TB
2026-01-04 16:55:00,49.3 MB,195 MB,1.16 TB,2.86 TB,1.20 TB,1.14 TB
2026-01-04 17:00:00,49.5 MB,196 MB,1.16 TB,2.87 TB,1.20 TB,1.15 TB
2026-01-04 17:05:00,49.7 MB,197 MB,1.17 TB,2.89 TB,1.21 TB,1.15 TB
2026-01-04 17:10:00,49.8 MB,198 MB,1.17 TB,2.90 TB,1.21 TB,1.15 TB
2026-01-04 17:15:00,50.0 MB,198 MB,1.18 TB,2.91 TB,1.21 TB,1.16 TB
2026-01-04 17:20:00,50.2 MB,199 MB,1.18 TB,2.92 TB,1.22 TB,1.16 TB
2026-01-04 17:25:00,50.4 MB,200 MB,1.18 TB,2.93 TB,1.22 TB,1.17 TB
2026-01-04 17:30:00,50.6 MB,200 MB,1.19 TB,2.94 TB,1.23 TB,1.17 TB
2026-01-04 17:35:00,50.8 MB,201 MB,1.19 TB,2.96 TB,1.23 TB,1.17 TB
