"Time","Weighted Average","Average"
2026-01-05 06:10:00,1.57,1.52
2026-01-05 06:15:00,1.28,1.28
2026-01-05 06:20:00,1.25,1.27
2026-01-05 06:25:00,1.48,1.47
2026-01-05 06:30:00,1.25,1.31
2026-01-05 06:35:00,1.21,1.17
2026-01-05 06:40:00,1.27,1.25
2026-01-05 06:45:00,1.32,1.30
2026-01-05 06:50:00,1.21,1.21
2026-01-05 06:55:00,1.35,1.40
2026-01-05 07:00:00,1.36,1.33
2026-01-05 07:05:00,1.05,1.08
2026-01-05 07:10:00,1.21,1.20
2026-01-05 07:15:00,1.19,1.20
2026-01-05 07:20:00,1.30,1.24
2026-01-05 07:25:00,1.41,1.43
2026-01-05 07:30:00,1.59,1.59
2026-01-05 07:35:00,1.03,1.04
2026-01-05 07:40:00,1.42,1.39
2026-01-05 07:45:00,1.16,1.15
2026-01-05 07:50:00,1.56,1.63
2026-01-05 07:55:00,1.01,1.02
2026-01-05 08:00:00,1.25,1.25
2026-01-05 08:05:00,1.06,1.02
2026-01-05 08:10:00,1.41,1.42
2026-01-05 08:15:00,1.34,1.40
2026-01-05 08:20:00,1.26,1.28
2026-01-05 08:25:00,1.50,1.53
2026-01-05 08:30:00,1.49,1.46
2026-01-05 08:35:00,1.43,1.39
2026-01-05 08:40:00,1.34,1.34
2026-01-05 08:45:00,1.19,1.19
2026-01-05 08:50:00,1.31,1.30
2026-01-05 08:55:00,1.13,1.14
2026-01-05 09:00:00,1.21,1.19
2026-01-05 09:05:00,1.40,1.35
2026-01-05 09:10:00,1.27,1.33
2026-01-05 09:15:00,1.37,1.34
2026-01-05 09:20:00,0.952,0.935
2026-01-05 09:25:00,1.23,1.23
2026-01-05 09:30:00,0.996,0.992
2026-01-05 09:35:00,1.40,1.38
2026-01-05 09:40:00,1.53,1.54
2026-01-05 09:45:00,1.27,1.23
2026-01-05 09:50:00,1.41,1.41
2026-01-05 09:55:00,1.26,1.22
2026-01-05 10:00:00,1.10,1.08
2026-01-05 10:05:00,1.37,1.36
2026-01-05 10:10:00,1.24,1.18
2026-01-05 10:15:00,0.908,0.948
2026-01-05 10:20:00,1.19,1.21
2026-01-05 10:25:00,1.19,1.21
2026-01-05 10:30:00,1.28,1.24
2026-01-05 10:35:00,1.46,1.41
2026-01-05 10:40:00,0.961,0.984
2026-01-05 10:45:00,1.10,1.09
2026-01-05 10:50:00,1.12,1.14
2026-01-05 10:55:00,1.47,1.49
2026-01-05 11:00:00,1.16,1.14
2026-01-05 11:05:00,1.53,1.52
2026-01-05 11:10:00,1.41,1.35
2026-01-05 11:15:00,1.31,1.28
2026-01-05 11:20:00,1.11,1.09
2026-01-05 11:25:00,1.01,1.01
2026-01-05 11:30:00,1.20,1.20
2026-01-05 11:35:00,1.18,1.18
2026-01-05 11:40:00,1.21,1.28
2026-01-05 11:45:00,1.02,1.04
2026-01-05 11:50:00,1.22,1.20
2026-01-05 11:55:00,1.15,1.10
2026-01-05 12:00:00,0.861,0.844
2026-01-05 12:05:00,1.07,1.04
2026-01-05 12:10:00,0.861,0.885
2026-01-05 12:15:00,1.23,1.24
2026-01-05 12:20:00,1.40,1.39
2026-01-05 12:25:00,1.51,1.57
2026-01-05 12:30:00,1.30,1.34
2026-01-05 12:35:00,1.45,1.37
2026-01-05 12:40:00,1.05,1.09
2026-01-05 12:45:00,0.879,0.871
2026-01-05 12:50:00,1.02,1.04
2026-01-05 12:55:00,1.03,0.996
2026-01-05 13:00:00,1.33,1.26
2026-01-05 13:05:00,1.19,1.19
2026-01-05 13:10:00,1.45,1.47
2026-01-05 13:15:00,1.26,1.25
2026-01-05 13:20:00,1.54,1.49
2026-01-05 13:25:00,1.51,1.61
2026-01-05 13:30:00,1.16,1.11
2026-01-05 13:35:00,1.04,0.980
2026-01-05 13:40:00,1.57,1.56
2026-01-05 13:45:00,1.52,1.51
2026-01-05 13:50:00,1.31,1.34
2026-01-05 13:55:00,1.12,1.10
2026-01-05 14:00:00,1.44,1.32
2026-01-05 14:05:00,1.45,1.50
2026-01-05 14:10:00,1.32,1.30
2026-01-05 14:15:00,1.16,1.16
2026-01-05 14:20:00,1.01,1.03
2026-01-05 14:25:00,0.973,0.983
2026-01-05 14:30:00,1.10,1.11
2026-01-05 14:35:00,1.31,1.33
2026-01-05 14:40:00,1.00,1.02
2026-01-05 14:45:00,1.30,1.22
2026-01-05 14:50:00,1.12,1.10
2026-01-05 14:55:00,1.56,1.42
2026-01-05 15:00:00,1.06,1.03
2026-01-05 15:05:00,1.19,1.16
2026-01-05 15:10:00,1.10,1.10
2026-01-05 15:15:00,1.21,1.12
2026-01-05 15:20:00,1.30,1.23
2026-01-05 15:25:00,0.843,0.845
2026-01-05 15:30:00,1.48,1.45
2026-01-05 15:35:00,1.00,1.03
2026-01-05 15:40:00,1.17,1.12
2026-01-05 15:45:00,1.11,1.13
2026-01-05 15:50:00,1.31,1.35
2026-01-05 15:55:00,1.03,1.05
2026-01-05 16:00:00,1.29,1.21
2026-01-05 16:05:00,0.844,0.857
2026-01-05 16:10:00,1.33,1.34
2026-01-05 16:15:00,1.09,1.06
2026-01-05 16:20:00,0.986,0.975
2026-01-05 16:25:00,1.25,1.24
2026-01-05 16:30:00,1.09,1.07
2026-01-05 16:35:00,0.861,0.858
2026-01-05 16:40:00,1.22,1.21
2026-01-05 16:45:00,0.998,0.990
2026-01-05 16:50:00,1.01,0.996
2026-01-05 16:55:00,1.18,1.17
2026-01-05 17:00:00,1.10,1.09
2026-01-05 17:05:00,0.994,1.05
2026-01-05 17:10:00,1.17,1.18
2026-01-05 17:15:00,1.21,1.18
2026-01-05 17:20:00,1.22,1.15
2026-01-05 17:25:00,1.46,1.47
2026-01-05 17:30:00,1.03,1.04
2026-01-05 17:35:00,1.10,1.11
2026-01-05 17:40:00,1.14,1.16
2026-01-05 17:45:00,1.08,1.10
2026-01-05 17:50:00,1.55,1.51
2026-01-05 17:55:00,0.984,0.968
2026-01-05 18:00:00,1.17,1.13
