"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
)  * 8 "
2026-01-04 18:45:00,608 Mb/s
2026-01-04 18:50:00,619 Mb/s
2026-01-04 18:55:00,632 Mb/s
2026-01-04 19:00:00,656 Mb/s
2026-01-04 19:05:00,632 Mb/s
2026-01-04 19:10:00,642 Mb/s
2026-01-04 19:15:00,636 Mb/s
2026-01-04 19:20:00,612 Mb/s
2026-01-04 19:25:00,645 Mb/s
2026-01-04 19:30:00,651 Mb/s
2026-01-04 19:35:00,620 Mb/s
2026-01-04 19:40:00,636 Mb/s
2026-01-04 19:45:00,645 Mb/s
2026-01-04 19:50:00,619 Mb/s
2026-01-04 19:55:00,635 Mb/s
2026-01-04 20:00:00,641 Mb/s
2026-01-04 20:05:00,628 Mb/s
2026-01-04 20:10:00,628 Mb/s
2026-01-04 20:15:00,643 Mb/s
2026-01-04 20:20:00,630 Mb/s
2026-01-04 20:25:00,659 Mb/s
2026-01-04 20:30:00,645 Mb/s
2026-01-04 20:35:00,629 Mb/s
2026-01-04 20:40:00,625 Mb/s
2026-01-04 20:45:00,635 Mb/s
2026-01-04 20:50:00,657 Mb/s
2026-01-04 20:55:00,658 Mb/s
2026-01-04 21:00:00,658 Mb/s
2026-01-04 21:05:00,667 Mb/s
2026-01-04 21:10:00,618 Mb/s
2026-01-04 21:15:00,629 Mb/s
2026-01-04 21:20:00,660 Mb/s
2026-01-04 21:25:00,627 Mb/s
2026-01-04 21:30:00,615 Mb/s
2026-01-04 21:35:00,644 Mb/s
2026-01-04 21:40:00,664 Mb/s
2026-01-04 21:45:00,620 Mb/s
2026-01-04 21:50:00,646 Mb/s
2026-01-04 21:55:00,634 Mb/s
2026-01-04 22:00:00,642 Mb/s
2026-01-04 22:05:00,643 Mb/s
2026-01-04 22:10:00,671 Mb/s
2026-01-04 22:15:00,609 Mb/s
2026-01-04 22:20:00,638 Mb/s
2026-01-04 22:25:00,656 Mb/s
2026-01-04 22:30:00,643 Mb/s
2026-01-04 22:35:00,642 Mb/s
2026-01-04 22:40:00,633 Mb/s
2026-01-04 22:45:00,653 Mb/s
2026-01-04 22:50:00,639 Mb/s
2026-01-04 22:55:00,639 Mb/s
2026-01-04 23:00:00,641 Mb/s
2026-01-04 23:05:00,646 Mb/s
2026-01-04 23:10:00,658 Mb/s
2026-01-04 23:15:00,656 Mb/s
2026-01-04 23:20:00,632 Mb/s
2026-01-04 23:25:00,621 Mb/s
2026-01-04 23:30:00,623 Mb/s
2026-01-04 23:35:00,630 Mb/s
2026-01-04 23:40:00,640 Mb/s
2026-01-04 23:45:00,629 Mb/s
2026-01-04 23:50:00,632 Mb/s
2026-01-04 23:55:00,631 Mb/s
2026-01-05 00:00:00,628 Mb/s
2026-01-05 00:05:00,627 Mb/s
2026-01-05 00:10:00,634 Mb/s
2026-01-05 00:15:00,664 Mb/s
2026-01-05 00:20:00,647 Mb/s
2026-01-05 00:25:00,647 Mb/s
2026-01-05 00:30:00,645 Mb/s
2026-01-05 00:35:00,643 Mb/s
2026-01-05 00:40:00,639 Mb/s
2026-01-05 00:45:00,577 Mb/s
2026-01-05 00:50:00,642 Mb/s
2026-01-05 00:55:00,676 Mb/s
2026-01-05 01:00:00,658 Mb/s
2026-01-05 01:05:00,658 Mb/s
2026-01-05 01:10:00,607 Mb/s
2026-01-05 01:15:00,636 Mb/s
2026-01-05 01:20:00,645 Mb/s
2026-01-05 01:25:00,642 Mb/s
2026-01-05 01:30:00,643 Mb/s
2026-01-05 01:35:00,660 Mb/s
2026-01-05 01:40:00,642 Mb/s
2026-01-05 01:45:00,634 Mb/s
2026-01-05 01:50:00,625 Mb/s
2026-01-05 01:55:00,643 Mb/s
2026-01-05 02:00:00,615 Mb/s
2026-01-05 02:05:00,648 Mb/s
2026-01-05 02:10:00,634 Mb/s
2026-01-05 02:15:00,638 Mb/s
2026-01-05 02:20:00,640 Mb/s
2026-01-05 02:25:00,621 Mb/s
2026-01-05 02:30:00,653 Mb/s
2026-01-05 02:35:00,630 Mb/s
2026-01-05 02:40:00,656 Mb/s
2026-01-05 02:45:00,621 Mb/s
2026-01-05 02:50:00,655 Mb/s
2026-01-05 02:55:00,629 Mb/s
2026-01-05 03:00:00,643 Mb/s
2026-01-05 03:05:00,649 Mb/s
2026-01-05 03:10:00,650 Mb/s
2026-01-05 03:15:00,617 Mb/s
2026-01-05 03:20:00,604 Mb/s
2026-01-05 03:25:00,663 Mb/s
2026-01-05 03:30:00,634 Mb/s
2026-01-05 03:35:00,618 Mb/s
2026-01-05 03:40:00,648 Mb/s
2026-01-05 03:45:00,651 Mb/s
2026-01-05 03:50:00,632 Mb/s
2026-01-05 03:55:00,639 Mb/s
2026-01-05 04:00:00,625 Mb/s
2026-01-05 04:05:00,653 Mb/s
2026-01-05 04:10:00,640 Mb/s
2026-01-05 04:15:00,628 Mb/s
2026-01-05 04:20:00,634 Mb/s
2026-01-05 04:25:00,612 Mb/s
2026-01-05 04:30:00,637 Mb/s
2026-01-05 04:35:00,609 Mb/s
2026-01-05 04:40:00,671 Mb/s
2026-01-05 04:45:00,602 Mb/s
2026-01-05 04:50:00,630 Mb/s
2026-01-05 04:55:00,629 Mb/s
2026-01-05 05:00:00,633 Mb/s
2026-01-05 05:05:00,681 Mb/s
2026-01-05 05:10:00,657 Mb/s
2026-01-05 05:15:00,633 Mb/s
2026-01-05 05:20:00,627 Mb/s
2026-01-05 05:25:00,631 Mb/s
2026-01-05 05:30:00,669 Mb/s
2026-01-05 05:35:00,633 Mb/s
2026-01-05 05:40:00,642 Mb/s
2026-01-05 05:45:00,632 Mb/s
2026-01-05 05:50:00,656 Mb/s
2026-01-05 05:55:00,630 Mb/s
2026-01-05 06:00:00,627 Mb/s
