"Time","sum:","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/gateway","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker1","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker10","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker2","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker3","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker4","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker5","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker6","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker7","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker8","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker9"
2026-01-06 21:07:00,5.11 MB,1.68 MB,599 kB,784 kB,883 kB,181 MB,471 kB,62.2 MB,56.0 MB,56.7 MB,70.7 MB,737 kB
2026-01-06 21:08:00,5.45 MB,1.78 MB,701 kB,879 kB,430 kB,181 MB,573 kB,482 kB,56.1 MB,486 kB,71.0 MB,846 kB
2026-01-06 21:09:00,5.69 MB,1.87 MB,747 kB,2.27 MB,549 kB,181 MB,659 kB,482 kB,56.6 MB,1.51 MB,71.3 MB,846 kB
2026-01-06 21:10:00,5.82 MB,1.91 MB,824 kB,254 kB,621 kB,182 MB,685 kB,476 kB,261 kB,1.58 MB,71.6 MB,309 kB
2026-01-06 21:11:00,6.03 MB,1.93 MB,856 kB,2.59 MB,684 kB,182 MB,866 kB,1.47 MB,1.88 MB,1.63 MB,72.2 MB,340 kB
2026-01-06 21:12:00,6.59 MB,2.23 MB,264 kB,13.1 MB,688 kB,209 MB,960 kB,3.97 MB,3.76 MB,1.75 MB,79.1 MB,437 kB
2026-01-06 21:13:00,7.21 MB,2.26 MB,296 kB,18.8 MB,846 kB,228 MB,993 kB,11.0 MB,11.8 MB,2.00 MB,84.6 MB,472 kB
2026-01-06 21:14:00,7.91 MB,2.31 MB,335 kB,22.0 MB,924 kB,241 MB,1.04 MB,16.4 MB,17.6 MB,2.04 MB,87.8 MB,480 kB
2026-01-06 21:15:00,8.61 MB,2.45 MB,358 kB,22.3 MB,1.07 MB,241 MB,1.06 MB,16.8 MB,17.9 MB,2.09 MB,88.0 MB,652 kB
2026-01-06 21:16:00,9.05 MB,2.46 MB,408 kB,22.5 MB,1.12 MB,241 MB,380 kB,495 kB,18.1 MB,493 kB,88.2 MB,757 kB
2026-01-06 21:17:00,9.66 MB,2.77 MB,582 kB,32.2 MB,1.26 MB,272 MB,491 kB,608 kB,283 kB,3.78 MB,96.7 MB,3.41 MB
2026-01-06 21:18:00,10.1 MB,2.87 MB,582 kB,40.2 MB,1.45 MB,303 MB,495 kB,659 kB,345 kB,15.7 MB,105 MB,16.4 MB
2026-01-06 21:19:00,10.3 MB,2.91 MB,206 kB,40.2 MB,1.92 MB,596 kB,397 kB,735 kB,408 kB,18.6 MB,105 MB,20.7 MB
2026-01-06 21:20:00,10.5 MB,2.94 MB,288 kB,248 kB,2.21 MB,613 kB,414 kB,749 kB,75.7 kB,18.7 MB,105 MB,20.9 MB
2026-01-06 21:21:00,10.7 MB,3.03 MB,401 kB,318 kB,3.33 MB,698 kB,507 kB,2.50 MB,252 kB,18.7 MB,106 MB,21.5 MB
2026-01-06 21:22:00,11.2 MB,3.45 MB,490 kB,365 kB,3.95 MB,569 kB,549 kB,571 kB,252 kB,1.95 MB,106 MB,21.7 MB
2026-01-06 21:23:00,11.4 MB,3.51 MB,709 kB,2.46 MB,4.64 MB,637 kB,496 kB,639 kB,382 kB,1.95 MB,2.89 MB,22.2 MB
2026-01-06 21:24:00,11.6 MB,3.57 MB,865 kB,2.75 MB,5.46 MB,681 kB,523 kB,689 kB,382 kB,1.43 MB,3.09 MB,22.7 MB
2026-01-06 21:25:00,12.1 MB,3.74 MB,1.06 MB,3.63 MB,26.2 MB,826 kB,400 kB,8.89 MB,395 kB,551 kB,3.09 MB,23.3 MB
2026-01-06 21:26:00,12.3 MB,3.82 MB,503 kB,12.2 MB,30.7 MB,898 kB,350 kB,9.47 MB,11.8 MB,611 kB,646 kB,32.2 MB
2026-01-06 21:27:00,12.6 MB,4.08 MB,674 kB,12.6 MB,284 kB,1.08 MB,848 kB,9.77 MB,11.9 MB,692 kB,489 kB,32.5 MB
2026-01-06 21:28:00,13.0 MB,4.15 MB,725 kB,258 kB,368 kB,1.29 MB,1.18 MB,9.80 MB,12.3 MB,747 kB,549 kB,32.8 MB
2026-01-06 21:29:00,13.2 MB,4.20 MB,774 kB,2.17 MB,368 kB,1.36 MB,1.53 MB,9.83 MB,12.6 MB,781 kB,605 kB,33.1 MB
2026-01-06 21:30:00,13.4 MB,4.29 MB,612 kB,2.23 MB,339 kB,1.46 MB,1.53 MB,9.90 MB,12.7 MB,1.05 MB,605 kB,33.3 MB
2026-01-06 21:31:00,13.8 MB,4.41 MB,713 kB,2.73 MB,397 kB,2.21 MB,1.53 MB,10.00 MB,12.8 MB,1.10 MB,234 kB,33.4 MB
2026-01-06 21:32:00,14.6 MB,4.72 MB,254 kB,2.97 MB,533 kB,2.54 MB,436 kB,10.3 MB,13.3 MB,1.21 MB,779 kB,34.1 MB
2026-01-06 21:33:00,15.1 MB,4.78 MB,285 kB,3.17 MB,621 kB,2.61 MB,474 kB,10.3 MB,13.5 MB,1.27 MB,835 kB,34.3 MB
2026-01-06 21:34:00,15.8 MB,4.90 MB,378 kB,3.51 MB,732 kB,2.74 MB,381 kB,10.4 MB,13.7 MB,1.33 MB,529 kB,34.6 MB
2026-01-06 21:35:00,16.3 MB,4.92 MB,398 kB,3.69 MB,908 kB,2.79 MB,445 kB,10.4 MB,14.0 MB,494 kB,550 kB,34.9 MB
2026-01-06 21:36:00,16.9 MB,4.94 MB,405 kB,3.85 MB,948 kB,2.84 MB,452 kB,10.5 MB,14.2 MB,500 kB,561 kB,35.1 MB
2026-01-06 21:37:00,17.6 MB,5.23 MB,538 kB,4.06 MB,1.04 MB,3.06 MB,504 kB,10.7 MB,14.4 MB,553 kB,624 kB,35.3 MB
2026-01-06 21:38:00,18.2 MB,5.35 MB,625 kB,4.30 MB,270 kB,3.26 MB,594 kB,10.8 MB,14.7 MB,507 kB,710 kB,35.6 MB
2026-01-06 21:39:00,18.7 MB,5.40 MB,673 kB,4.60 MB,338 kB,3.34 MB,813 kB,10.9 MB,14.9 MB,553 kB,972 kB,35.8 MB
2026-01-06 21:40:00,19.4 MB,5.50 MB,745 kB,4.83 MB,442 kB,3.45 MB,813 kB,10.9 MB,15.1 MB,553 kB,1.04 MB,36.1 MB
2026-01-06 21:41:00,19.9 MB,5.51 MB,752 kB,4.99 MB,481 kB,3.50 MB,377 kB,11.0 MB,15.4 MB,495 kB,1.05 MB,36.3 MB
2026-01-06 21:42:00,20.6 MB,5.86 MB,938 kB,5.25 MB,625 kB,3.54 MB,420 kB,11.3 MB,15.6 MB,533 kB,1.17 MB,36.7 MB
2026-01-06 21:43:00,20.9 MB,5.96 MB,991 kB,5.52 MB,1.06 MB,543 kB,431 kB,11.4 MB,15.8 MB,627 kB,1.22 MB,36.7 MB
2026-01-06 21:44:00,21.1 MB,6.00 MB,1.04 MB,5.68 MB,1.14 MB,592 kB,514 kB,11.4 MB,16.1 MB,713 kB,461 kB,1.30 MB
2026-01-06 21:45:00,21.3 MB,6.06 MB,1.09 MB,6.49 MB,1.97 MB,642 kB,597 kB,11.7 MB,16.3 MB,464 kB,510 kB,1.38 MB
2026-01-06 21:46:00,21.8 MB,6.12 MB,1.13 MB,17.2 MB,22.7 MB,646 kB,671 kB,19.2 MB,16.9 MB,512 kB,551 kB,3.25 MB
2026-01-06 21:47:00,22.3 MB,6.41 MB,1.27 MB,23.4 MB,49.2 MB,646 kB,761 kB,26.1 MB,24.3 MB,574 kB,621 kB,14.7 MB
2026-01-06 21:48:00,22.9 MB,6.52 MB,1.34 MB,28.7 MB,68.8 MB,594 kB,1.05 MB,31.9 MB,30.3 MB,574 kB,691 kB,20.8 MB
2026-01-06 21:49:00,23.2 MB,6.57 MB,1.40 MB,32.5 MB,87.5 MB,623 kB,1.05 MB,35.0 MB,38.7 MB,500 kB,940 kB,27.0 MB
2026-01-06 21:50:00,23.4 MB,6.62 MB,1.48 MB,32.5 MB,87.6 MB,680 kB,346 kB,35.1 MB,38.7 MB,552 kB,975 kB,29.2 MB
2026-01-06 21:51:00,23.8 MB,6.66 MB,1.54 MB,37.0 MB,102 MB,694 kB,358 kB,39.2 MB,209 kB,569 kB,1.01 MB,29.8 MB
2026-01-06 21:52:00,24.5 MB,6.94 MB,1.70 MB,40.1 MB,112 MB,972 kB,427 kB,41.7 MB,5.65 MB,637 kB,1.07 MB,33.9 MB
2026-01-06 21:53:00,25.2 MB,7.00 MB,1.78 MB,40.3 MB,112 MB,1.03 MB,482 kB,41.9 MB,8.34 MB,668 kB,1.11 MB,35.7 MB
2026-01-06 21:54:00,25.9 MB,7.06 MB,1.86 MB,40.9 MB,112 MB,1.07 MB,542 kB,42.1 MB,8.56 MB,943 kB,1.37 MB,36.1 MB
2026-01-06 21:55:00,26.2 MB,7.16 MB,6.97 MB,42.4 MB,297 kB,477 kB,542 kB,44.2 MB,8.72 MB,966 kB,1.44 MB,36.2 MB
2026-01-06 21:56:00,26.7 MB,7.18 MB,7.64 MB,42.7 MB,828 kB,477 kB,367 kB,44.2 MB,10.4 MB,1.03 MB,1.45 MB,38.4 MB
2026-01-06 21:57:00,27.2 MB,7.49 MB,8.97 MB,43.3 MB,828 kB,477 kB,472 kB,44.2 MB,10.6 MB,1.13 MB,1.57 MB,38.7 MB
2026-01-06 21:58:00,27.7 MB,7.58 MB,12.7 MB,44.3 MB,353 kB,690 kB,496 kB,1.78 MB,11.1 MB,2.12 MB,1.60 MB,39.1 MB
2026-01-06 21:59:00,28.3 MB,7.64 MB,14.8 MB,45.1 MB,444 kB,797 kB,588 kB,477 kB,12.2 MB,5.02 MB,1.87 MB,40.6 MB
2026-01-06 22:00:00,29.0 MB,7.75 MB,14.9 MB,45.3 MB,476 kB,1.11 MB,369 kB,556 kB,13.8 MB,5.02 MB,1.95 MB,41.0 MB
2026-01-06 22:01:00,29.3 MB,7.81 MB,16.1 MB,45.8 MB,470 kB,1.16 MB,381 kB,565 kB,14.1 MB,490 kB,2.94 MB,41.3 MB
2026-01-06 22:02:00,29.8 MB,8.14 MB,24.8 MB,48.1 MB,303 kB,1.32 MB,513 kB,525 kB,14.6 MB,532 kB,7.25 MB,41.7 MB
2026-01-06 22:03:00,30.0 MB,8.20 MB,24.8 MB,48.3 MB,328 kB,1.77 MB,536 kB,562 kB,17.0 MB,570 kB,7.44 MB,44.2 MB
2026-01-06 22:04:00,30.4 MB,8.23 MB,238 kB,49.5 MB,408 kB,3.75 MB,583 kB,594 kB,17.1 MB,604 kB,8.49 MB,44.5 MB
2026-01-06 22:05:00,30.8 MB,8.33 MB,267 kB,53.8 MB,518 kB,20.6 MB,805 kB,480 kB,18.5 MB,681 kB,13.6 MB,46.6 MB
2026-01-06 22:06:00,31.3 MB,8.38 MB,321 kB,58.6 MB,562 kB,38.6 MB,813 kB,486 kB,22.9 MB,694 kB,19.1 MB,51.2 MB
2026-01-06 22:07:00,31.8 MB,8.71 MB,425 kB,59.7 MB,793 kB,42.9 MB,918 kB,538 kB,27.3 MB,1.03 MB,20.4 MB,55.9 MB
2026-01-06 22:08:00,32.0 MB,8.78 MB,459 kB,59.8 MB,859 kB,42.9 MB,951 kB,574 kB,28.1 MB,1.07 MB,20.4 MB,1.23 MB
2026-01-06 22:09:00,32.5 MB,8.86 MB,590 kB,61.5 MB,1.97 MB,567 kB,1.03 MB,654 kB,28.2 MB,1.10 MB,22.0 MB,1.90 MB
2026-01-06 22:10:00,32.9 MB,8.90 MB,650 kB,66.9 MB,17.4 MB,596 kB,1.28 MB,681 kB,30.5 MB,466 kB,27.5 MB,9.40 MB
2026-01-06 22:11:00,33.5 MB,8.94 MB,668 kB,67.1 MB,28.1 MB,603 kB,1.32 MB,688 kB,35.8 MB,476 kB,27.8 MB,12.3 MB
2026-01-06 22:12:00,34.2 MB,9.25 MB,765 kB,67.3 MB,28.3 MB,696 kB,1.44 MB,984 kB,290 kB,570 kB,28.1 MB,12.5 MB
2026-01-06 22:13:00,34.7 MB,9.37 MB,765 kB,71.1 MB,31.7 MB,755 kB,1.54 MB,1.05 MB,4.21 MB,472 kB,31.8 MB,14.3 MB
2026-01-06 22:14:00,34.7 MB,9.41 MB,213 kB,71.9 MB,44.4 MB,1.01 MB,1.61 MB,1.09 MB,5.91 MB,503 kB,33.0 MB,17.7 MB
2026-01-06 22:15:00,34.7 MB,9.43 MB,225 kB,71.9 MB,44.4 MB,1.03 MB,443 kB,1.11 MB,5.93 MB,522 kB,33.0 MB,17.7 MB
2026-01-06 22:16:00,34.7 MB,9.46 MB,244 kB,71.9 MB,44.4 MB,1.04 MB,558 kB,1.13 MB,5.94 MB,538 kB,33.0 MB,17.7 MB
2026-01-06 22:17:00,34.7 MB,9.72 MB,269 kB,72.0 MB,44.6 MB,1.11 MB,624 kB,1.37 MB,6.09 MB,611 kB,33.1 MB,17.7 MB
