"Time","in:resnet_50_145ac6a","out:resnet_50_145ac6a","sum:resnet_50_145ac6a"
2025-12-26 06:10:00,1.24 TB,735 GB,1.97 TB
2025-12-26 06:20:00,1.24 TB,737 GB,1.98 TB
2025-12-26 06:30:00,1.24 TB,739 GB,1.98 TB
2025-12-26 06:40:00,1.24 TB,741 GB,1.99 TB
2025-12-26 06:50:00,1.25 TB,744 GB,1.99 TB
2025-12-26 07:00:00,1.25 TB,746 GB,2.00 TB
2025-12-26 07:10:00,1.25 TB,748 GB,2.00 TB
2025-12-26 07:20:00,1.25 TB,750 GB,2.00 TB
2025-12-26 07:30:00,1.26 TB,753 GB,2.01 TB
2025-12-26 07:40:00,1.26 TB,755 GB,2.01 TB
2025-12-26 07:50:00,1.26 TB,757 GB,2.02 TB
2025-12-26 08:00:00,1.26 TB,759 GB,2.02 TB
2025-12-26 08:10:00,1.27 TB,761 GB,2.03 TB
2025-12-26 08:20:00,1.27 TB,764 GB,2.03 TB
2025-12-26 08:30:00,1.27 TB,766 GB,2.04 TB
2025-12-26 08:40:00,1.27 TB,768 GB,2.04 TB
2025-12-26 08:50:00,1.27 TB,770 GB,2.04 TB
2025-12-26 09:00:00,1.28 TB,773 GB,2.05 TB
2025-12-26 09:10:00,1.28 TB,775 GB,2.05 TB
2025-12-26 09:20:00,1.28 TB,777 GB,2.06 TB
2025-12-26 09:30:00,1.28 TB,779 GB,2.06 TB
2025-12-26 09:40:00,1.28 TB,781 GB,2.07 TB
2025-12-26 09:50:00,1.29 TB,784 GB,2.07 TB
2025-12-26 10:00:00,1.29 TB,786 GB,2.07 TB
2025-12-26 10:10:00,1.29 TB,788 GB,2.08 TB
2025-12-26 10:20:00,1.29 TB,790 GB,2.08 TB
2025-12-26 10:30:00,1.30 TB,792 GB,2.09 TB
2025-12-26 10:40:00,1.30 TB,795 GB,2.09 TB
2025-12-26 10:50:00,1.30 TB,797 GB,2.10 TB
2025-12-26 11:00:00,1.30 TB,799 GB,2.10 TB
2025-12-26 11:10:00,1.30 TB,801 GB,2.11 TB
2025-12-26 11:20:00,1.31 TB,803 GB,2.11 TB
2025-12-26 11:30:00,1.31 TB,805 GB,2.11 TB
2025-12-26 11:40:00,1.31 TB,808 GB,2.12 TB
2025-12-26 11:50:00,1.31 TB,810 GB,2.12 TB
2025-12-26 12:00:00,1.32 TB,812 GB,2.13 TB
2025-12-26 12:10:00,1.32 TB,814 GB,2.13 TB
2025-12-26 12:20:00,1.32 TB,817 GB,2.14 TB
2025-12-26 12:30:00,1.32 TB,819 GB,2.14 TB
2025-12-26 12:40:00,1.32 TB,821 GB,2.15 TB
2025-12-26 12:50:00,1.33 TB,823 GB,2.15 TB
2025-12-26 13:00:00,1.33 TB,825 GB,2.15 TB
2025-12-26 13:10:00,1.33 TB,828 GB,2.16 TB
2025-12-26 13:20:00,1.33 TB,830 GB,2.16 TB
2025-12-26 13:30:00,1.34 TB,832 GB,2.17 TB
2025-12-26 13:40:00,1.34 TB,834 GB,2.17 TB
2025-12-26 13:50:00,1.34 TB,836 GB,2.18 TB
2025-12-26 14:00:00,1.34 TB,839 GB,2.18 TB
2025-12-26 14:10:00,1.34 TB,841 GB,2.19 TB
2025-12-26 14:20:00,1.35 TB,843 GB,2.19 TB
2025-12-26 14:30:00,1.35 TB,845 GB,2.19 TB
2025-12-26 14:40:00,1.35 TB,847 GB,2.20 TB
2025-12-26 14:50:00,1.35 TB,850 GB,2.20 TB
2025-12-26 15:00:00,1.36 TB,852 GB,2.21 TB
2025-12-26 15:10:00,1.36 TB,856 GB,2.22 TB
2025-12-26 15:20:00,1.37 TB,859 GB,2.23 TB
2025-12-26 15:30:00,1.38 TB,863 GB,2.24 TB
2025-12-26 15:40:00,1.39 TB,866 GB,2.26 TB
2025-12-26 15:50:00,1.40 TB,870 GB,2.27 TB
2025-12-26 16:00:00,1.41 TB,873 GB,2.28 TB
2025-12-26 16:10:00,1.41 TB,877 GB,2.29 TB
2025-12-26 16:20:00,1.42 TB,881 GB,2.30 TB
2025-12-26 16:30:00,1.43 TB,885 GB,2.31 TB
2025-12-26 16:40:00,1.44 TB,889 GB,2.32 TB
2025-12-26 16:50:00,1.44 TB,892 GB,2.34 TB
2025-12-26 17:00:00,1.45 TB,897 GB,2.35 TB
2025-12-26 17:10:00,1.45 TB,901 GB,2.35 TB
2025-12-26 17:20:00,1.46 TB,905 GB,2.37 TB
2025-12-26 17:30:00,1.47 TB,909 GB,2.38 TB
2025-12-26 17:40:00,1.48 TB,912 GB,2.39 TB
2025-12-26 17:50:00,1.48 TB,917 GB,2.40 TB
2025-12-26 18:00:00,1.49 TB,921 GB,2.41 TB
2025-12-26 18:10:00,1.49 TB,926 GB,2.42 TB
2025-12-26 18:20:00,1.50 TB,929 GB,2.43 TB
2025-12-26 18:30:00,1.50 TB,933 GB,2.44 TB
2025-12-26 18:40:00,1.51 TB,938 GB,2.45 TB
2025-12-26 18:50:00,1.51 TB,942 GB,2.46 TB
2025-12-26 19:00:00,1.52 TB,947 GB,2.47 TB
2025-12-26 19:10:00,1.53 TB,951 GB,2.48 TB
2025-12-26 19:20:00,1.53 TB,955 GB,2.49 TB
2025-12-26 19:30:00,1.54 TB,960 GB,2.50 TB
2025-12-26 19:40:00,1.54 TB,964 GB,2.50 TB
2025-12-26 19:50:00,1.55 TB,968 GB,2.52 TB
2025-12-26 20:00:00,1.55 TB,973 GB,2.53 TB
2025-12-26 20:10:00,1.56 TB,978 GB,2.53 TB
2025-12-26 20:20:00,1.56 TB,982 GB,2.54 TB
2025-12-26 20:30:00,1.57 TB,987 GB,2.56 TB
2025-12-26 20:40:00,1.57 TB,991 GB,2.56 TB
2025-12-26 20:50:00,1.58 TB,996 GB,2.57 TB
2025-12-26 21:00:00,1.58 TB,1.00 TB,2.58 TB
2025-12-26 21:10:00,1.59 TB,1.00 TB,2.59 TB
2025-12-26 21:20:00,1.59 TB,1.01 TB,2.60 TB
2025-12-26 21:30:00,1.60 TB,1.01 TB,2.61 TB
2025-12-26 21:40:00,1.60 TB,1.02 TB,2.62 TB
2025-12-26 21:50:00,1.61 TB,1.02 TB,2.63 TB
2025-12-26 22:00:00,1.61 TB,1.03 TB,2.64 TB
2025-12-26 22:10:00,1.61 TB,1.03 TB,2.64 TB
2025-12-26 22:20:00,1.62 TB,1.03 TB,2.65 TB
2025-12-26 22:30:00,1.62 TB,1.04 TB,2.66 TB
2025-12-26 22:40:00,1.63 TB,1.04 TB,2.67 TB
2025-12-26 22:50:00,1.63 TB,1.05 TB,2.68 TB
2025-12-26 23:00:00,1.64 TB,1.05 TB,2.69 TB
2025-12-26 23:10:00,1.64 TB,1.06 TB,2.70 TB
2025-12-26 23:20:00,1.65 TB,1.06 TB,2.71 TB
2025-12-26 23:30:00,1.65 TB,1.07 TB,2.72 TB
2025-12-26 23:40:00,1.66 TB,1.07 TB,2.73 TB
2025-12-26 23:50:00,1.66 TB,1.07 TB,2.73 TB
2025-12-27 00:00:00,1.66 TB,1.08 TB,2.74 TB
2025-12-27 00:10:00,1.67 TB,1.08 TB,2.75 TB
2025-12-27 00:20:00,1.67 TB,1.09 TB,2.76 TB
2025-12-27 00:30:00,1.68 TB,1.09 TB,2.77 TB
2025-12-27 00:40:00,1.68 TB,1.10 TB,2.78 TB
2025-12-27 00:50:00,1.69 TB,1.10 TB,2.79 TB
2025-12-27 01:00:00,1.69 TB,1.11 TB,2.80 TB
2025-12-27 01:10:00,1.70 TB,1.11 TB,2.81 TB
2025-12-27 01:20:00,1.70 TB,1.11 TB,2.81 TB
2025-12-27 01:30:00,1.71 TB,1.12 TB,2.82 TB
2025-12-27 01:40:00,1.71 TB,1.12 TB,2.83 TB
2025-12-27 01:50:00,1.71 TB,1.13 TB,2.84 TB
2025-12-27 02:00:00,1.72 TB,1.13 TB,2.85 TB
2025-12-27 02:10:00,1.72 TB,1.14 TB,2.86 TB
2025-12-27 02:20:00,1.73 TB,1.14 TB,2.87 TB
2025-12-27 02:30:00,1.73 TB,1.15 TB,2.88 TB
