run,t_hours,speed_mbps
resnet_50_145ac6a_report,8.166666666666666,118.20000000000002
resnet_50_145ac6a_report,8.333333333333334,94.9
resnet_50_145ac6a_report,8.5,114.8
resnet_50_145ac6a_report,8.666666666666666,116.89999999999999
resnet_50_145ac6a_report,8.833333333333334,116.5
resnet_50_145ac6a_report,9.0,115.30000000000001
resnet_50_145ac6a_report,9.166666666666666,72.4
resnet_50_145ac6a_report,9.333333333333334,104.9
resnet_50_145ac6a_report,9.5,105.19999999999999
resnet_50_145ac6a_report,9.666666666666666,103.0
resnet_50_145ac6a_report,9.833333333333334,109.5
resnet_50_145ac6a_report,10.0,86.30000000000001
resnet_50_145ac6a_report,10.166666666666666,123.5
resnet_50_145ac6a_report,10.333333333333334,128.0
resnet_50_145ac6a_report,10.5,126.0
resnet_50_145ac6a_report,10.666666666666666,123.30000000000001
resnet_50_145ac6a_report,10.833333333333334,125.0
resnet_50_145ac6a_report,11.0,127.9
resnet_50_145ac6a_report,11.166666666666666,122.9
resnet_50_145ac6a_report,11.333333333333334,104.1
resnet_50_145ac6a_report,11.5,62.2
resnet_50_145ac6a_report,11.666666666666666,60.2
resnet_50_145ac6a_report,11.833333333333334,56.0
resnet_50_145ac6a_report,12.0,141.3
resnet_50_145ac6a_report,12.166666666666666,315.6
resnet_50_145ac6a_report,12.333333333333334,56.7
resnet_50_145ac6a_report,12.5,55.4
resnet_50_145ac6a_report,12.666666666666666,57.5
resnet_50_145ac6a_report,12.833333333333334,60.7
resnet_50_145ac6a_report,13.0,59.6
resnet_50_145ac6a_report,13.166666666666666,60.2
resnet_50_145ac6a_report,13.333333333333334,58.8
resnet_50_145ac6a_report,13.5,56.0
resnet_50_145ac6a_report,13.666666666666666,60.2
resnet_50_145ac6a_report,13.833333333333334,57.7
resnet_50_145ac6a_report,14.0,57.099999999999994
resnet_50_145ac6a_report,14.166666666666666,57.4
resnet_50_145ac6a_report,14.333333333333334,59.5
resnet_50_145ac6a_report,14.5,57.8
resnet_50_145ac6a_report,14.666666666666666,58.3
resnet_50_145ac6a_report,14.833333333333334,61.6
resnet_50_145ac6a_report,15.0,60.900000000000006
resnet_50_145ac6a_report,15.166666666666666,60.2
resnet_50_145ac6a_report,15.333333333333334,60.2
resnet_50_145ac6a_report,15.5,60.0
resnet_50_145ac6a_report,15.666666666666666,56.2
resnet_50_145ac6a_report,15.833333333333334,60.2
resnet_50_145ac6a_report,16.0,60.2
resnet_50_145ac6a_report,16.166666666666668,57.4
resnet_50_145ac6a_report,16.333333333333332,57.4
resnet_50_145ac6a_report,16.5,58.099999999999994
resnet_50_145ac6a_report,16.666666666666668,62.3
resnet_50_145ac6a_report,16.833333333333332,59.4
resnet_50_145ac6a_report,17.0,60.3
resnet_50_145ac6a_report,17.166666666666668,56.7
resnet_50_145ac6a_report,17.333333333333332,57.7
resnet_50_145ac6a_report,17.5,59.900000000000006
resnet_50_145ac6a_report,17.666666666666668,58.099999999999994
resnet_50_145ac6a_report,17.833333333333332,59.5
resnet_50_145ac6a_report,18.0,60.2
resnet_50_145ac6a_report,18.166666666666668,60.2
resnet_50_145ac6a_report,18.333333333333332,60.2
resnet_50_145ac6a_report,18.5,58.8
resnet_50_145ac6a_report,18.666666666666668,59.5
resnet_50_145ac6a_report,18.833333333333332,59.5
resnet_50_145ac6a_report,19.0,60.2
resnet_50_145ac6a_report,19.166666666666668,57.4
resnet_50_145ac6a_report,19.333333333333332,56.2
resnet_50_145ac6a_report,19.5,58.599999999999994
resnet_50_145ac6a_report,19.666666666666668,59.6
resnet_50_145ac6a_report,19.833333333333332,58.0
resnet_50_145ac6a_report,20.0,58.8
resnet_50_145ac6a_report,20.166666666666668,58.8
resnet_50_145ac6a_report,20.333333333333332,62.4
resnet_50_145ac6a_report,20.5,62.8
resnet_50_145ac6a_report,20.666666666666668,60.900000000000006
resnet_50_145ac6a_report,20.833333333333332,62.3
resnet_50_145ac6a_report,21.0,60.900000000000006
resnet_50_145ac6a_report,21.166666666666668,63.0
resnet_50_145ac6a_report,21.333333333333332,60.2
resnet_50_145ac6a_report,21.5,60.2
resnet_50_145ac6a_report,21.666666666666668,60.2
resnet_50_145ac6a_report,21.833333333333332,60.2
resnet_50_145ac6a_report,22.0,60.2
resnet_50_145ac6a_report,22.166666666666668,60.2
resnet_50_145ac6a_report,22.333333333333332,59.7
resnet_50_145ac6a_report,22.5,58.6
resnet_50_145ac6a_report,22.666666666666668,59.5
resnet_50_145ac6a_report,22.833333333333332,60.2
resnet_50_145ac6a_report,23.0,63.0
resnet_50_145ac6a_report,23.166666666666668,60.2
resnet_50_145ac6a_report,23.333333333333332,60.900000000000006
resnet_50_145ac6a_report,23.5,62.3
resnet_50_145ac6a_report,23.666666666666668,58.8
resnet_50_145ac6a_report,23.833333333333332,61.6
resnet_50_145ac6a_report,24.0,59.0
resnet_50_145ac6a_report,24.166666666666668,61.400000000000006
resnet_50_145ac6a_report,24.333333333333332,60.2
resnet_50_145ac6a_report,24.5,60.2
resnet_50_145ac6a_report,24.666666666666668,60.2
resnet_50_145ac6a_report,24.833333333333332,63.0
resnet_50_145ac6a_report,25.0,60.2
resnet_50_145ac6a_report,25.166666666666668,60.2
resnet_50_145ac6a_report,25.333333333333332,60.2
resnet_50_145ac6a_report,25.5,61.900000000000006
resnet_50_145ac6a_report,25.666666666666668,61.2
resnet_50_145ac6a_report,25.833333333333332,58.8
resnet_50_145ac6a_report,26.0,63.0
resnet_50_145ac6a_report,26.166666666666668,60.2
resnet_50_145ac6a_report,26.333333333333332,62.3
resnet_50_145ac6a_report,26.5,60.900000000000006
resnet_50_145ac6a_report,26.666666666666668,60.6
resnet_50_145ac6a_report,26.833333333333332,61.900000000000006
resnet_50_145ac6a_report,27.0,60.900000000000006
resnet_50_145ac6a_report,27.166666666666668,60.2
resnet_50_145ac6a_report,27.333333333333332,63.0
resnet_50_145ac6a_report,27.5,60.2
resnet_50_145ac6a_report,27.666666666666668,63.0
resnet_50_145ac6a_report,27.833333333333332,61.6
resnet_50_145ac6a_report,28.0,61.6
resnet_50_145ac6a_report,28.166666666666668,60.2
resnet_50_145ac6a_report,28.333333333333332,63.0
resnet_50_145ac6a_report,28.5,60.2
resnet_50_145ac6a_report,28.666666666666668,58.8
resnet_50_145ac6a_report,28.833333333333332,63.0
resnet_50_145ac6a_report,29.0,60.900000000000006
resnet_50_145ac6a_report,29.166666666666668,62.9
resnet_50_145ac6a_report,29.333333333333332,62.3
resnet_50_145ac6a_report,29.5,60.2
resnet_50_145ac6a_report,29.666666666666668,60.2
resnet_50_145ac6a_report,29.833333333333332,60.2
resnet_50_145ac6a_report,30.0,63.0
resnet_50_145ac6a_report,30.166666666666668,59.900000000000006
resnet_50_145ac6a_report,30.333333333333332,58.4
resnet_50_145ac6a_report,30.5,58.099999999999994
resnet_50_145ac6a_report,30.666666666666668,60.2
resnet_50_145ac6a_report,30.833333333333332,60.2
resnet_50_145ac6a_report,31.0,60.2
resnet_50_145ac6a_report,31.166666666666668,60.2
resnet_50_145ac6a_report,31.333333333333332,57.4
resnet_50_145ac6a_report,31.5,60.2
resnet_50_145ac6a_report,31.666666666666668,57.4
resnet_50_145ac6a_report,31.833333333333332,59.5
resnet_50_145ac6a_report,32.0,58.099999999999994
resnet_50_145ac6a_report,32.166666666666664,60.2
resnet_50_145ac6a_report,32.333333333333336,60.2
resnet_50_145ac6a_report,32.5,57.4
resnet_50_145ac6a_report,32.666666666666664,59.5
resnet_50_145ac6a_report,32.833333333333336,58.099999999999994
resnet_50_145ac6a_report,33.0,59.8
resnet_50_145ac6a_report,33.166666666666664,56.7
resnet_50_145ac6a_report,33.333333333333336,58.599999999999994
resnet_50_145ac6a_report,33.5,59.5
resnet_50_145ac6a_report,33.666666666666664,58.099999999999994
resnet_50_145ac6a_report,33.833333333333336,57.4
