"Time","sum:gptneo_03e4b61/gateway1"
2026-01-09 11:40:00,139 MB
2026-01-09 12:00:00,139 MB
2026-01-09 12:20:00,140 MB
2026-01-09 12:40:00,140 MB
2026-01-09 13:00:00,140 MB
2026-01-09 13:20:00,141 MB
2026-01-09 13:40:00,141 MB
2026-01-09 14:00:00,141 MB
2026-01-09 14:20:00,142 MB
2026-01-09 14:40:00,142 MB
2026-01-09 15:00:00,142 MB
2026-01-09 15:20:00,143 MB
2026-01-09 15:40:00,143 MB
2026-01-09 16:00:00,143 MB
2026-01-09 16:20:00,144 MB
2026-01-09 16:40:00,144 MB
2026-01-09 17:00:00,144 MB
2026-01-09 17:20:00,145 MB
2026-01-09 17:40:00,145 MB
2026-01-09 18:00:00,145 MB
2026-01-09 18:20:00,146 MB
2026-01-09 18:40:00,146 MB
2026-01-09 19:00:00,147 MB
2026-01-09 19:20:00,147 MB
2026-01-09 19:40:00,147 MB
2026-01-09 20:00:00,148 MB
2026-01-09 20:20:00,148 MB
2026-01-09 20:40:00,148 MB
2026-01-09 21:00:00,149 MB
2026-01-09 21:20:00,149 MB
2026-01-09 21:40:00,149 MB
2026-01-09 22:00:00,150 MB
2026-01-09 22:20:00,150 MB
2026-01-09 22:40:00,150 MB
2026-01-09 23:00:00,151 MB
2026-01-09 23:20:00,151 MB
2026-01-09 23:40:00,151 MB
2026-01-10 00:00:00,152 MB
2026-01-10 00:20:00,152 MB
2026-01-10 00:40:00,152 MB
2026-01-10 01:00:00,153 MB
2026-01-10 01:20:00,153 MB
2026-01-10 01:40:00,154 MB
2026-01-10 02:00:00,154 MB
2026-01-10 02:20:00,154 MB
2026-01-10 02:40:00,155 MB
2026-01-10 03:00:00,155 MB
2026-01-10 03:20:00,155 MB
2026-01-10 03:40:00,156 MB
2026-01-10 04:00:00,156 MB
2026-01-10 04:20:00,156 MB
2026-01-10 04:40:00,157 MB
2026-01-10 05:00:00,157 MB
2026-01-10 05:20:00,157 MB
2026-01-10 05:40:00,158 MB
2026-01-10 06:00:00,158 MB
2026-01-10 06:20:00,159 MB
2026-01-10 06:40:00,159 MB
2026-01-10 07:00:00,159 MB
2026-01-10 07:20:00,160 MB
2026-01-10 07:40:00,160 MB
2026-01-10 08:00:00,160 MB
2026-01-10 08:20:00,161 MB
2026-01-10 08:40:00,161 MB
2026-01-10 09:00:00,161 MB
2026-01-10 09:20:00,162 MB
2026-01-10 09:40:00,162 MB
2026-01-10 10:00:00,162 MB
2026-01-10 10:20:00,163 MB
2026-01-10 10:40:00,163 MB
2026-01-10 11:00:00,163 MB
2026-01-10 11:20:00,164 MB
2026-01-10 11:40:00,164 MB
2026-01-10 12:00:00,164 MB
2026-01-10 12:20:00,165 MB
2026-01-10 12:40:00,165 MB
2026-01-10 13:00:00,166 MB
2026-01-10 13:20:00,166 MB
2026-01-10 13:40:00,166 MB
2026-01-10 14:00:00,167 MB
2026-01-10 14:20:00,167 MB
2026-01-10 14:40:00,167 MB
2026-01-10 15:00:00,168 MB
2026-01-10 15:20:00,168 MB
2026-01-10 15:40:00,168 MB
2026-01-10 16:00:00,169 MB
2026-01-10 16:20:00,169 MB
2026-01-10 16:40:00,169 MB
2026-01-10 17:00:00,170 MB
2026-01-10 17:20:00,170 MB
2026-01-10 17:40:00,171 MB
2026-01-10 18:00:00,171 MB
2026-01-10 18:20:00,171 MB
2026-01-10 18:40:00,172 MB
2026-01-10 19:00:00,172 MB
2026-01-10 19:20:00,172 MB
2026-01-10 19:40:00,173 MB
2026-01-10 20:00:00,173 MB
2026-01-10 20:20:00,173 MB
2026-01-10 20:40:00,174 MB
2026-01-10 21:00:00,174 MB
2026-01-10 21:20:00,174 MB
2026-01-10 21:40:00,175 MB
2026-01-10 22:00:00,175 MB
2026-01-10 22:20:00,175 MB
2026-01-10 22:40:00,176 MB
2026-01-10 23:00:00,176 MB
2026-01-10 23:20:00,176 MB
2026-01-10 23:40:00,177 MB
2026-01-11 00:00:00,177 MB
2026-01-11 00:20:00,178 MB
2026-01-11 00:40:00,178 MB
2026-01-11 01:00:00,178 MB
2026-01-11 01:20:00,179 MB
2026-01-11 01:40:00,179 MB
2026-01-11 02:00:00,179 MB
2026-01-11 02:20:00,180 MB
2026-01-11 02:40:00,180 MB
2026-01-11 03:00:00,180 MB
2026-01-11 03:20:00,181 MB
2026-01-11 03:40:00,181 MB
2026-01-11 04:00:00,181 MB
2026-01-11 04:20:00,182 MB
2026-01-11 04:40:00,182 MB
2026-01-11 05:00:00,182 MB
2026-01-11 05:20:00,183 MB
2026-01-11 05:40:00,183 MB
2026-01-11 06:00:00,183 MB
2026-01-11 06:20:00,184 MB
2026-01-11 06:40:00,184 MB
2026-01-11 07:00:00,184 MB
2026-01-11 07:20:00,185 MB
2026-01-11 07:40:00,185 MB
2026-01-11 08:00:00,185 MB
2026-01-11 08:20:00,186 MB
2026-01-11 08:40:00,186 MB
2026-01-11 09:00:00,187 MB
2026-01-11 09:20:00,187 MB
2026-01-11 09:40:00,187 MB
2026-01-11 10:00:00,188 MB
2026-01-11 10:20:00,188 MB
2026-01-11 10:40:00,188 MB
2026-01-11 11:00:00,189 MB
2026-01-11 11:20:00,189 MB
2026-01-11 11:40:00,189 MB
2026-01-11 12:00:00,190 MB
2026-01-11 12:20:00,190 MB
2026-01-11 12:40:00,190 MB
2026-01-11 13:00:00,191 MB
2026-01-11 13:20:00,191 MB
2026-01-11 13:40:00,191 MB
2026-01-11 14:00:00,192 MB
2026-01-11 14:20:00,192 MB
2026-01-11 14:40:00,192 MB
2026-01-11 15:00:00,193 MB
2026-01-11 15:20:00,193 MB
2026-01-11 15:40:00,193 MB
2026-01-11 16:00:00,194 MB
2026-01-11 16:20:00,194 MB
2026-01-11 16:40:00,194 MB
2026-01-11 17:00:00,195 MB
2026-01-11 17:20:00,195 MB
2026-01-11 17:40:00,195 MB
2026-01-11 18:00:00,196 MB
2026-01-11 18:20:00,196 MB
2026-01-11 18:40:00,196 MB
2026-01-11 19:00:00,197 MB
2026-01-11 19:20:00,197 MB
2026-01-11 19:40:00,197 MB
2026-01-11 20:00:00,198 MB
2026-01-11 20:20:00,198 MB
2026-01-11 20:40:00,198 MB
2026-01-11 21:00:00,199 MB
2026-01-11 21:20:00,199 MB
2026-01-11 21:40:00,199 MB
2026-01-11 22:00:00,200 MB
2026-01-11 22:20:00,200 MB
2026-01-11 22:40:00,200 MB
2026-01-11 23:00:00,201 MB
2026-01-11 23:20:00,201 MB
2026-01-11 23:40:00,201 MB
2026-01-12 00:00:00,202 MB
2026-01-12 00:20:00,202 MB
2026-01-12 00:40:00,202 MB
2026-01-12 01:00:00,203 MB
2026-01-12 01:20:00,203 MB
2026-01-12 01:40:00,203 MB
2026-01-12 02:00:00,204 MB
2026-01-12 02:20:00,204 MB
2026-01-12 02:40:00,204 MB
2026-01-12 03:00:00,205 MB
2026-01-12 03:20:00,205 MB
2026-01-12 03:40:00,206 MB
2026-01-12 04:00:00,206 MB
2026-01-12 04:20:00,206 MB
2026-01-12 04:40:00,207 MB
2026-01-12 05:00:00,207 MB
2026-01-12 05:20:00,207 MB
2026-01-12 05:40:00,208 MB
2026-01-12 06:00:00,208 MB
2026-01-12 06:20:00,208 MB
2026-01-12 06:40:00,209 MB
2026-01-12 07:00:00,209 MB
2026-01-12 07:20:00,209 MB
2026-01-12 07:40:00,210 MB
2026-01-12 08:00:00,210 MB
2026-01-12 08:20:00,210 MB
2026-01-12 08:40:00,211 MB
2026-01-12 09:00:00,211 MB
2026-01-12 09:20:00,211 MB
2026-01-12 09:40:00,212 MB
2026-01-12 10:00:00,212 MB
2026-01-12 10:20:00,212 MB
2026-01-12 10:40:00,213 MB
2026-01-12 11:00:00,213 MB
2026-01-12 11:20:00,213 MB
2026-01-12 11:40:00,214 MB
2026-01-12 12:00:00,214 MB
2026-01-12 12:20:00,214 MB
2026-01-12 12:40:00,215 MB
2026-01-12 13:00:00,215 MB
2026-01-12 13:20:00,215 MB
2026-01-12 13:40:00,216 MB
2026-01-12 14:00:00,216 MB
2026-01-12 14:20:00,216 MB
2026-01-12 14:40:00,217 MB
2026-01-12 15:00:00,217 MB
2026-01-12 15:20:00,217 MB
2026-01-12 15:40:00,218 MB
2026-01-12 16:00:00,218 MB
