"Time","avg"
2026-01-09 20:20:00,35.6 ms
2026-01-09 20:40:00,54.9 ms
2026-01-09 21:00:00,60.7 ms
2026-01-09 21:20:00,35.8 ms
2026-01-09 21:40:00,35.2 ms
2026-01-09 22:00:00,35.3 ms
2026-01-09 22:20:00,35.3 ms
2026-01-09 22:40:00,36.6 ms
2026-01-09 23:00:00,35.4 ms
2026-01-09 23:20:00,35.3 ms
2026-01-09 23:40:00,35.3 ms
2026-01-10 00:00:00,35.3 ms
2026-01-10 00:20:00,35.4 ms
2026-01-10 00:40:00,35.2 ms
2026-01-10 01:00:00,35.6 ms
2026-01-10 01:20:00,35.6 ms
2026-01-10 01:40:00,35.4 ms
2026-01-10 02:00:00,35.4 ms
2026-01-10 02:20:00,35.3 ms
2026-01-10 02:40:00,35.2 ms
2026-01-10 03:00:00,40.1 ms
2026-01-10 03:20:00,35.3 ms
2026-01-10 03:40:00,35.3 ms
2026-01-10 04:00:00,35.3 ms
2026-01-10 04:20:00,35.3 ms
2026-01-10 04:40:00,35.3 ms
2026-01-10 05:00:00,35.3 ms
2026-01-10 05:20:00,35.3 ms
2026-01-10 05:40:00,35.5 ms
2026-01-10 06:00:00,35.6 ms
2026-01-10 06:20:00,35.5 ms
2026-01-10 06:40:00,35.5 ms
2026-01-10 07:00:00,35.6 ms
2026-01-10 07:20:00,35.3 ms
2026-01-10 07:40:00,35.3 ms
2026-01-10 08:00:00,35.3 ms
2026-01-10 08:20:00,35.3 ms
2026-01-10 08:40:00,256 ms
2026-01-10 09:00:00,35.7 ms
2026-01-10 09:20:00,35.5 ms
2026-01-10 09:40:00,35.5 ms
2026-01-10 10:00:00,35.6 ms
2026-01-10 10:20:00,35.3 ms
2026-01-10 10:40:00,35.4 ms
2026-01-10 11:00:00,35.3 ms
2026-01-10 11:20:00,57.4 ms
2026-01-10 11:40:00,35.3 ms
2026-01-10 12:00:00,35.3 ms
2026-01-10 12:20:00,35.3 ms
