"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-07 08:40:00,2.61 kb/s,9.30 kb/s,56.9 Mb/s,58.3 Mb/s,171 Mb/s,51.5 Mb/s
2026-01-07 09:00:00,2.59 kb/s,10.2 kb/s,38.0 Mb/s,39.6 Mb/s,117 Mb/s,44.1 Mb/s
2026-01-07 09:20:00,2.58 kb/s,9.34 kb/s,38.2 Mb/s,39.6 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 09:40:00,2.59 kb/s,9.18 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 10:00:00,2.58 kb/s,9.48 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 10:20:00,2.59 kb/s,8.92 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 10:40:00,2.58 kb/s,9.29 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 11:00:00,2.59 kb/s,9.37 kb/s,56.9 Mb/s,54.5 Mb/s,146 Mb/s,53.2 Mb/s
2026-01-07 11:20:00,2.58 kb/s,9.88 kb/s,38.2 Mb/s,43.1 Mb/s,127 Mb/s,40.5 Mb/s
2026-01-07 11:40:00,2.59 kb/s,9.26 kb/s,44.5 Mb/s,50.2 Mb/s,134 Mb/s,44.6 Mb/s
2026-01-07 12:00:00,2.60 kb/s,9.07 kb/s,50.4 Mb/s,47.3 Mb/s,154 Mb/s,45.3 Mb/s
2026-01-07 12:20:00,2.59 kb/s,9.08 kb/s,38.2 Mb/s,39.7 Mb/s,101 Mb/s,27.2 Mb/s
2026-01-07 12:40:00,2.60 kb/s,9.78 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 13:00:00,2.58 kb/s,9.26 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 13:20:00,2.61 kb/s,9.83 kb/s,38.0 Mb/s,39.4 Mb/s,111 Mb/s,38.3 Mb/s
2026-01-07 13:40:00,2.58 kb/s,8.94 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.0 Mb/s
2026-01-07 14:00:00,2.59 kb/s,9.70 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
